,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,158,2023-03-29 10:39:08.157508,2023-03-29 10:39:16.158,24.4,0.048,0.194,0.032,8.000492,24.673999999999996,-16.673507999999998,keda+k8shpa
1,159,2023-03-29 10:39:08.285500,2023-03-29 10:39:16.253,24.2,0.054,0.046,0.015,7.9675,24.314999999999998,-16.347499999999997,keda+k8shpa
2,161,2023-03-29 10:39:09.161390,2023-03-29 10:39:24.686,24.2,0.038,0.236,0.038,15.52461,24.512,-8.987390000000001,keda+k8shpa
3,162,2023-03-29 10:39:09.290450,2023-03-29 10:39:24.153,36.0,0.061,0.149,0.013,14.86255,36.223,-21.36045,keda+k8shpa
4,163,2023-03-29 10:39:09.291985,2023-03-29 10:39:34.037,36.6,0.047,0.154,0.036,24.745015,36.837,-12.091985000000005,keda+k8shpa
5,164,2023-03-29 10:39:10.165121,2023-03-29 10:39:33.951,32.1,0.044,0.054,0.016,23.785879,32.214,-8.428120999999997,keda+k8shpa
6,165,2023-03-29 10:39:10.295104,2023-03-29 10:39:34.647,32.0,0.048,0.309,0.031,24.351896,32.388,-8.036103999999998,keda+k8shpa
7,166,2023-03-29 10:39:10.296587,2023-03-29 10:39:34.718,3.02,0.048,0.303,0.012,24.421413,3.383,21.038413000000002,keda+k8shpa
8,167,2023-03-29 10:39:11.168694,2023-03-29 10:39:47.396,8.17,0.055,0.078,0.017,36.227306,8.319999999999999,27.907306,keda+k8shpa
9,169,2023-03-29 10:39:11.301259,2023-03-29 10:39:48.088,8.55,0.038,0.074,0.010,36.786741,8.672,28.114741,keda+k8shpa
10,181,2023-03-29 10:39:16.076309,2023-03-29 10:39:48.365,6.21,0.040,0.093,0.010,32.288691,6.353,25.935691,keda+k8shpa
11,182,2023-03-29 10:39:16.187276,2023-03-29 10:39:48.469,6.64,0.045,1.056,0.046,32.281724,7.787,24.494723999999998,keda+k8shpa
12,205,2023-03-29 10:39:24.104715,2023-03-29 10:40:01.091,12.2,0.055,0.106,0.018,36.986285,12.379,24.607285000000005,keda+k8shpa
13,208,2023-03-29 10:39:25.108314,2023-03-29 10:40:01.577,36.5,0.062,0.063,0.010,36.468686,36.635,-0.16631399999999985,keda+k8shpa
14,212,2023-03-29 10:39:26.219812,2023-03-29 10:40:14.923,15.5,0.036,0.095,0.012,48.703188,15.643,33.060188,keda+k8shpa
15,213,2023-03-29 10:39:26.354638,2023-03-29 10:40:01.776,15.4,0.047,0.086,0.008,35.421362,15.541,19.880362,keda+k8shpa
16,214,2023-03-29 10:39:27.115231,2023-03-29 10:40:01.501,19.6,0.054,0.123,0.035,34.385769,19.812,14.573769000000002,keda+k8shpa
17,216,2023-03-29 10:39:27.358210,2023-03-29 10:40:15.174,36.3,0.332,0.132,0.017,47.81579,36.781,11.034790000000001,keda+k8shpa
18,266,2023-03-29 10:39:44.283617,2023-03-29 10:39:52.610,19.9,0.043,0.178,0.056,8.326383,20.177,-11.850617,keda+k8shpa
19,267,2023-03-29 10:39:44.415590,2023-03-29 10:39:53.074,12.8,0.060,0.164,0.031,8.65841,13.055000000000001,-4.3965900000000016,keda+k8shpa
20,268,2023-03-29 10:39:45.176398,2023-03-29 10:40:01.151,13.9,0.049,0.156,0.008,15.974602,14.113,1.8616020000000013,keda+k8shpa
21,270,2023-03-29 10:39:45.419347,2023-03-29 10:40:01.252,12.2,0.051,0.068,0.013,15.832653,12.331999999999999,3.5006530000000016,keda+k8shpa
22,271,2023-03-29 10:39:46.180026,2023-03-29 10:39:49.331,3.17,0.045,0.377,0.049,3.150974,3.641,-0.49002599999999985,keda+k8shpa
23,273,2023-03-29 10:39:46.422772,2023-03-29 10:40:04.191,3.17,0.039,0.065,0.024,17.768228,3.298,14.470228,keda+k8shpa
24,274,2023-03-29 10:39:47.183332,2023-03-29 10:39:53.502,17.6,0.070,1.099,0.019,6.318668,18.788,-12.469332000000001,keda+k8shpa
25,275,2023-03-29 10:39:47.294288,2023-03-29 10:39:54.091,3.95,0.060,0.054,0.011,6.796712,4.075,2.721712,keda+k8shpa
26,276,2023-03-29 10:39:47.426050,2023-03-29 10:40:04.924,17.3,0.048,0.041,0.008,17.49795,17.397,0.10095000000000098,keda+k8shpa
27,277,2023-03-29 10:39:48.186187,2023-03-29 10:40:02.244,15.6,0.044,0.042,0.008,14.057813,15.693999999999999,-1.6361869999999996,keda+k8shpa
28,278,2023-03-29 10:39:48.297103,2023-03-29 10:40:00.702,5.29,0.045,0.129,0.018,12.404897,5.481999999999999,6.922897000000001,keda+k8shpa
29,279,2023-03-29 10:39:48.429149,2023-03-29 10:40:17.157,14.5,0.074,0.110,0.009,28.727851,14.693,14.034851000000002,keda+k8shpa
30,280,2023-03-29 10:39:49.188966,2023-03-29 10:40:02.135,15.5,0.073,0.078,0.009,12.946034,15.66,-2.713966000000001,keda+k8shpa
31,281,2023-03-29 10:39:49.300954,2023-03-29 10:40:17.439,15.6,0.049,0.116,0.012,28.138046,15.777,12.361046,keda+k8shpa
32,282,2023-03-29 10:39:49.432779,2023-03-29 10:40:17.346,8.62,0.043,0.179,0.021,27.913221,8.863,19.050221,keda+k8shpa
