,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,1,2023-03-28 18:30:22.853049,2023-03-28 18:30:27.858,13.7,0.066,0.042,0.008,5.004951,13.815999999999999,-8.811048999999999,no+rps
1,2,2023-03-28 18:30:23.855396,2023-03-28 18:30:34.509,14.3,0.052,0.084,0.009,10.653604,14.445,-3.7913960000000007,no+rps
2,3,2023-03-28 18:30:24.858515,2023-03-28 18:30:35.390,13.4,0.052,0.222,0.017,10.531485,13.690999999999999,-3.159514999999999,no+rps
3,4,2023-03-28 18:30:25.861547,2023-03-28 18:30:41.687,15.9,0.052,0.329,0.009,15.825453,16.29,-0.4645469999999996,no+rps
4,5,2023-03-28 18:30:26.864627,2023-03-28 18:30:42.180,20.9,0.045,0.035,0.008,15.315373,20.988,-5.672627,no+rps
5,10,2023-03-28 18:30:31.880588,2023-03-28 18:30:48.105,20.4,0.110,0.057,0.009,16.224412,20.575999999999997,-4.351587999999996,no+rps
6,11,2023-03-28 18:30:32.883472,2023-03-28 18:30:55.473,23.9,0.061,0.033,0.013,22.589528,24.007,-1.417472,no+rps
7,12,2023-03-28 18:30:33.886644,2023-03-28 18:30:48.022,25.0,0.042,0.061,0.009,14.135356,25.112000000000002,-10.976644000000002,no+rps
8,13,2023-03-28 18:30:34.889688,2023-03-28 18:30:55.569,3.13,0.039,0.035,0.008,20.679312,3.212,17.467312,no+rps
9,14,2023-03-28 18:30:35.892619,2023-03-28 18:31:01.079,33.1,0.052,0.081,0.014,25.186381,33.24700000000001,-8.060619000000006,no+rps
10,15,2023-03-28 18:30:36.895644,2023-03-28 18:31:00.998,29.4,0.041,0.057,0.007,24.102356,29.505,-5.402643999999999,no+rps
11,16,2023-03-28 18:30:37.898442,2023-03-28 18:31:11.189,3.77,0.053,0.059,0.012,33.290558,3.894,29.396558,no+rps
12,18,2023-03-28 18:30:39.904333,2023-03-28 18:31:12.084,2.88,0.038,0.051,0.009,32.179667,2.9779999999999998,29.201667,no+rps
13,19,2023-03-28 18:30:40.907352,2023-03-28 18:31:11.259,30.3,0.041,0.082,0.011,30.351648,30.434,-0.0823520000000002,no+rps
14,21,2023-03-28 18:30:42.913992,2023-03-28 18:31:12.182,29.0,0.049,0.041,0.007,29.268008,29.097,0.17100799999999694,no+rps
15,26,2023-03-28 18:30:47.930810,2023-03-28 18:31:24.503,3.54,0.037,0.064,0.009,36.57219,3.65,32.92219,no+rps
16,27,2023-03-28 18:30:48.933856,2023-03-28 18:31:25.696,3.20,0.046,0.037,0.008,36.762144,3.291,33.471144,no+rps
17,34,2023-03-28 18:30:55.958933,2023-03-28 18:31:25.997,4.33,0.046,0.087,0.009,30.038067,4.472,25.566067,no+rps
18,35,2023-03-28 18:30:56.962051,2023-03-28 18:31:25.897,4.79,0.041,0.039,0.009,28.934949,4.8790000000000004,24.055949,no+rps
19,39,2023-03-28 18:31:00.975001,2023-03-28 18:31:55.420,4.34,0.040,0.054,0.012,54.444999,4.446,49.998999000000005,no+rps
20,40,2023-03-28 18:31:01.978134,2023-03-28 18:31:55.650,36.4,0.057,0.034,0.015,53.671866,36.506,17.165866,no+rps
21,44,2023-03-28 18:31:05.991059,2023-03-28 18:31:09.248,36.6,0.047,0.077,0.013,3.256941,36.736999999999995,-33.480059,no+rps
22,46,2023-03-28 18:31:07.997705,2023-03-28 18:31:11.890,28.7,0.046,0.049,0.011,3.892295,28.805999999999997,-24.913704999999997,no+rps
23,47,2023-03-28 18:31:09.000699,2023-03-28 18:31:11.978,29.7,0.041,0.137,0.008,2.977301,29.886,-26.908699,no+rps
24,49,2023-03-28 18:31:11.006874,2023-03-28 18:31:14.674,7.35,0.173,0.046,0.010,3.667126,7.579,-3.9118739999999996,no+rps
25,50,2023-03-28 18:31:12.009878,2023-03-28 18:31:55.711,15.7,0.057,0.061,0.016,43.701122,15.834,27.867122,no+rps
26,51,2023-03-28 18:31:13.013403,2023-03-28 18:31:55.557,14.7,0.089,0.041,0.008,42.543597,14.838,27.705596999999997,no+rps
27,52,2023-03-28 18:31:14.016424,2023-03-28 18:31:17.327,12.3,0.050,0.072,0.011,3.310576,12.433,-9.122423999999999,no+rps
28,53,2023-03-28 18:31:15.019468,2023-03-28 18:31:19.470,36.3,0.041,0.039,0.007,4.450532,36.38699999999999,-31.936467999999994,no+rps
29,54,2023-03-28 18:31:16.022558,2023-03-28 18:31:20.938,13.3,0.042,0.114,0.012,4.915442,13.468000000000002,-8.552558000000001,no+rps
30,55,2023-03-28 18:31:17.025669,2023-03-28 18:31:55.774,24.9,0.046,0.040,0.012,38.748331,24.997999999999998,13.750331000000003,no+rps
31,56,2023-03-28 18:31:18.029244,2023-03-28 18:31:22.479,36.0,0.041,0.094,0.011,4.449756,36.146,-31.696244,no+rps
32,57,2023-03-28 18:31:19.032357,2023-03-28 18:31:26.496,26.1,0.045,0.058,0.010,7.463643,26.213000000000005,-18.749357000000003,no+rps
33,58,2023-03-28 18:31:20.035454,2023-03-28 18:31:56.085,33.8,0.042,0.055,0.012,36.049546,33.909,2.1405460000000005,no+rps
34,60,2023-03-28 18:31:22.041533,2023-03-28 18:31:55.282,21.9,0.042,0.038,0.010,33.240467,21.990000000000002,11.250467,no+rps
35,62,2023-03-28 18:31:24.049636,2023-03-28 18:31:55.489,14.2,0.041,0.275,0.012,31.439364,14.528,16.911364,no+rps
36,63,2023-03-28 18:31:25.052724,2023-03-28 18:31:55.357,31.0,0.038,0.034,0.007,30.304276,31.079,-0.7747239999999991,no+rps
37,67,2023-03-28 18:31:29.065705,2023-03-28 18:31:55.875,27.0,0.095,0.058,0.007,26.809295,27.16,-0.3507050000000014,no+rps
38,68,2023-03-28 18:31:30.068725,2023-03-28 18:31:55.953,26.3,0.043,0.038,0.008,25.884275,26.389,-0.5047250000000005,no+rps
39,72,2023-03-28 18:31:34.081293,2023-03-28 18:32:04.983,25.6,0.038,0.063,0.012,30.901707,25.713,5.188706999999997,no+rps
40,73,2023-03-28 18:31:35.087836,2023-03-28 18:32:04.018,28.0,0.039,0.036,0.009,28.930164,28.084000000000003,0.8461639999999981,no+rps
