,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,91,2023-03-27 20:33:37.207223,2023-03-27 20:34:03.678,10.4,0.172,0.055,0.034,26.470777,10.661000000000001,15.809776999999997,keda+keda
1,92,2023-03-27 20:33:37.208872,2023-03-27 20:34:03.464,7.54,0.034,0.041,0.012,26.255128,7.627,18.628128,keda+keda
2,96,2023-03-27 20:33:39.218756,2023-03-27 20:34:03.793,7.69,0.039,0.093,0.009,24.574244,7.831,16.743244,keda+keda
3,101,2023-03-27 20:33:42.244987,2023-03-27 20:34:10.819,16.4,0.050,0.048,0.008,28.574013,16.505999999999997,12.068013000000004,keda+keda
4,102,2023-03-27 20:33:42.246547,2023-03-27 20:34:11.495,16.5,0.042,0.034,0.018,29.248453,16.594,12.654453,keda+keda
5,105,2023-03-27 20:33:44.254646,2023-03-27 20:34:11.011,12.5,0.208,0.040,0.021,26.756354,12.769,13.987354000000002,keda+keda
6,106,2023-03-27 20:33:44.256145,2023-03-27 20:34:23.793,16.9,0.196,0.114,0.009,39.536855,17.219,22.317855,keda+keda
7,107,2023-03-27 20:33:45.259534,2023-03-27 20:34:11.606,16.8,0.212,0.154,0.010,26.346466,17.176000000000002,9.170465999999998,keda+keda
8,108,2023-03-27 20:33:45.261125,2023-03-27 20:34:24.616,13.2,0.086,0.164,0.009,39.354875,13.459,25.895875,keda+keda
9,109,2023-03-27 20:33:46.274292,2023-03-27 20:34:11.264,13.2,0.071,0.208,0.010,24.989708,13.488999999999999,11.500708000000001,keda+keda
10,110,2023-03-27 20:33:46.275820,2023-03-27 20:34:12.005,13.1,0.053,0.110,0.008,25.72918,13.270999999999999,12.45818,keda+keda
11,111,2023-03-27 20:33:47.279768,2023-03-27 20:34:11.817,13.5,0.044,0.044,0.007,24.537232,13.595,10.942231999999999,keda+keda
12,112,2023-03-27 20:33:47.281238,2023-03-27 20:34:13.530,13.6,0.071,0.522,0.012,26.248762,14.205,12.043762,keda+keda
13,113,2023-03-27 20:33:48.284643,2023-03-27 20:34:11.902,6.41,0.050,0.078,0.017,23.617357,6.555000000000001,17.062357,keda+keda
14,114,2023-03-27 20:33:48.286250,2023-03-27 20:34:12.287,14.2,0.043,0.054,0.008,24.00075,14.304999999999998,9.695750000000002,keda+keda
15,115,2023-03-27 20:33:49.289582,2023-03-27 20:34:12.611,14.7,0.055,0.047,0.009,23.321418,14.811,8.510418000000001,keda+keda
16,116,2023-03-27 20:33:49.291110,2023-03-27 20:34:13.297,6.74,0.054,0.088,0.009,24.00589,6.891000000000001,17.11489,keda+keda
17,117,2023-03-27 20:33:50.294466,2023-03-27 20:34:22.892,2.94,0.139,0.101,0.007,32.597534,3.187,29.410534000000002,keda+keda
18,118,2023-03-27 20:33:50.296040,2023-03-27 20:34:24.699,3.02,0.065,0.076,0.010,34.40296,3.171,31.23196,keda+keda
19,119,2023-03-27 20:33:51.312314,2023-03-27 20:34:06.696,3.64,0.149,0.088,0.008,15.383686,3.8850000000000002,11.498686000000001,keda+keda
20,120,2023-03-27 20:33:51.313941,2023-03-27 20:34:06.844,2.80,0.046,0.038,0.015,15.530059,2.8989999999999996,12.631059,keda+keda
21,121,2023-03-27 20:33:52.317858,2023-03-27 20:34:13.187,23.8,0.045,0.048,0.008,20.869142,23.901,-3.0318579999999997,keda+keda
22,122,2023-03-27 20:33:52.319391,2023-03-27 20:34:25.190,29.3,0.108,0.108,0.026,32.870609,29.542,3.328609,keda+keda
23,123,2023-03-27 20:33:53.324519,2023-03-27 20:34:26.091,12.9,0.071,1.883,0.032,32.766481,14.886,17.880481,keda+keda
24,124,2023-03-27 20:33:53.326244,2023-03-27 20:34:26.788,17.5,0.040,0.084,0.028,33.461756,17.651999999999997,15.809756000000004,keda+keda
25,125,2023-03-27 20:33:54.329040,2023-03-27 20:34:13.718,30.1,0.036,0.041,0.008,19.38896,30.185000000000002,-10.796040000000001,keda+keda
26,126,2023-03-27 20:33:54.330648,2023-03-27 20:34:24.492,25.4,0.037,0.307,0.012,30.161352,25.755999999999997,4.405352000000004,keda+keda
27,127,2023-03-27 20:33:55.333911,2023-03-27 20:34:25.978,13.8,0.070,0.037,0.011,30.644089,13.918000000000001,16.726089,keda+keda
28,128,2023-03-27 20:33:55.335515,2023-03-27 20:34:26.178,18.4,0.065,0.184,0.010,30.842485,18.659000000000002,12.183484999999997,keda+keda
29,129,2023-03-27 20:33:56.353780,2023-03-27 20:34:37.149,15.1,0.055,0.040,0.009,40.79522,15.203999999999999,25.59122,keda+keda
30,131,2023-03-27 20:33:57.359272,2023-03-27 20:34:38.209,19.2,0.062,0.061,0.018,40.849728,19.341,21.508727999999998,keda+keda
31,132,2023-03-27 20:33:57.360855,2023-03-27 20:34:26.901,15.1,0.071,0.034,0.013,29.540145,15.218,14.322144999999999,keda+keda
32,133,2023-03-27 20:33:58.364465,2023-03-27 20:34:26.372,4.44,0.057,0.036,0.010,28.007535,4.543,23.464535,keda+keda
33,134,2023-03-27 20:33:58.366103,2023-03-27 20:34:40.361,14.9,0.058,0.056,0.010,41.994897,15.024,26.970897,keda+keda
34,135,2023-03-27 20:33:59.369461,2023-03-27 20:34:39.158,14.8,0.043,0.190,0.010,39.788539,15.043,24.745539,keda+keda
35,139,2023-03-27 20:34:01.389404,2023-03-27 20:34:38.133,11.7,0.035,0.062,0.013,36.743596,11.809999999999999,24.933595999999998,keda+keda
36,140,2023-03-27 20:34:01.390994,2023-03-27 20:34:24.986,2.77,0.034,0.058,0.013,23.595006,2.8749999999999996,20.720006,keda+keda
37,141,2023-03-27 20:34:02.393977,2023-03-27 20:34:26.566,19.7,0.048,0.210,0.010,24.172023,19.968,4.204022999999999,keda+keda
38,143,2023-03-27 20:34:03.398890,2023-03-27 20:34:27.009,16.0,0.055,0.129,0.010,23.61011,16.194000000000003,7.416109999999996,keda+keda
39,144,2023-03-27 20:34:03.400409,2023-03-27 20:34:39.598,15.6,0.046,0.045,0.032,36.197591,15.722999999999999,20.474591000000004,keda+keda
40,146,2023-03-27 20:34:04.405339,2023-03-27 20:34:37.477,11.6,0.055,0.048,0.011,33.071661,11.713999999999999,21.357661,keda+keda
41,147,2023-03-27 20:34:05.408704,2023-03-27 20:34:40.194,12.7,0.044,0.035,0.014,34.785296,12.793,21.992296000000003,keda+keda
42,151,2023-03-27 20:34:07.432103,2023-03-27 20:34:40.272,6.64,0.041,0.049,0.006,32.839897,6.736000000000001,26.103897,keda+keda
43,152,2023-03-27 20:34:07.433726,2023-03-27 20:34:39.397,11.0,0.138,0.093,0.007,31.963274,11.238,20.725274,keda+keda
44,153,2023-03-27 20:34:08.436969,2023-03-27 20:34:24.293,9.53,0.071,0.077,0.010,15.856031,9.687999999999999,6.168031000000001,keda+keda
