time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1680015939,0.4571385767474137,0.5,1749595.7323654592,52428800,0,3.0,0.027438512872439765,0.05,493531.10029089986,52428800,0,50.0,0.09659939137937804,0.1,1255218.649892897,52428800,0,50.0,0.0233999364679374,0.4,484771.5460187523,536870912,1,50.0,0.00006534107221831669,16822.022735489056,0,0.0012600934392097331,0,1,0.00339372875520072,0,1,0
1680015940,0.4713376262684866,0.5,1804659.4867673428,52428800,0,3.0,0.06480538244613188,0.05,973879.968552739,52428800,0,50.0,0.09961042516115642,0.1,1297862.395430281,52428800,0,50.0,0.06663940691727356,0.4,524519.9509071381,536870912,1,50.0,0.12741422664379204,1587151.24679447,0,0.0012600934392097331,0,1,0.0036454823785669254,0,1,0
1680015941,0.4855366757895594,0.5,1859723.2411692266,52428800,0,3.0,0.06664801980702434,0.05,1004277.3165012987,52428800,0,50.0,0.10262145894293483,0.1,1340506.140967665,52428800,0,50.0,0.06729018246773487,0.4,564268.355795524,536870912,1,50.0,0.13245667056962046,3175857.592719409,0,0.0012600934392097331,0,1,0.0036666335352007707,0,1,0
1680015942,0.49973572531063215,0.5,4672728.356641395,52428800,0,3.0,0.0684906571679168,0.05,1034674.6644498586,52428800,0,50.0,0.10563249272471321,0.1,1383149.8865050492,52428800,0,50.0,0.06794095801819619,0.4,604016.7606839096,536870912,1,50.0,0.13749911449544883,3302943.3574010916,0,0.0012600934392097331,0,1,0.003687784691834615,0,1,0
1680015943,0.5139347748317049,0.5,4812106.010923941,52428800,0,3.0,0.08434176082623136,0.05,1065072.0123984185,52428800,0,50.0,0.10864352650649163,0.1,2669242.137333868,52428800,0,50.0,0.0685917335686575,0.4,643765.1655722953,536870912,1,50.0,0.14262411437938644,3448462.861114756,0,0.0012600934392097331,0,1,0.003997025177399743,0,1,0
1680015944,0.5282020124295204,0.5,4951483.6652064845,52428800,0,3.0,0.08529988571372701,0.05,1095469.3603469785,52428800,0,50.0,0.1118668092838149,0.1,2748507.1460998403,52428800,0,50.0,0.06932195239722247,0.4,683513.570460681,536870912,1,50.0,0.1476665583052148,3575548.6257964387,0,0.0006336830030962376,0,1,0.003997025177399743,0,1,0
1680015945,0.542522541275743,0.5,5090861.319489029,52428800,0,3.0,0.08625801060122268,0.05,1125866.708295538,52428800,0,50.0,0.1615555190461065,0.1,2827772.1548658116,52428800,0,50.0,0.06997272794768378,0.4,723261.9753490668,536870912,1,50.0,0.1527090022310432,4489236.507779057,0,0.0006336830030962376,0,1,0.003997025177399743,0,1,0
1680015946,0.9792637558047892,0.5,5230238.973771574,52428800,0,3.0,0.08721613548871832,0.05,1156264.0562440983,52428800,0,50.0,0.16622325092883822,0.1,2907037.163631784,52428800,0,50.0,0.10102247030305606,0.4,763010.3802374525,536870912,1,50.0,0.1577514461568716,4636515.893421921,0,0.0006713247559139052,0,1,0.003997025177399743,0,1,0
1680015947,1.8705087616925382,0.5,7793813.202764792,52428800,0,3.0,0.08817426037621401,0.05,1186661.4041926584,52428800,0,50.0,0.17089098281156995,0.1,2986302.1723977556,52428800,0,50.0,0.10265807595577112,0.4,802758.7851258381,536870912,1,50.0,0.2196889634499314,5525477.386043959,0,0.0005013080092777114,0,1,0.003875037971884759,0,1,0
1680015948,1.9315888120250042,0.5,8056709.294199703,52428800,0,3.0,0.11572591264063128,0.05,1676782.37957119,52428800,0,50.0,0.17555871469430168,0.1,3128036.5828637853,52428800,0,50.0,0.10429368160848618,0.4,842507.1900142238,536870912,1,50.0,0.22679235203749998,5698349.765143069,0,0.0005132471833200732,0,1,0.0038666955403227838,0,1,0
1680015949,1.9927067007774815,0.5,10030259.327749519,52428800,0,3.0,0.11765528111641668,0.05,1723073.8241581314,52428800,0,50.0,0.23695636128031813,0.1,3834845.394635315,52428800,0,50.0,0.11523586255371192,0.4,882255.5949026095,536870912,1,50.0,0.23389574062506854,5871222.14424218,0,0.0007163504425417122,0,1,0.003207707915847458,0,1,0
1680015950,2.0537376836130634,0.5,15424862.882651405,52428800,0,3.0,0.11958464959220207,0.05,2733891.2714281892,52428800,0,50.0,0.24296870485161481,0.1,3935081.2264481173,52428800,0,50.0,0.11622069265596568,0.4,922003.9997909953,536870912,1,50.0,0.24108335730974872,7222716.039984634,0,0.0012953444561294835,0,1,0.003199365484285483,0,1,0
1680015951,2.1147686664486454,0.5,15924680.187116109,52428800,0,3.0,0.1494422989411352,0.05,3903386.503363599,52428800,0,50.0,0.29233207016795726,0.1,4035317.058260919,52428800,0,50.0,0.11720552275821944,0.4,1164973.990085584,536870912,1,50.0,0.2481867458973173,7431581.328368651,0,0.0012953444561294835,0,1,0.0031910230527235073,0,1,0
1680015952,2.70054346352727,0.5,16431062.589844348,52428800,0,3.0,0.15227169312802297,0.05,4964624.065661318,52428800,0,50.0,0.2995944160369798,0.1,4135552.890073722,52428800,0,50.0,0.16253034736986338,0.4,1266026.2106705895,536870912,1,50.0,0.25536815970209287,7660534.165567489,0,0.0012953444561294835,0,1,0.003182680621161532,0,1,0
1680015953,2.7781731218736203,0.5,16916398.972275157,52428800,0,3.0,0.15510108731491073,0.05,5104217.656251135,52428800,0,50.0,0.3068567619060023,0.1,5516350.930031656,52428800,0,50.0,0.16475448099035078,0.4,1434153.1522954984,536870912,1,50.0,0.2624715482896614,7869399.453951508,0,0.0012953444561294835,0,1,0.0031743381895995566,0,1,0
1680015954,3.915752854775906,0.5,17401735.35470596,52428800,0,3.0,0.18609293599766624,0.05,5804181.729349788,52428800,0,50.0,0.348099461100775,0.1,5645628.064345476,52428800,0,50.0,0.16697861461083813,0.4,1456388.190834882,536870912,1,50.0,0.26957493687723005,8078264.7423355235,0,0.0012953444561294835,0,1,0.0031659957580375815,0,1,0
1680015955,4.024057133323296,0.5,21168773.22166354,52428800,0,3.0,0.18979056125023902,0.05,5960092.059136512,52428800,0,50.0,0.3689330256084332,0.1,6353180.6322636,52428800,0,50.0,0.1692027482313255,0.4,1478623.2293742658,536870912,1,50.0,0.2766783254647986,8287130.030719542,0,0.0012953444561294835,0,1,0.003157653326475606,0,1,0
1680015956,4.200361175622919,0.5,21748168.017043013,52428800,0,3.0,0.1934881865028118,0.05,6116002.388923235,52428800,0,50.0,0.4412720451168264,0.1,6498142.204866494,52428800,0,50.0,0.19626746470563594,0.4,2475319.4461486223,536870912,1,50.0,0.2983999164611217,10776379.126980964,0,0.0012953444561294835,0,1,0.003149310894913631,0,1,0
1680015957,4.312517867222043,0.5,26235785.50435911,52428800,0,3.0,0.19718581175538463,0.05,6271912.718709959,52428800,0,50.0,0.4748066368978595,0.1,6643103.777469387,52428800,0,50.0,0.20291004492328765,0.4,2554756.4414145453,536870912,1,50.0,0.3886251930654504,12158638.496277798,0,0.0012953444561294835,0,1,0.0018064111687315942,0,1,0
1680015958,5.03852905258532,0.5,26922873.44427454,52428800,0,3.0,0.20083291828542577,0.05,6412920.267561622,52428800,0,50.0,0.48206898276688204,0.1,6906364.314065552,52428800,0,50.0,0.23937228282875203,0.4,3098708.749471928,536870912,1,50.0,0.46336199076865026,13190807.752653867,0,0.0012953444561294835,0,1,0.0017852600120977491,0,1,0
