time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1680023405,0.0199955007790075,0.5,1443448.3045488843,52428800,1,3.0,0,0.05,0,52428800,1,50.0,0.02031075741245312,0.30000000000000004,11566.216879942207,157286400,3,50.0,0.008803546376894166,0.1,0,134217728,1,50.0,0.00007878477310607254,758610.0205069563,1,0.0007127758497741633,0,1,0.003323696901134503,0,1,0
1680023406,0.020632854492536927,0.5,1502916.9044469486,52428800,1,3.0,0,0.05,0,52428800,1,50.0,0.02164376229929247,0.30000000000000004,14185.24792585866,157286400,3,50.0,0.008803546376894166,0.1,0,134217728,1,50.0,0.00007878477310607254,785158.9818181819,1,0.0007127758497741633,0,1,0.003323696901134503,0,1,0.06666666666666665
1680023407,0.02119806804682061,0.5,1543665.104218536,52428800,1,3.0,0,0.05,0,52428800,1,50.0,0.023341146598483943,0.30000000000000004,17118.987223289216,157286400,3,50.0,0.00882304215078135,0.1,154.1153231116546,134217728,1,50.0,0.00007878477310607254,811707.9431294072,1,0.0007127758497741633,0,1,0.003323696901134503,0,1,0.06666666666666667
1680023408,0.0217632816011043,0.5,1584413.3039901236,52428800,1,3.0,0,0.1,0,104857600,2,50.0,0.02510627431612595,0.30000000000000004,17435.263430905132,157286400,3,50.0,0.005897591805169343,0.2,154.1153231116546,268435456,1,50.0,0.00007878477310607254,838256.9044406329,3,0.0013289841639215127,0,1,0.004834674400229094,0,1,0.06666666666666667
1680023409,0.022328495155387984,0.5,1625161.503761711,52428800,1,3.0,0,0.1,0,104857600,2,50.0,0.02510627431612595,0.30000000000000004,17435.263430905132,157286400,3,50.0,0.005551689554906329,0.2,154.1153231116546,268435456,1,50.0,0.00007878477310607254,884771.2734690818,3,0.0013289841639215127,0,1,0.004822365986527972,0,1,0.06666666666666667
1680023410,0.02289370870967167,0.5,1665909.7035332986,52428800,1,3.0,0,0.1,0,104857600,2,50.0,0.02033932373723074,0.30000000000000004,13073.789337486984,157286400,3,50.0,0.005528507311741459,0.2,154.1153231116546,268435456,1,50.0,0.0650090361936316,911320.2347803075,3,0.0006162083141473496,0,1,0.0038781560802474127,0,1,0.06666666666666667
1680023411,0.023458922263955354,0.5,1706657.903304886,52428800,1,3.0,0,0.1,0,104857600,2,50.0,0.020365576851034538,0.30000000000000004,13073.789337486984,157286400,3,50.0,0.005505325068576591,0.2,154.1153231116546,268435456,1,50.0,0.0676305330013218,937869.1960915328,3,0.001250187750624058,0,1,0.0037906344060857347,0,1,0.06666666666666665
1680023412,0.024024135818239045,0.5,1747406.1030764733,52428800,1,3.0,0.00005573754320302287,0.1,17784.348942044508,104857600,2,50.0,0.020391829964838334,0.30000000000000004,13073.789337486984,157286400,3,50.0,0.005482142825411721,0.2,154.1153231116546,268435456,1,50.0,0.070252029809012,964418.1574027584,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.06666666666666667
1680023413,0.02458934937252273,0.5,1788154.302848061,52428800,1,3.0,0.000057058995660478545,0.1,18205.9888325598,104857600,2,50.0,0.02041808307864213,0.30000000000000004,13073.789337486984,157286400,3,50.0,0.007601668104697826,0.2,1215.7365244334974,268435456,1,50.0,0.0728735266167022,990967.1187139837,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.06666666666666667
1680023414,0.025154562926806415,0.5,1828902.5026196484,52428800,1,3.0,0.00007928714744734043,0.1,25298.39343091753,104857600,2,50.0,0.018365405005961094,0.30000000000000004,9908.849666771946,157286400,3,50.0,0.005477540550654803,0.2,1386.932931923066,268435456,1,50.0,0.18835786688541,2412160.9691344476,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.06666666666666667
1680023415,0.025719776481090098,0.5,1869650.702391236,52428800,1,3.0,0.00007928714744734043,0.1,25298.39343091753,104857600,2,50.0,0.01622171197055584,0.30000000000000004,8837.625334360378,157286400,3,50.0,0.005454358307489934,0.2,1386.932931923066,268435456,1,50.0,0.19377685896558586,2494084.2267052443,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.06666666666666667
1680023416,0.09929671524128059,0.5,3134565.6533616837,52428800,1,3.0,0.031124557422655533,0.1,525468.2304838311,104857600,2,50.0,0.016327619771104297,0.30000000000000004,8837.625334360378,157286400,3,50.0,0.005431176064325065,0.2,1386.932931923066,268435456,1,50.0,0.19919585104576173,2576007.484276041,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.7999999999999998
1680023417,0.1013579104958153,0.5,3208512.045683648,52428800,1,3.0,0.032082193068447014,0.1,1048258.1480283419,104857600,2,50.0,0.0320156617350945,0.30000000000000004,185046.72287207984,157286400,3,50.0,0.005407993821160195,0.2,1386.932931923066,268435456,1,50.0,0.2046148431259376,3416477.959998928,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.8
1680023418,0.10341910575035003,0.5,3282458.4380056113,52428800,1,3.0,0.033039828714238474,0.1,1077880.4359627836,104857600,2,50.0,0.034227876994463,0.30000000000000004,187509.0262422683,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.21003383520611346,7912710.890519157,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.8
1680023419,0.10548030100488472,0.5,3356404.830327576,52428800,1,3.0,0.03399746436002995,0.1,1107502.7238972252,104857600,2,50.0,0.034544472558539575,0.30000000000000004,188349.40978086062,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.2304429261966518,8147817.125394714,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.8
1680023420,0.10754149625941944,0.5,3430351.22264954,52428800,1,3.0,0.034955100005821416,0.1,1137125.0118316663,104857600,2,50.0,0.034767850754963456,0.30000000000000004,188472.94903122392,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.23586191827682768,8382923.360270272,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,0.8
1680023421,0.10960269151395417,0.5,3504297.614971504,52428800,1,3.0,0.03591273565161289,0.1,1166747.299766108,104857600,2,50.0,0.03499122895138733,0.30000000000000004,188596.48828158723,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.24128091035700358,8618029.595145827,3,0.001250187750624058,0,1,0.0032950976704785653,0,1,1.0666666666666664
1680023422,0.36740840678400816,0.5,6839801.051418933,52428800,1,3.0,0.03687037129740437,0.1,1196369.5877005495,104857600,2,50.0,0.03521460714781121,0.30000000000000004,188720.02753195053,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.24669990243717946,8853135.830021385,3,0.001250187750624058,0,1,0.011274719278086275,1189.8761317344224,1,1.0666666666666667
1680023423,0.3751233903151687,0.5,6913747.443740898,52428800,1,3.0,0.03782800694319584,0.1,1225991.875634991,104857600,2,50.0,0.03634072284799345,0.30000000000000004,188843.56678231384,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.2521188945173553,9093357.429098137,3,0.001250187750624058,0,1,0.025704822935012615,3292.6066520250142,1,1.0666666666666667
1680023424,0.38283837384632935,0.5,6987693.836062862,52428800,1,3.0,0.038785642588987305,0.1,1255614.1635694322,104857600,2,50.0,0.03648648960103012,0.30000000000000004,188967.10603267714,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.2575378865975312,9328463.663973691,3,0.001250187750624058,0,1,0.025704822935012615,3292.6066520250142,1,1.0666666666666667
1680023425,0.39055335737749,0.5,7530581.29725517,52428800,1,3.0,0.03974327823477878,0.1,1285236.4515038738,104857600,2,50.0,0.03663225635406678,0.30000000000000004,189090.64528304042,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.262956878677707,9563569.898849249,3,0.001250187750624058,0,1,0.025704822935012615,3292.6066520250142,1,1.0666666666666667
1680023426,0.3982683409086506,0.5,7571329.497026757,52428800,1,3.0,0.04070091388057025,0.1,1314858.7394383154,104857600,2,50.0,0.036778023107103444,0.30000000000000004,189214.18453340372,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.26837587075788294,9798676.133724807,3,0.001250187750624058,0,1,0.025704822935012615,3292.6066520250142,1,2.133333333333333
1680023427,0.4059833244398112,0.5,7612077.696798345,52428800,1,3.0,0.04165854952636172,0.1,1344481.027372757,104857600,2,50.0,0.04631887193808225,0.30000000000000004,212052.99741894923,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.27379486283805876,10033782.368600365,3,0.001250187750624058,0,1,0.027247961218146318,3593.3261299325895,1,2.1333333333333333
1680023428,0.41249370437711474,0.5,7652825.896569933,52428800,1,3.0,0.0631101646056018,0.1,1441016.8041355899,104857600,2,50.0,0.046241260494695034,0.30000000000000004,212052.99741894923,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.27921385491823464,10268888.60347592,3,0.001250187750624058,0,1,0.031005395103493993,4169.334241143966,1,2.1333333333333333
1680023429,0.41871270620802437,0.5,7693574.09634152,52428800,1,3.0,0.06456008897187006,0.1,1472246.4302595195,104857600,2,50.0,0.04616364905130782,0.30000000000000004,212052.99741894923,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.31797723304779724,10503994.838351477,3,0.001250187750624058,0,1,0.03299105221519136,4468.273139360965,1,2.1333333333333333
1680023430,0.42468902954828364,0.5,6456528.568352752,52428800,1,3.0,0.06601001333813833,0.1,1503476.0563834491,104857600,2,50.0,0.046086037607920606,0.30000000000000004,212052.99741894923,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.34497443330109906,10739101.073227033,3,0.001250187750624058,0,1,0.03299105221519136,4468.273139360965,1,2.1333333333333333
1680023431,0.4303003297772357,0.5,6445502.903017884,52428800,1,3.0,0.10645591756792203,0.1,1675423.1343095985,104857600,2,50.0,0.04600842616453339,0.30000000000000004,212052.99741894923,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.35039342538127494,10974207.308102591,3,0.001250187750624058,0,1,0.03299105221519136,4468.273139360965,1,1.733333333333333
1680023432,0.4359541180538616,0.5,6445502.903017884,52428800,1,3.0,0.1074135532137135,0.1,1705045.42224404,104857600,2,50.0,0.046710854429806145,0.30000000000000004,216429.45437209526,157286400,3,50.0,0.004548419426850008,0.2,1386.932931923066,268435456,1,50.0,0.39114000130303067,11209313.542978149,3,0.001250187750624058,0,1,0.03299105221519136,4468.273139360965,1,1.7333333333333334
1680023433,0.4076950930734663,0.5,5253448.597148059,52428800,1,3.0,0.10837118885950497,0.1,1734667.7101784816,104857600,2,50.0,0.0482747699808996,0.30000000000000004,221633.2833124325,157286400,3,50.0,0.004617403926123425,0.2,19056.15221718831,268435456,1,50.0,0.39673098821020975,11458805.945000678,3,0.001250187750624058,0,1,0.03299105221519136,4468.273139360965,1,1.7333333333333334
1680023434,0.7449995020610783,0.5,8690595.979528606,52428800,1,3.0,0.10932882450529643,0.1,1764289.998112923,104857600,2,50.0,0.04828517343113176,0.30000000000000004,221992.72849526996,157286400,3,50.0,0.004619037584665909,0.2,19474.58637744751,268435456,1,50.0,0.4410568843507788,10942112.90059188,3,0.001250187750624058,0,1,0.03299105221519136,4468.273139360965,1,1.7333333333333334
1680023435,0.7601785409965176,0.5,8775464.332337618,52428800,1,3.0,0.11028646015108792,0.1,1793912.2860473644,104857600,2,50.0,0.06375832400024249,0.30000000000000004,352267.9280558902,157286400,3,50.0,0.004245827427975458,0.2,26408.184623031688,268435456,1,50.0,0.2762489581149488,11163798.058933606,3,0.001250187750624058,0,1,0.03299105221519136,4468.273139360965,1,1.7333333333333334
1680023436,0.775357579931957,0.5,8860332.68514663,52428800,1,3.0,0.11124409579687938,0.1,2288271.4149854924,104857600,2,50.0,0.06724728165617135,0.30000000000000004,375966.71969301597,157286400,3,50.0,0.004220212881209249,0.2,637520.0516525304,268435456,1,50.0,0.3344077108631889,10594203.082269546,3,0.0006339794364767084,0,1,0.04061584141028664,5075.2286914161605,1,1.733333333333333
1680023437,0.789212571300043,0.5,8945201.037955644,52428800,1,3.0,0.11220173144267087,0.1,2358474.984879739,104857600,2,50.0,0.06855171484148444,0.30000000000000004,395640.3542938995,157286400,3,50.0,0.004194598334443039,0.2,656482.8242435066,268435456,1,50.0,0.2982607451983388,9989446.644336604,3,0.0006339794364767084,0,1,0.04061584141028664,5075.2286914161605,1,1.7333333333333334
1680023438,0.7987378219588562,0.5,9030069.390764656,52428800,1,3.0,0.11315936708846233,0.05,2428678.5547739854,52428800,1,50.0,0.06861385925397473,0.30000000000000004,395999.799476737,157286400,3,50.0,0.00416898378767683,0.1,675445.5968344826,134217728,1,50.0,0.29868103850395916,12621390.174451409,3,0.0006339794364767084,0,1,0.04445181780572507,5303.4581811661155,1,1.7333333333333334
1680023439,0.8082630726176697,0.5,9114937.743573667,52428800,1,3.0,0.11411700273425379,0.05,2498882.124668232,52428800,1,50.0,0.06867600366646504,0.30000000000000004,396359.24465957447,157286400,3,50.0,0.0041433692409106205,0.1,694408.3694254586,134217728,1,50.0,0.29910133180957954,10632988.50905628,3,0.0017102109765957433,0,1,0.04467936019996761,5312.684653211887,1,1.7333333333333334
1680023440,0.8177883232764831,0.5,9199806.096382681,52428800,1,3.0,0.11507463838004528,0.05,2569085.6945624785,52428800,1,50.0,0.06873814807895533,0.30000000000000004,396718.6898424119,157286400,3,50.0,0.004117754694144412,0.1,713371.1420164348,134217728,1,50.0,0.2995216251151999,14962669.401238611,3,0.0010762315401190348,0,1,0.04199510094441425,4955.107865481699,1,1.7333333333333334
1680023441,0.8273135739352965,0.5,9284674.449191691,52428800,1,3.0,0.11603227402583674,0.05,2639289.264456725,52428800,1,50.0,0.05587033102118971,0.30000000000000004,254379.19938901116,157286400,3,50.0,0.004092140147378202,0.1,732333.914607411,134217728,1,50.0,0.29994191842082035,14295626.273169314,3,0.0010762315401190348,0,1,0.042222643338656794,4964.334337527472,1,2.266666666666666
1680023442,2.143963797463983,0.5,10360926.530231519,52428800,1,3.0,0.11698990967162823,0.05,2709492.834350971,52428800,1,50.0,0.05595872854748381,0.30000000000000004,254738.64457184865,157286400,3,50.0,0.0031095661334264134,0.1,751094.126427466,134217728,1,50.0,0.30036221172644073,14400999.20362478,3,0.00628633272307302,1725.7494733430563,1,0.04245018573289933,4973.560809573244,1,2.2666666666666666
1680023443,2.1824006574451915,0.5,10445794.88304053,52428800,1,3.0,0.1179062945993145,0.05,1862142.1225922168,52428800,1,50.0,0.056047126073777896,0.30000000000000004,255098.0897546861,157286400,3,50.0,0.00009801951254896281,0.1,769000.6996792969,134217728,1,50.0,0.3007825050320611,14506372.134080246,3,0.00628633272307302,1725.7494733430563,1,0.04267772812714187,4982.787281619016,1,2.2666666666666666
1680023444,1.8816102208288459,0.5,7269106.191724078,52428800,1,3.0,0.09708717749314286,0.05,1485803.0282501974,52428800,1,50.0,0.087179259328001,0.30000000000000004,404309.03212748637,157286400,3,50.0,0.00009801951254896281,0.1,787968.8941324495,134217728,1,50.0,0.2735874748026731,14611745.064535713,3,0.00628633272307302,1725.7494733430563,1,0.04290527052138442,4992.013753664787,1,2.2666666666666666
1680023445,1.920047080810054,0.5,7353974.544533091,52428800,1,3.0,0.09708717749314286,0.05,1526384.3102100021,52428800,1,50.0,0.09509487413523565,0.30000000000000004,490863.19813630014,157286400,3,50.0,0.00009801951254896281,0.1,806937.0885856024,134217728,1,50.0,0.2747523130116751,14717117.994991183,3,0.00628633272307302,1725.7494733430563,1,0.043132812915626956,5001.24022571056,1,2.2666666666666666
1680023446,1.9584839407912629,0.5,7438842.897342103,52428800,1,3.0,0.08802613577290846,0.05,1184711.0381023558,52428800,1,50.0,0.12375905089395929,0.30000000000000004,5131371.144942587,157286400,3,50.0,0.00009801951254896281,0.1,825905.2830387552,134217728,1,50.0,0.23495824558055356,14822490.925446648,3,0.00628633272307302,1725.7494733430563,1,0.0433603553098695,5010.466697756332,1,2.266666666666666
1680023447,1.9969208007724715,0.5,7523711.2501511155,52428800,1,3.0,0.08802613577290846,0.05,1225292.3200621607,52428800,1,50.0,0.13063156434485768,0.30000000000000004,5149077.502727405,157286400,3,50.0,0.00009801951254896281,0.1,844873.477491908,134217728,1,50.0,0.22038843997581148,10482670.98364421,3,0.00628633272307302,1725.7494733430563,1,0.04358789770411204,5019.6931698021035,1,2.2666666666666666
1680023448,2.03535766075368,0.5,7608579.602960127,52428800,1,3.0,0.08802613577290846,0.05,1265873.6020219657,52428800,1,50.0,0.16399969022750044,0.30000000000000004,8856772.663010795,157286400,3,50.0,0.00009801951254896281,0.1,863841.6719450608,134217728,1,50.0,0.230370806210582,9890755.207354581,3,0.00628633272307302,1725.7494733430563,1,0.043815440098354586,5028.919641847875,1,2.2666666666666666
1680023449,2.0737945207348885,0.5,7693447.955769139,52428800,1,3.0,0.08802613577290846,0.05,996657.3775006197,52428800,1,50.0,0.1621999576889869,0.30000000000000004,8852235.027022654,157286400,3,50.0,0.00009801951254896281,0.1,882809.8663982134,134217728,1,50.0,0.23079109951620239,9906037.087598205,3,0.00628633272307302,1725.7494733430563,1,0.04209843944686282,4745.396901452615,1,2.2666666666666666
1680023450,2.100894722418771,0.5,7778316.308578152,52428800,1,3.0,0.08802613577290846,0.05,996657.3775006197,52428800,1,50.0,0.16205739332440247,0.30000000000000004,8851875.581839817,157286400,3,50.0,0.00009801951254896281,0.1,901778.0608513663,134217728,1,50.0,0.23423964106703726,8620576.441730767,3,0.00628633272307302,1725.7494733430563,1,0.04219908657578728,4735.519405054049,1,2.2666666666666666
1680023451,2.1216569482124745,0.5,7863184.661387165,52428800,1,3.0,0.08802613577290846,0.05,996657.3775006197,52428800,1,50.0,0.16191482895981807,0.30000000000000004,8851516.13665698,157286400,3,50.0,0.00009801951254896281,0.1,920746.2553045191,134217728,1,50.0,0.24283116496045262,8652836.03570695,3,0.00628633272307302,1725.7494733430563,1,0.04229973370471174,4725.641908655482,1,2.1999999999999997
1680023452,2.35310692670012,0.5,7786028.698475217,52428800,1,3.0,0.08802613577290846,0.05,996657.3775006197,52428800,1,50.0,0.16177226459523367,0.30000000000000004,8851156.691474143,157286400,3,50.0,0.00009801951254896281,0.1,939714.4497576717,134217728,1,50.0,0.24283116496045262,8708425.94522968,3,0.00628633272307302,1725.7494733430563,1,0.0424003808336362,4715.764412256917,1,2.2
1680023453,2.4071273885457916,0.5,7870897.051284231,52428800,1,3.0,0.08802613577290846,0.05,2463658.9629283547,52428800,1,50.0,0.16162970023064926,0.30000000000000004,8850797.246291306,157286400,3,50.0,0.00009801951254896281,0.1,958682.6442108245,134217728,1,50.0,0.24283116496045262,8745800.903407054,3,0.00628633272307302,1725.7494733430563,1,0.05564756663636703,4882.038645809008,1,2.2
1680023454,2.4611478503914626,0.5,7913352.13407319,52428800,1,3.0,0.08826142345712495,0.05,2563074.635304001,52428800,1,50.0,0.17541216191852663,0.30000000000000004,11728635.133589387,157286400,3,50.0,0.00009801951254896281,0.1,977650.8386639771,134217728,1,50.0,0.23673759014589654,8783175.861584429,3,0.00628633272307302,1725.7494733430563,1,0.05552067137104895,4862.93467736467,1,2.2
1680023455,3.891951081370113,0.5,13511924.578570755,52428800,1,3.0,0.08835840043711929,0.05,2634407.3470675754,52428800,1,50.0,0.1752695975539422,0.30000000000000004,11728275.68840655,157286400,3,50.0,0.00009801951254896281,0.1,996619.0331171299,134217728,1,50.0,0.2048963592472878,8863172.297665065,3,0.00628633272307302,1725.7494733430563,1,0.04988107740242845,3407.844159227742,1,2.2
