time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1680172986,0.00006037305871916217,2,18514.092164603375,209715200,4,3.0,0.026910093242569013,0.1,456096.6095548539,104857600,0,50.0,0.055524676980081025,0.4,599605.5223558831,209715200,1,50.0,0.0017531433646435456,0.1,3206.1657032755297,134217728,1,50.0,0.16491889494360287,4976517.311546046,1,0.0035876860274704934,0,1,0.0038696268960144923,0,1,0.2
1680172987,0.00006189178228923103,2,18979.826198050414,209715200,4,3.0,0.028187708850697775,0.1,476676.74605276564,104857600,0,50.0,0.05717839499344282,0.4,618994.5449057906,209715200,1,50.0,0.0017531433646435456,0.1,3206.1657032755297,134217728,1,50.0,0.16845875151672632,5077418.530376311,1,0.003053758311626531,0,1,0.0038696268960144923,0,1,0.2
1680172988,0.00006341050585929987,2,19445.56023149745,209715200,4,3.0,0.029465324458826526,0.1,497256.8825506775,104857600,0,50.0,0.0588321130068046,0.4,638383.5674556978,209715200,1,50.0,0.0017531433646435456,0.1,3206.1657032755297,134217728,1,50.0,0.17199860808984976,5178319.749206577,1,0.003053758311626531,0,1,0.007072685355984234,0,1,0.2
1680172989,0.00006492922942936873,2,19911.29426494449,209715200,4,3.0,0.03074294006695528,0.1,517837.0190485892,104857600,0,50.0,0.06054943644589125,0.4,657772.5900056051,209715200,1,50.0,0.0017531433646435456,0.1,3206.1657032755297,134217728,1,50.0,0.17553846466297324,5279220.968036843,1,0.002363245958097864,0,1,0.007072685355984234,0,1,0.9333333333333331
1680172990,0.0000664479529994376,2,1652187.4171656044,209715200,4,3.0,0.032020555675084036,0.1,538417.155546501,104857600,0,50.0,0.06220315445925302,0.4,677161.6125555125,209715200,1,50.0,0.0000788396338710214,0.1,18374.414034155092,134217728,1,50.0,0.17907832123609668,5380122.18686711,1,0.002363245958097864,0,1,0.007072685355984234,0,1,0.9333333333333333
1680172991,0.00016543738362661422,2,1725394.8886953478,209715200,4,3.0,0.033298171283212795,0.1,558997.2920444128,104857600,0,50.0,0.0638568724726148,0.4,1343792.4180062807,209715200,1,50.0,0.0001432117867667521,0.1,38326.279739370046,134217728,1,50.0,0.18261817780922018,5481023.4056973765,1,0.0027106013618884463,0,1,0.013809635398018234,0,1,0.9333333333333333
1680172992,0.0001679865293061437,2,1777752.5668946907,209715200,4,3.0,0.03457578689134155,0.1,579577.4285423246,104857600,0,50.0,0.06551059048597659,0.4,1380968.7334291798,209715200,1,50.0,0.00014903665422199018,0.1,39883.208659364434,134217728,1,50.0,0.18615803438234363,5581924.624527643,1,0.0025279119600583127,0,1,0.013990592704509967,0,1,0.9333333333333333
1680172993,0.4679172898875571,2,4321720.311394178,209715200,4,3.0,0.035853402499470305,0.1,600157.5650402363,104857600,0,50.0,0.06716430849933837,0.4,1418145.0488520793,209715200,1,50.0,0.00015486152167722828,0.1,536003.6803508943,134217728,1,50.0,0.18969789095546705,5682825.843357909,1,0.0025240532191003573,0,1,0.014171550011001703,0,1,0.9333333333333333
1680172994,0.48234444786894815,2,4449727.357714622,209715200,4,3.0,0.03713101810759906,0.1,620737.7015381481,104857600,0,50.0,0.08501783778485096,0.4,1469749.5864563093,209715200,1,50.0,0.00016068638913246637,0.1,562730.5183131574,134217728,1,50.0,0.19323774752859052,5783727.0621881755,1,0.0025201944781424014,0,1,0.014352507317493438,0,1,1.2666666666666664
1680172995,0.4967716058503392,2,4577734.404035066,209715200,4,3.0,0.04189756104815126,0.1,1136279.2178928948,104857600,0,50.0,0.0875008616702692,0.4,1506925.9018792084,209715200,1,50.0,0.00016651125658770444,0.1,589457.3562754203,134217728,1,50.0,0.19677760410171397,5884628.281018442,1,0.002516335737184446,0,1,0.014533464623985172,0,1,1.2666666666666666
1680172996,1.2088297802019539,2,8168170.783302262,209715200,4,3.0,0.06775503648546514,0.1,1619865.6135797785,104857600,0,50.0,0.09057410488437133,0.4,1544102.2173021075,209715200,1,50.0,0.00017233612404294254,0.1,616184.1942376832,134217728,1,50.0,0.20031746067483744,5985529.499848708,1,0.0026438903021601687,0,1,0.014714421930476906,0,1,1.2666666666666666
1680172997,1.3205284703098665,2,9268095.397566888,209715200,4,3.0,0.0701390333477961,0.1,1673870.1719212297,104857600,0,50.0,0.0930571287697896,0.4,1581278.5327250068,209715200,1,50.0,0.00017816099149818064,0.1,642911.0321999462,134217728,1,50.0,0.2038573172479609,6079997.231819307,1,0.002631326675570863,0,1,0.01489537923696864,0,1,1.2666666666666666
1680172998,1.3675948020217772,2,9570040.35250684,209715200,4,3.0,0.07252303021012704,0.3,1727874.7302626811,314572800,4,50.0,0.15488451185832025,0.4,1618454.8481479061,209715200,1,50.0,0.0001839858589534187,0.1,669637.8701622094,134217728,0,50.0,0.20726296128691557,2704478.6994508575,1,0.004120617192211766,0,1,0.015076336543460371,0,1,1.2666666666666666
1680172999,1.8259420994945688,2,13985620.180031376,209715200,4,3.0,0.074907027072458,0.3,2245417.4787136083,314572800,4,50.0,0.15736753574373852,0.4,2852163.771089989,209715200,1,50.0,0.027783805613395662,0.1,1166742.3499850058,134217728,0,50.0,0.1623913988181125,2047691.914751667,1,0.00410805356562246,0,1,0.015257293849952105,0,1,2.7999999999999994
1680173000,1.8886402374926308,2,14442459.214674558,209715200,4,3.0,0.07729102393478894,0.3,2315442.5731063997,314572800,4,50.0,0.2105871425117311,0.4,2932800.750632009,209715200,1,50.0,0.028900151734842276,0.1,1211255.3472492008,134217728,0,50.0,0.017987661351504404,90845.12061453423,1,0.003633575643850739,0,1,0.01793012374548826,0,1,2.8
1680173001,1.951338375490693,2,18944531.044293012,209715200,4,3.0,0.07967502079711988,0.3,3335172.51450219,314572800,4,50.0,0.21470028979782957,0.4,3055372.934763989,209715200,1,50.0,0.030016497856288894,0.1,1255768.3445133958,134217728,0,50.0,0.0345802404433698,222991.64162685143,1,0.003633575643850739,0,1,0.01793012374548826,0,1,2.8
1680173002,2.014059537488183,2,19541652.712208897,209715200,4,3.0,0.08227581237379356,0.3,3495806.361755576,314572800,4,50.0,0.2188134370839281,0.4,3136009.914306008,209715200,1,50.0,0.03113284397773551,0.1,1300281.341777591,134217728,0,50.0,0.034106164587712456,223781.67211129254,1,0.003633575643850739,0,1,0.01793012374548826,0,1,2.8
1680173003,2.0767562202513155,2,20131349.627137512,209715200,4,3.0,0.16391010764966638,0.3,4984762.907652816,314572800,4,50.0,0.22292658437002655,0.4,3329569.8882134682,209715200,1,50.0,0.03224919009918212,0.1,2754116.659789752,134217728,0,50.0,0.034358562168596174,226011.79228137946,1,0.0034939528814021256,0,1,0.01793012374548826,0,1,2.8
1680173004,2.1394529030144485,2,20721046.54206612,209715200,4,3.0,0.19707469063971156,0.3,5593162.147976501,314572800,4,50.0,0.2555843596093637,0.4,3410206.8677554866,209715200,1,50.0,0.0596876392151883,0.1,3312264.1605935595,134217728,0,50.0,0.034610959749479885,228241.91245146637,1,0.003485722590945666,0,1,0.01793012374548826,0,1,2.7999999999999994
1680173005,3.543718733657112,2,25031683.05510699,209715200,4,3.0,0.2026689689845791,0.3,5762426.492402049,314572800,4,50.0,0.25976977944443047,0.4,5176474.562724226,209715200,1,50.0,0.06268085273502767,0.1,3435629.3011211082,134217728,0,50.0,0.034863357330363595,230472.03262155323,1,0.003477492300489206,0,1,0.01793012374548826,0,1,2.8
