time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1679950902,0.00008877073478397995,0.5,2686076.782037556,52428800,1,3.0,0.0000695361282955125,0.25,16233.244562231701,262144000,4,50.0,0.03712560346236228,0.1,571921.9340520476,52428800,1,50.0,0.025558134500259996,0.1,478635.893492131,134217728,1,50.0,0.05126634860501682,758478.6593140552,0,0.0009644380287939847,0,1,0.0056817594013359295,0,1,0
1679950903,0.00008877073478397995,0.5,2776754.412113844,52428800,1,3.0,0.00007144937867164954,0.25,16679.893836873853,262144000,4,50.0,0.03922188265519094,0.1,602403.7569008411,52428800,1,50.0,0.0264511429589517,0.1,495274.2601446193,134217728,1,50.0,0.053440476084655165,789222.3789583801,0,0.0009644380287939847,0,1,0.010752953222282337,0,1,0
1679950904,0.00008877073478397995,0.5,2867432.0421901303,52428800,1,3.0,0.0277851016139354,0.25,511597.48486187466,262144000,4,50.0,0.04131816184801959,0.1,632885.5797496347,52428800,1,50.0,0.027266866172480662,0.1,511912.6267971077,134217728,1,50.0,0.05561460356429352,819966.0986027049,0,0.0009644380287939847,0,1,0.010752953222282337,0,1,0.5333333333333332
1679950905,0.00008877073478397995,0.5,2958109.672266418,52428800,1,3.0,0.029421869214122414,0.25,540171.7459794802,262144000,4,50.0,0.04341444104084824,0.1,663367.4025984282,52428800,1,50.0,0.02808258938600962,0.1,997934.9655761807,134217728,1,50.0,0.05778873104393186,850709.8182470298,0,0.0009644380287939847,0,1,0.01024002072035669,0,1,0.5333333333333333
1679950906,0.00008877073478397995,0.5,3048787.3023427054,52428800,1,3.0,0.03105863681430943,0.25,568746.0070970857,262144000,4,50.0,0.0455107202336769,0.1,693849.2254472219,52428800,1,50.0,0.028898312599538584,0.1,1047568.1615607508,134217728,1,50.0,0.05996285852357021,881453.5378913546,0,0.0003733555034763187,0,1,0.02236429912798084,0,1,0.5333333333333333
1679950907,0.00008877073478397995,0.5,3139464.932418992,52428800,1,3.0,0.03269540441449645,0.25,597320.2682146912,262144000,4,50.0,0.04760699942650555,0.1,1882206.2095354896,52428800,1,50.0,0.029714035813067547,0.1,1078344.0123214065,134217728,1,50.0,0.06213698600320856,912197.2575356795,0,0.00036359801909887496,0,1,0.03280213177095103,0,1,0.5333333333333333
1679950908,0.00008877073478397995,0.5,3230142.562495279,52428800,1,3.0,0.034332172014683464,0.25,625894.5293322966,262144000,4,50.0,0.0497032786193342,0.1,1960455.1594981225,52428800,1,50.0,0.030529759026596503,0.1,1109119.8630820625,134217728,1,50.0,0.06440130698557879,969230.227393947,0,0.0003538405347214312,0,1,0.03280213177095103,0,1,0.5333333333333333
1679950909,0.00008877073478397995,0.5,3320820.192571566,52428800,1,3.0,0.03596893961487047,0.25,1148584.873456583,262144000,4,50.0,0.05179955781216287,0.1,2038704.109460756,52428800,1,50.0,0.03134548224012547,0.1,1139895.7138427182,134217728,1,50.0,0.06657543446521713,999973.9470382718,0,0.00034408305034398746,0,1,0.03466224300790136,0,1,0.8666666666666665
1679950910,0.00008877073478397995,0.5,3411497.8226478533,52428800,1,3.0,0.03760570721505748,0.25,1192417.1657935153,262144000,4,50.0,0.053895837004991516,0.1,2116953.059423389,52428800,1,50.0,0.03216120545365443,0.1,1170671.564603374,134217728,1,50.0,0.06874956194485549,1030717.6666825968,0,0.0003343255659665437,0,1,0.03769116803131683,0,1,0.8666666666666666
1679950911,0.00008877073478397995,0.5,3502175.45272414,52428800,1,3.0,0.039242474815244496,0.25,1236249.4581304477,262144000,4,50.0,0.055992116197820165,0.1,2195202.0093860226,52428800,1,50.0,0.03297692866718339,0.1,1201447.41536403,134217728,1,50.0,0.07092368942449383,1061461.3863269216,0,0.00032456808158909996,0,1,0.03769116803131683,0,1,0.8666666666666666
1679950912,0.00008877073478397995,0.5,3592853.0828004275,52428800,1,3.0,0.04090536880594286,0.25,1286180.969637256,262144000,4,50.0,0.05808839539064882,0.1,2273450.959348656,52428800,1,50.0,0.03379265188071235,0.1,1232223.266124686,134217728,1,50.0,0.07309781690413217,1852649.3890218353,0,0.0007886229118869649,0,1,0.03769116803131683,0,1,0.8666666666666666
1679950913,0.00008877073478397995,0.5,3683530.712876714,52428800,1,3.0,0.04261376784691528,0.25,1346039.0148867043,262144000,4,50.0,0.06018467458347747,0.1,2351699.909311289,52428800,1,50.0,0.034608375094241306,0.1,1262999.1168853417,134217728,1,50.0,0.07527194438377052,1905000.3224824523,0,0.0007886229118869649,0,1,0.03769116803131683,0,1,0.8666666666666666
1679950914,0.00008877073478397995,0.5,3774208.342953001,52428800,1,3.0,0.044250503038912266,0.25,1389845.9254592797,262144000,4,50.0,0.062358310181749574,0.1,2446973.1939256624,52428800,1,50.0,0.03542409830777027,0.1,1293774.9676459974,134217728,1,50.0,0.07744607186340886,1957351.2559430692,0,0.0007886229118869649,0,1,0.037691168031316835,0,1,1.533333333333333
1679950915,0.00008877073478397995,0.5,3864885.973029289,52428800,1,3.0,0.04595629118674805,0.25,1448378.6720114613,262144000,4,50.0,0.06445458937457824,0.1,2525222.143888295,52428800,1,50.0,0.03623982152129923,0.1,1324550.8184066534,134217728,1,50.0,0.0796201993430472,2009702.1894036864,0,0.0007886229118869649,0,1,0.037691168031316835,0,1,1.5333333333333332
1679950916,0.00008877073478397995,0.5,3955563.603105576,52428800,1,3.0,0.047594670105377726,0.25,2517344.2411728846,262144000,4,50.0,0.0665508685674069,0.1,2603471.0938509284,52428800,1,50.0,0.09463497046731367,0.1,1355326.6691673093,134217728,1,50.0,0.08179432682268556,2062053.1228643036,0,0.0007886229118869649,0,1,0.05364432007687813,0,1,1.5333333333333332
1679950917,0.00008877073478397995,0.5,4046241.2331818626,52428800,1,3.0,0.04925933221286392,0.25,3078495.3132671257,262144000,4,50.0,0.06864714776023555,0.1,2681720.0438135616,52428800,1,50.0,0.1023936778229029,0.1,1386102.519927965,134217728,1,50.0,0.08396845430232391,2114404.0563249206,0,0.0007886229118869649,0,1,0.05364432007687813,0,1,1.5333333333333332
1679950918,0.00008877073478397995,0.5,4136918.86325815,52428800,1,3.0,0.05089606740486092,0.25,3170762.652654498,262144000,4,50.0,0.07074342695306421,0.1,2759968.993776195,52428800,1,50.0,0.10320940103643186,0.1,1416878.3706886207,134217728,1,50.0,0.08614258178196225,2166754.989785538,0,0.0007886229118869649,0,1,0.05364432007687813,0,1,1.5333333333333332
1679950919,0.00008877073478397995,0.5,4227596.493334438,52428800,1,3.0,0.05273472062014653,0.25,3815153.598476475,262144000,4,50.0,0.07283970614589287,0.1,2838217.9437388284,52428800,1,50.0,0.10402512424996083,0.1,1671128.3374779557,134217728,1,50.0,0.0883167092616006,2219105.923246155,0,0.0007886229118869649,0,1,0.05364432007687813,0,1,1.6666666666666665
1679950920,0.00008877073478397995,0.5,4318274.123410724,52428800,1,3.0,0.0543695749699574,0.25,3921874.2741409694,262144000,4,50.0,0.0749359853387215,0.1,2916466.8937014616,52428800,1,50.0,0.10484084746348979,0.1,1724260.7262647978,134217728,1,50.0,0.09049083674123894,2271456.856706772,0,0.0007886229118869649,0,1,0.05156479711305962,0,1,1.6666666666666665
1679950921,0.00008877073478397995,0.5,4408951.753487011,52428800,1,3.0,0.04006296455476242,0.25,3754322.606724728,262144000,4,50.0,0.054574825538776794,0.1,2668164.075484969,52428800,1,50.0,0.10565657067701874,0.1,1755036.5770254538,134217728,1,50.0,0.09266496422087729,2323807.790167389,0,0.0015134627531625303,0,1,0.05156479711305962,0,1,1.6666666666666665
1679950922,0.00008877073478397995,0.5,4499629.383563299,52428800,1,3.0,0.09666749549602496,0.25,4851743.645832837,262144000,4,50.0,0.054574825538776794,0.1,2715931.202598809,52428800,1,50.0,0.10647229389054771,0.1,1785812.4277861095,134217728,1,50.0,0.09483909170051563,2376158.723628006,0,0.0016012332470456748,0,1,0.05156479711305962,0,1,1.6666666666666665
1679950923,0.7134497782266414,0.5,5882262.794448456,52428800,1,3.0,0.1305458522489019,0.25,5464145.989345253,262144000,4,50.0,0.054574825538776794,0.1,2763698.3297126484,52428800,1,50.0,0.10728801710407666,0.1,1816588.2785467657,134217728,1,50.0,0.09701321918015399,2428509.6570886234,0,0.0016012332470456748,0,1,0.05156479711305962,0,1,1.6666666666666665
1679950924,0.7301091451864019,0.5,5972940.424524743,52428800,1,3.0,0.13307709574547497,0.25,5583382.43086031,262144000,4,50.0,0.054574825538776794,0.1,2811465.456826488,52428800,1,50.0,0.10810374031760563,0.1,1847364.1293074212,134217728,1,50.0,0.09918734665979234,2480860.5905492404,0,0.0016012332470456748,0,1,0.08068840102745187,3730.520059640242,1,1.933333333333333
1679950925,0.7467685121461625,0.5,6063618.05460103,52428800,1,3.0,0.13560833924204813,0.25,6175619.806896336,262144000,4,50.0,0.054574825538776794,0.1,2859232.583940328,52428800,1,50.0,0.10891946353113459,0.1,1878139.980068077,134217728,1,50.0,0.1013614741394307,2533211.5240098573,0,0.0016012332470456748,0,1,0.08068840102745187,3730.520059640242,1,1.9333333333333331
1679950926,0.7634278791059229,0.5,6154295.684677318,52428800,1,3.0,0.13813958273862123,0.25,6314108.972870893,262144000,4,50.0,0.054574825538776794,0.1,2906999.7110541672,52428800,1,50.0,0.10973518674466355,0.1,1908915.830828733,134217728,1,50.0,0.0741816194527319,2170476.126692622,0,0.0016012332470456748,0,1,0.08068840102745187,3730.520059640242,1,1.9333333333333331
1679950927,0.7800872460656836,0.5,6244973.314753605,52428800,1,3.0,0.14067082623519434,0.25,6452598.1388454465,262144000,4,50.0,0.054574825538776794,0.1,2954766.838168008,52428800,1,50.0,0.13561516446073238,0.1,1939691.681589389,134217728,1,50.0,0.0741816194527319,2192083.340508914,0,0.0016012332470456748,0,1,0.11199095660884668,6905.840528664323,1,1.9333333333333331
