,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,14,2023-03-30 10:15:10.321825,2023-03-30 10:15:32.457,13.8,0.092,0.087,0.020,22.135175,13.999,8.136175,keda+keda
1,15,2023-03-30 10:15:11.324855,2023-03-30 10:15:32.570,13.9,0.050,0.036,0.009,21.245145,13.995000000000001,7.250145,keda+keda
2,16,2023-03-30 10:15:12.328379,2023-03-30 10:15:40.137,13.0,0.043,0.160,0.027,27.808621,13.229999999999999,14.578621,keda+keda
3,17,2023-03-30 10:15:13.331446,2023-03-30 10:15:39.468,12.9,0.045,0.034,0.008,26.136554,12.987,13.149554,keda+keda
4,20,2023-03-30 10:15:16.340737,2023-03-30 10:15:53.251,13.1,0.051,0.070,0.009,36.910263,13.23,23.680263,keda+keda
5,21,2023-03-30 10:15:17.344272,2023-03-30 10:15:54.136,12.6,0.049,0.038,0.011,36.791728,12.697999999999999,24.093728,keda+keda
6,24,2023-03-30 10:15:20.353919,2023-03-30 10:15:54.051,12.8,0.040,0.090,0.032,33.697081,12.962,20.735080999999997,keda+keda
7,27,2023-03-30 10:15:23.363772,2023-03-30 10:15:54.434,11.3,0.074,0.039,0.009,31.070228,11.422,19.648228,keda+keda
8,28,2023-03-30 10:15:24.366868,2023-03-30 10:15:39.077,12.3,0.036,0.120,0.018,14.710132,12.474,2.2361319999999996,keda+keda
9,29,2023-03-30 10:15:25.370082,2023-03-30 10:16:07.370,3.26,0.045,0.038,0.022,41.999918,3.3649999999999993,38.634918,keda+keda
10,30,2023-03-30 10:15:26.373236,2023-03-30 10:16:08.436,26.3,0.091,0.111,0.009,42.062764,26.511000000000003,15.551763999999999,keda+keda
11,36,2023-03-30 10:15:32.394391,2023-03-30 10:15:39.985,27.1,0.046,0.043,0.008,7.590609,27.197,-19.606391,keda+keda
12,39,2023-03-30 10:15:35.403503,2023-03-30 10:15:48.393,27.1,0.046,0.187,0.011,12.989497,27.344,-14.354503000000001,keda+keda
13,40,2023-03-30 10:15:36.406629,2023-03-30 10:15:48.890,22.1,0.043,0.035,0.009,12.483371,22.187,-9.703629000000001,keda+keda
14,41,2023-03-30 10:15:37.410449,2023-03-30 10:15:48.955,2.97,0.054,0.054,0.017,11.544551,3.0949999999999998,8.449551,keda+keda
15,43,2023-03-30 10:15:39.416505,2023-03-30 10:15:59.271,18.5,0.091,0.044,0.010,19.854495,18.645000000000003,1.2094949999999969,keda+keda
16,44,2023-03-30 10:15:40.419559,2023-03-30 10:15:59.070,15.7,0.038,0.045,0.023,18.650441,15.806,2.8444410000000016,keda+keda
17,45,2023-03-30 10:15:41.422686,2023-03-30 10:16:08.222,19.7,0.039,0.056,0.017,26.799314,19.812,6.987313999999998,keda+keda
18,46,2023-03-30 10:15:42.426341,2023-03-30 10:15:59.421,16.8,0.035,0.216,0.012,16.994659,17.063000000000002,-0.06834100000000376,keda+keda
19,47,2023-03-30 10:15:43.429591,2023-03-30 10:15:59.345,3.96,0.035,0.040,0.012,15.915409,4.047,11.868409,keda+keda
20,48,2023-03-30 10:15:44.432578,2023-03-30 10:16:08.289,4.35,0.056,0.439,0.009,23.856422,4.854,19.002422,keda+keda
21,49,2023-03-30 10:15:45.435609,2023-03-30 10:16:11.774,6.26,0.049,0.047,0.011,26.338391,6.367,19.971391,keda+keda
22,50,2023-03-30 10:15:46.438722,2023-03-30 10:16:30.887,34.8,0.056,0.063,0.013,44.448278,34.931999999999995,9.516278000000007,keda+keda
23,51,2023-03-30 10:15:47.442324,2023-03-30 10:16:35.437,26.6,0.060,0.042,0.018,47.994676,26.720000000000002,21.274675999999996,keda+keda
24,52,2023-03-30 10:15:48.445408,2023-03-30 10:15:51.824,23.7,0.036,0.086,0.010,3.378592,23.832,-20.453408,keda+keda
25,53,2023-03-30 10:15:49.448558,2023-03-30 10:16:13.358,35.9,0.047,0.044,0.012,23.909442,36.00299999999999,-12.093557999999994,keda+keda
26,55,2023-03-30 10:15:51.454740,2023-03-30 10:16:12.863,7.16,0.040,0.074,0.009,21.40826,7.283,14.125259999999997,keda+keda
27,56,2023-03-30 10:15:52.458558,2023-03-30 10:15:55.580,26.2,0.042,0.041,0.013,3.121442,26.296000000000003,-23.174558000000005,keda+keda
28,57,2023-03-30 10:15:53.461722,2023-03-30 10:16:34.826,14.4,0.036,0.091,0.012,41.364278,14.539,26.825277999999997,keda+keda
29,58,2023-03-30 10:15:54.464775,2023-03-30 10:16:35.275,12.7,0.045,0.043,0.010,40.810225,12.797999999999998,28.012225000000004,keda+keda
30,60,2023-03-30 10:15:56.470976,2023-03-30 10:16:00.528,12.8,0.046,0.120,0.014,4.057024,12.979999999999999,-8.922975999999998,keda+keda
31,62,2023-03-30 10:15:57.329398,2023-03-30 10:16:11.885,21.2,0.049,0.037,0.011,14.555602,21.296999999999997,-6.741397999999997,keda+keda
32,63,2023-03-30 10:15:57.474259,2023-03-30 10:16:13.262,11.3,0.114,0.083,0.010,15.787741,11.507000000000001,4.280740999999999,keda+keda
33,64,2023-03-30 10:15:58.333131,2023-03-30 10:16:36.126,15.3,0.253,0.037,0.011,37.792869,15.601,22.191869000000004,keda+keda
34,65,2023-03-30 10:15:58.334632,2023-03-30 10:16:36.780,23.3,0.057,0.054,0.008,38.445368,23.418999999999997,15.026368000000005,keda+keda
35,66,2023-03-30 10:15:58.478913,2023-03-30 10:16:03.469,10.0,0.063,0.040,0.009,4.990087,10.112,-5.121913,keda+keda
36,68,2023-03-30 10:15:59.339259,2023-03-30 10:16:12.273,11.3,0.070,0.064,0.011,12.933741,11.445,1.4887409999999992,keda+keda
37,69,2023-03-30 10:15:59.482677,2023-03-30 10:16:12.466,34.7,3.859,0.043,0.010,12.983323,38.612,-25.628677000000003,keda+keda
38,70,2023-03-30 10:16:00.342607,2023-03-30 10:16:36.682,27.8,0.176,0.142,0.014,36.339393,28.131999999999998,8.207393000000003,keda+keda
39,71,2023-03-30 10:16:00.344130,2023-03-30 10:16:06.755,2.95,0.264,0.044,0.010,6.41087,3.2680000000000002,3.14287,keda+keda
40,72,2023-03-30 10:16:00.486440,2023-03-30 10:16:36.546,27.1,0.074,0.064,0.007,36.05956,27.245000000000005,8.814559999999993,keda+keda
41,74,2023-03-30 10:16:01.348893,2023-03-30 10:16:12.998,34.2,0.106,0.042,0.012,11.649107,34.36000000000001,-22.710893000000006,keda+keda
42,76,2023-03-30 10:16:02.351697,2023-03-30 10:16:47.466,15.2,0.155,0.083,0.009,45.114303,15.447,29.667303,keda+keda
43,77,2023-03-30 10:16:02.353382,2023-03-30 10:16:09.662,12.5,0.115,0.035,0.011,7.308618,12.661,-5.3523819999999995,keda+keda
44,78,2023-03-30 10:16:02.493881,2023-03-30 10:16:36.233,11.8,0.059,0.052,0.007,33.739119,11.918,21.821119000000003,keda+keda
45,79,2023-03-30 10:16:03.356949,2023-03-30 10:16:47.353,21.3,0.095,0.044,0.008,43.996051,21.447,22.549051000000002,keda+keda
