,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,1,2023-03-30 08:49:22.734666,2023-03-30 08:49:47.887,10.4,0.040,0.031,0.007,25.152334,10.478,14.674334,keda+rps
1,2,2023-03-30 08:49:23.737153,2023-03-30 08:49:48.872,10.5,0.046,0.076,0.023,25.134847,10.645,14.489847000000001,keda+rps
2,3,2023-03-30 08:49:24.740189,2023-03-30 08:49:48.952,16.3,0.047,0.043,0.009,24.211811,16.399,7.812811,keda+rps
3,9,2023-03-30 08:49:30.759190,2023-03-30 08:50:01.560,16.8,0.040,0.077,0.010,30.80081,16.927000000000003,13.873809999999995,keda+rps
4,10,2023-03-30 08:49:31.762269,2023-03-30 08:50:02.079,17.0,0.044,0.040,0.011,30.316731,17.095,13.221731000000002,keda+rps
5,11,2023-03-30 08:49:32.766081,2023-03-30 08:50:02.287,15.8,0.038,0.078,0.011,29.520919,15.927,13.593919,keda+rps
6,12,2023-03-30 08:49:33.769806,2023-03-30 08:50:02.496,28.0,0.041,0.041,0.014,28.726194,28.096,0.6301939999999995,keda+rps
7,13,2023-03-30 08:49:34.772896,2023-03-30 08:50:14.680,28.9,0.060,0.057,0.006,39.907104,29.022999999999996,10.884104,keda+rps
8,14,2023-03-30 08:49:35.775821,2023-03-30 08:50:15.593,27.7,0.038,0.045,0.008,39.817179,27.791,12.026179000000003,keda+rps
9,15,2023-03-30 08:49:36.778794,2023-03-30 08:50:15.741,27.8,0.045,0.142,0.026,38.962206,28.013,10.949206,keda+rps
10,16,2023-03-30 08:49:37.782399,2023-03-30 08:50:15.653,39.7,0.037,0.034,0.013,37.870601,39.784,-1.9133989999999983,keda+rps
11,27,2023-03-30 08:49:48.817178,2023-03-30 08:50:28.753,26.0,0.033,0.037,0.008,39.935822,26.078,13.857822000000002,keda+rps
12,28,2023-03-30 08:49:49.820106,2023-03-30 08:50:29.355,27.0,0.051,0.197,0.013,39.534894,27.261,12.273894000000002,keda+rps
13,40,2023-03-30 08:50:01.859753,2023-03-30 08:50:29.067,39.4,0.038,0.082,0.008,27.207247,39.528,-12.320753,keda+rps
14,41,2023-03-30 08:50:02.863531,2023-03-30 08:50:28.977,35.7,0.034,0.031,0.025,26.113469,35.79,-9.676531,keda+rps
15,44,2023-03-30 08:50:05.872710,2023-03-30 08:50:41.758,33.1,0.038,0.140,0.012,35.88529,33.29,2.5952899999999985,keda+rps
16,47,2023-03-30 08:50:08.882523,2023-03-30 08:50:42.157,26.7,0.240,0.042,0.008,33.274477,26.99,6.284476999999999,keda+rps
17,53,2023-03-30 08:50:14.901437,2023-03-30 08:50:42.928,27.9,0.054,0.074,0.011,28.026563,28.038999999999998,-0.012436999999998477,keda+rps
18,54,2023-03-30 08:50:15.904424,2023-03-30 08:50:42.769,37.9,0.089,0.038,0.007,26.864576,38.03399999999999,-11.169423999999992,keda+rps
19,55,2023-03-30 08:50:16.907405,2023-03-30 08:50:54.949,37.7,0.054,0.080,0.018,38.041595,37.852000000000004,0.18959499999999707,keda+rps
20,56,2023-03-30 08:50:17.911057,2023-03-30 08:50:55.759,26.8,0.047,0.042,0.015,37.847943,26.904000000000003,10.943942999999997,keda+rps
21,79,2023-03-30 08:50:28.817455,2023-03-30 08:50:55.825,26.8,0.041,0.074,0.007,27.007545,26.922000000000004,0.08554499999999621,keda+rps
22,81,2023-03-30 08:50:28.948285,2023-03-30 08:50:55.889,39.0,0.040,0.037,0.008,26.940715,39.085,-12.144285,keda+rps
23,82,2023-03-30 08:50:29.822015,2023-03-30 08:51:08.979,26.3,0.047,0.069,0.016,39.156985,26.432,12.724985,keda+rps
24,83,2023-03-30 08:50:29.823570,2023-03-30 08:51:09.860,39.9,0.037,0.055,0.007,40.03643,39.998999999999995,0.037430000000007624,keda+rps
25,118,2023-03-30 08:50:41.877396,2023-03-30 08:51:10.041,28.0,0.039,0.080,0.010,28.163604,28.129,0.03460399999999808,keda+rps
26,122,2023-03-30 08:50:42.883833,2023-03-30 08:51:09.343,39.9,0.042,0.038,0.012,26.459167,39.992,-13.532832999999997,keda+rps
27,123,2023-03-30 08:50:42.993978,2023-03-30 08:51:23.071,28.9,0.038,0.053,0.010,40.077022,29.001,11.076021999999998,keda+rps
28,157,2023-03-30 08:50:54.939488,2023-03-30 08:51:23.984,27.9,0.039,0.036,0.012,29.044512,27.987000000000002,1.0575119999999991,keda+rps
29,160,2023-03-30 08:50:55.944943,2023-03-30 08:51:24.267,28.0,0.061,0.123,0.011,28.322057,28.195,0.12705700000000064,keda+rps
30,161,2023-03-30 08:50:55.946447,2023-03-30 08:51:24.138,23.8,0.047,0.037,0.013,28.191553,23.897000000000002,4.294552999999997,keda+rps
31,162,2023-03-30 08:50:56.037523,2023-03-30 08:51:34.053,37.8,0.046,0.058,0.009,38.015477,37.913,0.10247700000000037,keda+rps
32,199,2023-03-30 08:51:09.004109,2023-03-30 08:51:40.300,28.2,0.065,0.039,0.008,31.295891,28.312,2.983891,keda+rps
33,202,2023-03-30 08:51:10.008502,2023-03-30 08:51:33.962,31.1,0.040,0.099,0.010,23.953498,31.249000000000002,-7.295502000000003,keda+rps
34,203,2023-03-30 08:51:10.010169,2023-03-30 08:51:38.369,36.0,0.065,0.039,0.009,28.358831,36.113,-7.754169000000001,keda+rps
35,204,2023-03-30 08:51:10.085264,2023-03-30 08:51:48.854,38.6,0.045,0.115,0.013,38.768736,38.773,-0.004264000000006263,keda+rps
36,205,2023-03-30 08:51:11.015000,2023-03-30 08:51:47.161,27.0,0.042,0.036,0.010,36.146,27.088000000000005,9.057999999999996,keda+rps
37,241,2023-03-30 08:51:23.072664,2023-03-30 08:51:50.194,26.9,0.044,0.058,0.010,27.121336,27.012,0.10933599999999899,keda+rps
38,243,2023-03-30 08:51:24.079153,2023-03-30 08:51:51.169,2.82,0.035,0.038,0.197,27.089847,3.09,23.999847,keda+rps
39,244,2023-03-30 08:51:25.082291,2023-03-30 08:52:03.481,2.91,0.041,0.053,0.010,38.398709,3.014,35.384708999999994,keda+rps
40,245,2023-03-30 08:51:26.085582,2023-03-30 08:52:03.645,29.0,0.039,0.037,0.008,37.559418,29.084,8.475418000000001,keda+rps
41,253,2023-03-30 08:51:34.111494,2023-03-30 08:52:03.302,38.3,0.045,0.194,0.008,29.190506,38.547000000000004,-9.356494000000005,keda+rps
42,254,2023-03-30 08:51:35.114604,2023-03-30 08:52:03.761,37.4,0.054,0.036,0.008,28.646396,37.498000000000005,-8.851604000000005,keda+rps
43,258,2023-03-30 08:51:39.127434,2023-03-30 08:52:17.068,28.5,0.035,0.132,0.010,37.940566,28.677000000000003,9.263565999999994,keda+rps
44,260,2023-03-30 08:51:41.133717,2023-03-30 08:52:16.633,2.68,0.039,0.037,0.012,35.499283,2.7680000000000002,32.731283,keda+rps
45,266,2023-03-30 08:51:47.152727,2023-03-30 08:52:17.129,3.70,0.036,0.072,0.012,29.976273,3.8200000000000003,26.156273,keda+rps
46,268,2023-03-30 08:51:49.159388,2023-03-30 08:52:17.755,3.42,0.068,0.045,0.023,28.595612,3.556,25.039611999999998,keda+rps
47,269,2023-03-30 08:51:50.162453,2023-03-30 08:52:30.274,4.31,0.042,0.121,0.012,40.111547,4.484999999999999,35.626547,keda+rps
48,270,2023-03-30 08:51:51.165505,2023-03-30 08:52:31.150,4.88,0.038,0.299,0.024,39.984495,5.2410000000000005,34.743495,keda+rps
49,277,2023-03-30 08:51:58.189614,2023-03-30 08:52:01.122,5.17,0.036,0.082,0.010,2.932386,5.297999999999999,-2.365613999999999,keda+rps
50,279,2023-03-30 08:52:00.195571,2023-03-30 08:52:03.228,35.4,0.038,0.956,0.010,3.032429,36.403999999999996,-33.371570999999996,keda+rps
51,280,2023-03-30 08:52:01.198798,2023-03-30 08:52:04.006,37.8,0.055,0.084,0.011,2.807202,37.95,-35.142798,keda+rps
52,281,2023-03-30 08:52:02.202004,2023-03-30 08:52:06.028,29.8,0.037,0.848,0.009,3.825996,30.694,-26.868004,keda+rps
53,284,2023-03-30 08:52:05.211617,2023-03-30 08:52:08.735,8.20,0.038,0.877,0.007,3.523383,9.122,-5.598617,keda+rps
54,285,2023-03-30 08:52:06.214684,2023-03-30 08:52:10.647,7.34,0.038,0.139,0.012,4.432316,7.529,-3.0966839999999998,keda+rps
55,286,2023-03-30 08:52:07.217872,2023-03-30 08:52:12.230,28.4,0.041,1.229,0.007,5.012128,29.677,-24.664872,keda+rps
56,287,2023-03-30 08:52:08.221491,2023-03-30 08:52:13.503,8.59,0.046,0.464,0.009,5.281509,9.109,-3.827491,keda+rps
57,288,2023-03-30 08:52:09.224513,2023-03-30 08:52:17.551,8.48,0.041,0.144,0.012,8.326487,8.677000000000001,-0.3505130000000012,keda+rps
58,289,2023-03-30 08:52:10.228516,2023-03-30 08:52:17.684,2.89,0.038,0.123,0.031,7.455484,3.082,4.373484,keda+rps
59,290,2023-03-30 08:52:11.231491,2023-03-30 08:52:19.935,12.1,0.037,0.087,0.010,8.703509,12.234,-3.5304909999999996,keda+rps
60,291,2023-03-30 08:52:12.234693,2023-03-30 08:52:20.844,3.61,0.047,0.055,0.010,8.609307,3.722,4.887307,keda+rps
61,292,2023-03-30 08:52:13.238647,2023-03-30 08:52:25.528,39.9,0.037,0.063,0.010,12.289353,40.01,-27.720647,keda+rps
