time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1680175794,0.007856883454098974,0.5,4769241.94311879,52428800,1,3.0,0.0066512586539089,0.15000000000000002,553.0125041812192,157286400,1,50.0,0.009498125719671936,0.1,1800.1223262054673,52428800,1,50.0,0,0.1,0,134217728,1,50.0,0.003733470955615469,0,1,0.003464342228594758,0,1,0.000793259463895528,0,1,0
1680175795,0.007818859224522816,0.5,4739864.35861134,52428800,1,3.0,0.006621188703877759,0.15000000000000002,550.1134610919264,157286400,1,50.0,0.009425736662872834,0.1,1789.7800671187474,52428800,1,50.0,0,0.1,0,134217728,1,50.0,0.0037175405362641486,0,1,0.003464342228594758,0,1,0.0016552195059001125,0,1,0
1680175796,0.007780834994946658,0.5,4710486.774103889,52428800,1,3.0,0.006591118753846617,0.15000000000000002,547.2144180026337,157286400,1,50.0,0.009353347606073734,0.1,1779.4378080320273,52428800,1,50.0,0.00005939338875215719,0.1,584567.4666666667,134217728,1,50.0,0.0037016101169128277,0,1,0.004491792599926575,0,1,0.0016552195059001125,0,1,0
1680175797,0.007742810765370499,0.5,4681109.189596439,52428800,1,3.0,0.006561048803815475,0.15000000000000002,544.3153749133409,157286400,1,50.0,0.009280958549274632,0.1,1769.0955489453074,52428800,1,50.0,0.00006107140510339768,0.1,627274.0320280537,134217728,1,50.0,0.0036856796975615067,0,1,0.004491792599926575,0,1,0.0016552195059001125,0,1,0
1680175798,0.007704786535794341,0.5,4651731.605088988,52428800,1,3.0,0.006530978853784333,0.2,541.4163318240481,209715200,1,50.0,0.009208569492475532,0.1,1758.7532898585876,52428800,1,50.0,0.00006274942145463816,0.1,669980.597389441,134217728,1,50.0,0.0036697492782101857,0,1,0.004491792599926575,0,1,0.0016552195059001125,0,1,0
1680175799,0.007666762306218183,0.5,4622354.020581538,52428800,1,3.0,0.006500908903753192,0.2,538.5172887347553,209715200,1,50.0,0.0063228159377077655,0.1,1346.4643024960403,52428800,1,50.0,0.00006442743780587865,0.1,712687.1627508281,134217728,1,50.0,0.0036538188588588648,0,1,0.004491792599926575,0,1,0.0016552195059001125,0,1,0.5999999999999999
1680175800,0.003459180389751653,0.5,2107159.756007622,52428800,1,3.0,0.00647083895372205,0.2,535.6182456454625,209715200,1,50.0,0.0063228159377077655,0.1,1346.4643024960403,52428800,1,50.0,0.00006610545415711914,0.1,755393.7281122152,134217728,1,50.0,0.00567873382261915,0,1,0.004491792599926574,0,1,0.0016552195059001125,0,1,0.6000000000000001
1680175801,0.0034211561601754947,0.5,2077782.171500171,52428800,1,3.0,0.006440769003690908,0.2,532.7192025561698,209715200,1,50.0,0.0063228159377077655,0.1,1346.4643024960403,52428800,1,50.0,0.00006778347050835963,0.1,798100.2934736023,134217728,1,50.0,0.005757217298757734,0,1,0.004491792599926574,0,1,0.0016552195059001125,0,1,0.6000000000000001
1680175802,0.0033831319305993365,0.5,2048404.5869927206,52428800,1,3.0,0.004573542107602534,0.2,421.7234635943973,209715200,1,50.0,0.0063228159377077655,0.1,1346.4643024960403,52428800,1,50.0,0.00006946148685960013,0.1,840806.8588349894,134217728,1,50.0,0.005790641139404506,0,1,0.004491792599926574,0,1,0.0016552195059001125,0,1,0.6000000000000001
1680175803,0,0.5,0,52428800,1,3.0,0.0035076826587986804,0.2,318.963982251325,209715200,1,50.0,0.0063228159377077655,0.1,1346.4643024960403,52428800,1,50.0,0.00007113950321084062,0.1,883513.4241963765,134217728,1,50.0,0.0058240649800512774,0,1,0.004491792599926574,0,1,0.0016552195059001125,0,1,0.6000000000000001
