,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,84,2023-04-05 18:50:56.505421,2023-04-05 18:51:09.086576,1.600,0.008,0.012,0.194,12.581155,1.814,10.767155,keda+keda
1,85,2023-04-05 18:50:56.506010,2023-04-05 18:51:09.093385,0.861,0.014,0.026,0.225,12.587375,1.1260000000000001,11.461375,keda+keda
2,83,2023-04-05 18:50:56.419089,2023-04-05 18:51:09.156919,1.992,0.017,0.030,0.290,12.73783,2.3289999999999997,10.408830000000002,keda+keda
3,87,2023-04-05 18:50:57.512732,2023-04-05 18:51:09.183365,2.096,0.008,0.039,0.315,11.670633,2.458,9.212633,keda+keda
4,81,2023-04-05 18:50:55.494584,2023-04-05 18:51:09.256796,0.405,0.009,0.035,0.393,13.762212,0.8420000000000001,12.920212,keda+keda
5,79,2023-04-05 18:50:54.494794,2023-04-05 18:51:09.275474,1.815,0.011,0.024,0.399,14.78068,2.2489999999999997,12.531680000000001,keda+keda
6,78,2023-04-05 18:50:54.493934,2023-04-05 18:51:09.289864,1.727,0.011,0.020,0.399,14.79593,2.157,12.63893,keda+keda
7,90,2023-04-05 18:50:58.510296,2023-04-05 18:51:09.297725,1.211,0.013,0.011,0.411,10.787429,1.646,9.141428999999999,keda+keda
8,80,2023-04-05 18:50:55.388671,2023-04-05 18:51:09.360927,0.422,0.016,0.012,0.094,13.972256,0.544,13.428256,keda+keda
9,77,2023-04-05 18:50:54.387608,2023-04-05 18:51:09.391262,1.122,0.010,0.015,0.092,15.003654,1.239,13.764653999999998,keda+keda
10,91,2023-04-05 18:50:58.514399,2023-04-05 18:51:09.569795,1.246,3.054,0.016,0.117,11.055396,4.433,6.622396,keda+keda
11,95,2023-04-05 18:51:00.401643,2023-04-05 18:51:09.582638,0.540,9.977,0.008,0.121,9.180995,10.645999999999999,-1.4650049999999997,keda+keda
12,96,2023-04-05 18:51:00.523715,2023-04-05 18:51:09.598633,0.554,5.966,0.011,0.207,9.074918,6.738,2.336918,keda+keda
13,97,2023-04-05 18:51:00.519350,2023-04-05 18:51:09.605368,0.697,0.012,0.014,0.298,9.086018,1.021,8.065017999999998,keda+keda
14,69,2023-04-05 18:51:01.445744,2023-04-05 18:51:09.660459,0.382,0.012,0.012,0.307,8.214715,0.7130000000000001,7.501715,keda+keda
15,86,2023-04-05 18:50:57.397378,2023-04-05 18:51:09.670711,1.063,0.009,0.018,0.410,12.273333,1.4999999999999998,10.773333,keda+keda
16,93,2023-04-05 18:50:59.513471,2023-04-05 18:51:09.687554,0.376,0.008,0.025,0.411,10.174083,0.8200000000000001,9.354083,keda+keda
17,88,2023-04-05 18:50:57.514746,2023-04-05 18:51:09.764318,2.142,0.009,0.027,0.489,12.249572,2.667,9.582572,keda+keda
18,92,2023-04-05 18:50:59.412155,2023-04-05 18:51:09.865039,2.352,0.010,0.075,0.305,10.452884,2.742,7.710883999999999,keda+keda
19,94,2023-04-05 18:50:59.517611,2023-04-05 18:51:09.870527,0.472,0.007,0.073,0.343,10.352916,0.895,9.457916,keda+keda
20,105,2023-04-05 18:51:03.527053,2023-04-05 18:51:09.956157,1.859,0.013,0.075,0.405,6.429104,2.352,4.077104,keda+keda
21,98,2023-04-05 18:51:01.403633,2023-04-05 18:51:09.978115,1.341,0.008,0.006,0.410,8.574482,1.765,6.809482,keda+keda
22,89,2023-04-05 18:51:01.438407,2023-04-05 18:51:09.985996,0.662,0.012,0.008,0.497,8.547589,1.179,7.368589,keda+keda
23,101,2023-04-05 18:51:02.411849,2023-04-05 18:51:10.062111,1.887,0.012,0.008,0.526,7.650262,2.433,5.217262,keda+keda
24,113,2023-04-05 18:51:06.419610,2023-04-05 18:51:10.075419,0.409,0.008,0.008,0.593,3.655809,1.018,2.637809,keda+keda
25,102,2023-04-05 18:51:02.529721,2023-04-05 18:51:10.170006,0.464,0.008,0.008,0.610,7.640285,1.09,6.550285000000001,keda+keda
26,104,2023-04-05 18:51:03.411367,2023-04-05 18:51:10.175505,0.321,0.008,0.011,0.621,6.764138,0.9610000000000001,5.803138,keda+keda
27,82,2023-04-05 18:51:01.452387,2023-04-05 18:51:10.181205,0.587,0.008,0.009,0.691,8.728818,1.295,7.4338180000000005,keda+keda
28,112,2023-04-05 18:51:05.540802,2023-04-05 18:51:10.263088,0.377,0.010,0.009,0.700,4.722286,1.096,3.6262860000000003,keda+keda
29,106,2023-04-05 18:51:03.532521,2023-04-05 18:51:10.291572,0.382,0.016,0.006,0.685,6.759051,1.089,5.670051000000001,keda+keda
30,108,2023-04-05 18:51:04.537389,2023-04-05 18:51:10.360476,0.611,0.010,0.010,0.744,5.823087,1.375,4.448087,keda+keda
31,115,2023-04-05 18:51:06.543765,2023-04-05 18:51:10.376641,0.465,0.011,0.008,0.744,3.832876,1.228,2.604876,keda+keda
32,117,2023-04-05 18:51:07.545051,2023-04-05 18:51:10.459945,1.532,0.009,0.006,0.753,2.914894,2.3,0.614894,keda+keda
33,118,2023-04-05 18:51:07.550150,2023-04-05 18:51:10.467333,1.567,0.009,0.011,0.848,2.917183,2.4349999999999996,0.4821830000000005,keda+keda
34,119,2023-04-05 18:51:08.426839,2023-04-05 18:51:10.475023,0.467,0.010,0.011,0.539,2.048184,1.0270000000000001,1.0211839999999999,keda+keda
35,114,2023-04-05 18:51:06.546711,2023-04-05 18:51:10.512820,0.373,0.024,0.013,0.449,3.966109,0.859,3.107109,keda+keda
36,124,2023-04-05 18:51:09.561086,2023-04-05 18:51:10.569412,0.674,0.014,0.012,0.457,1.008326,1.157,-0.14867399999999997,keda+keda
37,121,2023-04-05 18:51:08.555608,2023-04-05 18:51:10.577179,1.668,0.012,0.012,0.035,2.021571,1.7269999999999999,0.2945709999999999,keda+keda
38,120,2023-04-05 18:51:08.568275,2023-04-05 18:51:10.658866,0.878,0.035,0.012,0.030,2.090591,0.9550000000000001,1.1355909999999998,keda+keda
39,127,2023-04-05 18:51:10.574374,2023-04-05 18:51:11.195222,1.878,0.010,0.009,0.034,0.620848,1.9309999999999998,-1.310152,keda+keda
40,130,2023-04-05 18:51:11.605182,2023-04-05 18:51:12.100765,2.097,0.013,0.016,0.025,0.495583,2.151,-1.655417,keda+keda
41,128,2023-04-05 18:51:11.456098,2023-04-05 18:51:12.294800,2.248,0.012,0.012,0.031,0.838702,2.3030000000000004,-1.4642980000000003,keda+keda
42,126,2023-04-05 18:51:10.568256,2023-04-05 18:51:12.361679,0.437,0.012,0.009,0.045,1.793423,0.503,1.290423,keda+keda
43,129,2023-04-05 18:51:11.605850,2023-04-05 18:51:12.613344,4.498,0.012,0.016,0.039,1.007494,4.5649999999999995,-3.5575059999999996,keda+keda
