,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,5,2023-04-05 19:13:17.187697,2023-04-05 19:14:29.897810,0.421,0.013,0.166,0.171,12.710113,0.771,11.939112999999999,no+keda
1,9,2023-04-05 19:13:17.235281,2023-04-05 19:14:29.909477,0.509,0.014,0.346,0.167,12.674196,1.036,11.638196,no+keda
2,7,2023-04-05 19:13:17.257466,2023-04-05 19:14:29.914818,0.435,0.012,0.134,15.69,12.657352,16.271,-3.6136480000000013,no+keda
3,25,2023-04-05 19:13:22.529500,2023-04-05 19:14:29.982002,0.401,0.012,0.147,15.73,7.452502,16.29,-8.837498,no+keda
4,10,2023-04-05 19:13:17.231950,2023-04-05 19:14:30.012936,0.474,0.010,0.147,15.70,12.780986,16.331,-3.550013999999999,no+keda
5,27,2023-04-05 19:13:23.523481,2023-04-05 19:14:30.067954,0.338,0.012,0.160,0.217,6.544473,0.727,5.817473,no+keda
6,12,2023-04-05 19:13:17.509752,2023-04-05 19:14:30.072887,0.306,0.009,0.149,0.038,12.563135,0.502,12.061135,no+keda
7,14,2023-04-05 19:13:18.519904,2023-04-05 19:14:30.079998,0.478,0.007,0.156,0.038,11.560094,0.679,10.881094,no+keda
8,11,2023-04-05 19:13:17.506689,2023-04-05 19:14:30.082166,0.346,0.007,0.406,15.78,12.575477,16.538999999999998,-3.9635229999999986,no+keda
9,30,2023-04-05 19:13:24.528367,2023-04-05 19:14:30.086778,0.328,0.010,0.167,15.79,5.558411,16.294999999999998,-10.736588999999999,no+keda
10,22,2023-04-05 19:13:21.543432,2023-04-05 19:14:30.099282,0.365,0.007,0.104,15.84,8.55585,16.316,-7.760149999999999,no+keda
11,13,2023-04-05 19:13:18.515679,2023-04-05 19:14:30.157827,0.391,0.007,0.168,0.053,11.642148,0.6190000000000001,11.023148,no+keda
12,31,2023-04-05 19:13:24.529965,2023-04-05 19:14:30.167980,0.448,0.008,0.171,0.038,5.638015,0.665,4.973015,no+keda
13,6,2023-04-05 19:13:17.196182,2023-04-05 19:14:30.205525,0.496,0.011,0.175,0.048,13.009343,0.73,12.279342999999999,no+keda
14,94,2023-04-05 19:13:45.634842,2023-04-05 19:14:30.220496,0.386,0.012,0.182,15.89,44.585654,16.47,28.115654,no+keda
15,2,2023-04-05 19:13:17.194237,2023-04-05 19:14:30.245624,0.739,0.009,0.191,0.062,13.051387,1.0010000000000001,12.050387,no+keda
