,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,2,2023-04-05 19:36:20.553402,2023-04-05 19:36:23.187109,2.523,0.012,0.010,0.149,2.633707,2.694,-0.06029300000000015,no+rps
1,2,2023-04-05 19:36:20.549024,2023-04-05 19:36:23.198905,1.385,0.010,0.008,0.165,2.649881,1.568,1.081881,no+rps
2,6,2023-04-05 19:36:22.562579,2023-04-05 19:36:24.018927,1.564,0.010,0.008,0.052,1.456348,1.6340000000000001,-0.17765200000000014,no+rps
3,5,2023-04-05 19:36:22.566538,2023-04-05 19:36:24.192631,1.483,0.014,0.008,0.044,1.626093,1.5490000000000002,0.07709299999999986,no+rps
4,8,2023-04-05 19:36:23.558938,2023-04-05 19:36:25.131068,1.594,0.012,0.008,0.041,1.57213,1.655,-0.08287,no+rps
5,7,2023-04-05 19:36:23.561989,2023-04-05 19:36:25.210752,1.580,0.012,0.007,0.047,1.648763,1.646,0.002763000000000071,no+rps
6,9,2023-04-05 19:36:24.567207,2023-04-05 19:36:26.217736,1.606,0.016,0.008,0.052,1.650529,1.6820000000000002,-0.03147100000000025,no+rps
7,10,2023-04-05 19:36:24.563902,2023-04-05 19:36:26.269658,1.682,0.013,0.008,0.040,1.705756,1.7429999999999999,-0.03724399999999983,no+rps
8,12,2023-04-05 19:36:25.578600,2023-04-05 19:36:27.336465,1.757,0.010,0.011,0.065,1.757865,1.8429999999999997,-0.08513499999999974,no+rps
9,11,2023-04-05 19:36:25.573916,2023-04-05 19:36:27.401622,1.669,0.016,0.008,0.054,1.827706,1.747,0.08070599999999994,no+rps
10,14,2023-04-05 19:36:26.578114,2023-04-05 19:36:28.339375,1.707,0.011,0.008,2.211,1.761261,3.937,-2.175739,no+rps
11,13,2023-04-05 19:36:26.574082,2023-04-05 19:36:28.350362,3.113,0.009,0.009,2.463,1.77628,5.593999999999999,-3.8177199999999996,no+rps
12,22,2023-04-05 19:36:29.595644,2023-04-05 19:36:32.797789,3.267,0.014,0.009,0.033,3.202145,3.3229999999999995,-0.12085499999999971,no+rps
13,21,2023-04-05 19:36:29.590667,2023-04-05 19:36:32.922091,2.455,0.011,0.008,0.022,3.331424,2.496,0.8354240000000002,no+rps
14,23,2023-04-05 19:36:30.515905,2023-04-05 19:36:33.025727,3.530,0.010,0.006,0.021,2.509822,3.5669999999999993,-1.057177999999999,no+rps
15,20,2023-04-05 19:36:29.510645,2023-04-05 19:36:33.124535,3.660,0.019,0.006,0.023,3.61389,3.708,-0.09411000000000014,no+rps
16,24,2023-04-05 19:36:30.588615,2023-04-05 19:36:34.349937,3.554,0.011,0.010,0.029,3.761322,3.6039999999999996,0.15732200000000018,no+rps
17,26,2023-04-05 19:36:31.518285,2023-04-05 19:36:35.144525,4.481,0.011,0.010,0.026,3.62624,4.528,-0.9017599999999995,no+rps
18,25,2023-04-05 19:36:30.593619,2023-04-05 19:36:35.203875,3.679,0.015,0.008,0.026,4.610256,3.7279999999999998,0.8822559999999999,no+rps
19,28,2023-04-05 19:36:31.599229,2023-04-05 19:36:35.337599,4.866,0.010,0.010,0.022,3.73837,4.9079999999999995,-1.1696299999999993,no+rps
20,27,2023-04-05 19:36:31.594325,2023-04-05 19:36:36.532024,4.407,0.013,0.011,0.026,4.937699,4.457,0.48069900000000043,no+rps
21,31,2023-04-05 19:36:32.604106,2023-04-05 19:36:37.244093,3.750,0.017,0.011,0.030,4.639987,3.808,0.8319869999999998,no+rps
