,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,2,2023-04-05 06:04:07.800572,2023-04-05 06:04:09.136801,1.195,0.016,0.010,0.054,1.336229,1.2750000000000001,0.061228999999999756,keda+k8shpa
1,1,2023-04-05 06:04:06.807927,2023-04-05 06:04:09.184361,2.262,0.009,0.008,0.030,2.376434,2.3089999999999997,0.06743400000000044,keda+k8shpa
2,3,2023-04-05 06:04:08.808659,2023-04-05 06:04:10.493819,1.568,0.010,0.007,0.029,1.68516,1.6139999999999999,0.07116000000000011,keda+k8shpa
3,5,2023-04-05 06:04:10.809665,2023-04-05 06:04:11.231399,0.324,0.011,0.007,0.027,0.421734,0.36900000000000005,0.05273399999999995,keda+k8shpa
4,4,2023-04-05 06:04:09.808097,2023-04-05 06:04:11.426951,1.543,0.009,0.006,0.030,1.618854,1.5879999999999999,0.03085400000000016,keda+k8shpa
5,6,2023-04-05 06:04:11.814844,2023-04-05 06:04:14.144118,2.192,0.007,0.010,0.036,2.329274,2.245,0.08427399999999974,keda+k8shpa
6,7,2023-04-05 06:04:12.814194,2023-04-05 06:04:14.152175,1.195,0.009,0.009,0.041,1.337981,1.2539999999999998,0.0839810000000003,keda+k8shpa
7,8,2023-04-05 06:04:13.821132,2023-04-05 06:04:14.286111,0.367,0.008,0.008,0.025,0.464979,0.40800000000000003,0.056978999999999946,keda+k8shpa
8,9,2023-04-05 06:04:14.821135,2023-04-05 06:04:15.230818,0.330,0.013,0.008,0.026,0.409683,0.37700000000000006,0.03268299999999996,keda+k8shpa
9,10,2023-04-05 06:04:15.825626,2023-04-05 06:04:16.248313,0.320,0.010,0.006,0.030,0.422687,0.366,0.05668699999999999,keda+k8shpa
10,12,2023-04-05 06:04:17.836598,2023-04-05 06:04:18.231558,0.311,0.009,0.008,0.028,0.39496,0.35600000000000004,0.03895999999999994,keda+k8shpa
11,11,2023-04-05 06:04:16.830226,2023-04-05 06:04:18.475554,1.549,0.010,0.006,0.026,1.645328,1.591,0.05432799999999993,keda+k8shpa
12,14,2023-04-05 06:04:19.841375,2023-04-05 06:04:20.295775,0.336,0.011,0.007,0.026,0.4544,0.38000000000000006,0.07439999999999997,keda+k8shpa
13,13,2023-04-05 06:04:18.835965,2023-04-05 06:04:20.512467,1.608,0.013,0.009,0.026,1.676502,1.656,0.02050200000000002,keda+k8shpa
14,15,2023-04-05 06:04:20.844529,2023-04-05 06:04:21.249846,0.327,0.009,0.008,0.024,0.405317,0.36800000000000005,0.037316999999999934,keda+k8shpa
15,17,2023-04-05 06:04:22.850747,2023-04-05 06:04:23.297488,0.324,0.010,0.007,0.027,0.446741,0.36800000000000005,0.07874099999999995,keda+k8shpa
16,16,2023-04-05 06:04:21.847712,2023-04-05 06:04:23.601718,1.679,0.011,0.007,0.026,1.754006,1.7229999999999999,0.03100600000000009,keda+k8shpa
17,18,2023-04-05 06:04:23.854460,2023-04-05 06:04:24.254563,0.317,0.010,0.007,0.029,0.400103,0.36300000000000004,0.03710299999999994,keda+k8shpa
18,19,2023-04-05 06:04:24.859377,2023-04-05 06:04:25.278748,0.311,0.011,0.008,0.028,0.419371,0.35800000000000004,0.06137099999999995,keda+k8shpa
19,21,2023-04-05 06:04:26.863179,2023-04-05 06:04:27.265765,0.323,0.009,0.008,0.026,0.402586,0.36600000000000005,0.03658599999999995,keda+k8shpa
20,20,2023-04-05 06:04:25.860658,2023-04-05 06:04:27.533832,1.578,0.006,0.006,0.026,1.673174,1.616,0.057173999999999836,keda+k8shpa
21,22,2023-04-05 06:04:27.867058,2023-04-05 06:04:28.297702,0.332,0.012,0.008,0.031,0.430644,0.383,0.04764400000000002,keda+k8shpa
22,23,2023-04-05 06:04:28.869585,2023-04-05 06:04:29.297541,0.318,0.010,0.008,0.029,0.427956,0.36500000000000005,0.06295599999999996,keda+k8shpa
23,24,2023-04-05 06:04:29.872343,2023-04-05 06:04:30.277856,0.336,0.008,0.007,0.026,0.405513,0.37700000000000006,0.028512999999999955,keda+k8shpa
24,25,2023-04-05 06:04:30.875237,2023-04-05 06:04:31.283309,0.311,0.009,0.009,0.026,0.408072,0.35500000000000004,0.05307199999999995,keda+k8shpa
25,26,2023-04-05 06:04:31.893063,2023-04-05 06:04:32.295366,0.316,0.007,0.008,0.026,0.402303,0.35700000000000004,0.04530299999999998,keda+k8shpa
26,27,2023-04-05 06:04:32.881466,2023-04-05 06:04:33.269650,0.319,0.008,0.008,0.027,0.388184,0.36200000000000004,0.02618399999999993,keda+k8shpa
27,28,2023-04-05 06:04:33.889372,2023-04-05 06:04:34.310208,0.323,0.009,0.007,0.027,0.420836,0.36600000000000005,0.05483599999999994,keda+k8shpa
28,29,2023-04-05 06:04:34.893304,2023-04-05 06:04:35.300337,0.306,0.010,0.007,0.025,0.407033,0.34800000000000003,0.05903299999999995,keda+k8shpa
29,30,2023-04-05 06:04:35.892324,2023-04-05 06:04:36.288345,0.317,0.011,0.012,0.028,0.396021,0.36800000000000005,0.028020999999999963,keda+k8shpa
30,31,2023-04-05 06:04:36.896835,2023-04-05 06:04:38.253041,0.320,0.011,0.008,0.051,1.356206,0.39,0.966206,keda+k8shpa
31,32,2023-04-05 06:04:37.902140,2023-04-05 06:04:38.317953,0.311,0.009,0.007,0.031,0.415813,0.358,0.057813,keda+k8shpa
32,33,2023-04-05 06:04:38.909702,2023-04-05 06:04:39.289964,0.309,0.010,0.008,0.030,0.380262,0.357,0.023262000000000005,keda+k8shpa
33,34,2023-04-05 06:04:39.913330,2023-04-05 06:04:40.357034,0.325,0.010,0.007,0.025,0.443704,0.36700000000000005,0.07670399999999994,keda+k8shpa
34,35,2023-04-05 06:04:40.911332,2023-04-05 06:04:41.331151,0.309,0.010,0.006,0.024,0.419819,0.34900000000000003,0.07081899999999997,keda+k8shpa
35,36,2023-04-05 06:04:41.919397,2023-04-05 06:04:42.318995,0.322,0.011,0.007,0.026,0.399598,0.36600000000000005,0.03359799999999996,keda+k8shpa
