,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,1,2023-04-05 05:37:07.172020,2023-04-05 05:37:07.810114,0.316,0.010,0.011,0.026,0.638094,0.36300000000000004,0.275094,keda+rps
1,2,2023-04-05 05:37:08.146799,2023-04-05 05:37:08.565085,0.338,0.009,0.011,0.028,0.418286,0.38600000000000007,0.032285999999999926,keda+rps
2,4,2023-04-05 05:37:10.149217,2023-04-05 05:37:10.590052,0.381,0.008,0.010,0.074,0.440835,0.47300000000000003,-0.032165000000000055,keda+rps
3,5,2023-04-05 05:37:11.148929,2023-04-05 05:37:11.614502,0.354,0.010,0.011,0.030,0.465573,0.405,0.06057299999999999,keda+rps
4,6,2023-04-05 05:37:12.154999,2023-04-05 05:37:12.573319,0.330,0.011,0.009,0.033,0.41832,0.383,0.03532000000000002,keda+rps
5,9,2023-04-05 05:37:15.166127,2023-04-05 05:37:16.712969,0.347,0.009,0.010,0.027,1.546842,0.393,1.153842,keda+rps
6,8,2023-04-05 05:37:14.166675,2023-04-05 05:37:16.805171,0.356,0.012,0.011,0.026,2.638496,0.405,2.2334959999999997,keda+rps
7,10,2023-04-05 05:37:16.166121,2023-04-05 05:37:17.046290,0.312,0.008,0.007,0.025,0.880169,0.35200000000000004,0.5281689999999999,keda+rps
8,11,2023-04-05 05:37:17.173638,2023-04-05 05:37:17.907509,0.321,0.008,0.007,0.023,0.733871,0.35900000000000004,0.374871,keda+rps
9,12,2023-04-05 05:37:18.177432,2023-04-05 05:37:18.652904,0.315,0.021,0.010,0.025,0.475472,0.37100000000000005,0.10447199999999995,keda+rps
10,13,2023-04-05 05:37:19.183238,2023-04-05 05:37:19.655389,0.330,0.009,0.011,0.027,0.472151,0.37700000000000006,0.09515099999999993,keda+rps
11,14,2023-04-05 05:37:20.185811,2023-04-05 05:37:20.647236,0.357,0.014,0.007,0.029,0.461425,0.40700000000000003,0.054424999999999946,keda+rps
12,15,2023-04-05 05:37:21.181992,2023-04-05 05:37:21.658638,0.329,0.007,0.012,0.031,0.476646,0.379,0.09764600000000001,keda+rps
13,16,2023-04-05 05:37:22.189720,2023-04-05 05:37:22.615514,0.334,0.011,0.012,0.026,0.425794,0.38300000000000006,0.04279399999999994,keda+rps
14,17,2023-04-05 05:37:23.193044,2023-04-05 05:37:23.629170,0.331,0.011,0.012,0.025,0.436126,0.37900000000000006,0.057125999999999955,keda+rps
