,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,9,2023-04-05 07:19:17.050104,2023-04-05 07:19:21.414464,4.258,0.010,0.014,0.058,4.36436,4.34,0.024359999999999715,no+k8shpa
1,10,2023-04-05 07:19:18.051319,2023-04-05 07:19:21.470251,3.342,0.011,0.011,0.025,3.418932,3.3890000000000002,0.029931999999999626,no+k8shpa
2,7,2023-04-05 07:19:15.041100,2023-04-05 07:19:21.572292,6.439,0.011,0.007,0.032,6.531192,6.489,0.04219200000000001,no+k8shpa
3,3,2023-04-05 07:19:11.027767,2023-04-05 07:19:21.651527,10.53,0.011,0.007,0.028,10.62376,10.575999999999999,0.04776000000000202,no+k8shpa
4,6,2023-04-05 07:19:14.037039,2023-04-05 07:19:23.721997,9.539,0.010,0.008,0.042,9.684958,9.598999999999998,0.08595800000000153,no+k8shpa
5,5,2023-04-05 07:19:13.033195,2023-04-05 07:19:23.732058,10.58,0.008,0.006,0.045,10.698863,10.639,0.059863,no+k8shpa
6,8,2023-04-05 07:19:16.047010,2023-04-05 07:19:23.811328,7.687,0.010,0.010,0.029,7.764318,7.736,0.02831800000000051,no+k8shpa
7,4,2023-04-05 07:19:12.036514,2023-04-05 07:19:23.877985,11.76,0.010,0.008,0.032,11.841471,11.809999999999999,0.03147100000000158,no+k8shpa
8,13,2023-04-05 07:19:21.062410,2023-04-05 07:19:25.787835,4.285,0.009,0.013,0.032,4.725425,4.339,0.386425,no+k8shpa
9,12,2023-04-05 07:19:20.065607,2023-04-05 07:19:25.979256,4.494,0.012,0.011,0.035,5.913649,4.552,1.3616490000000008,no+k8shpa
10,1,2023-04-05 07:19:09.026154,2023-04-05 07:19:25.990089,16.88,0.008,0.007,0.039,16.963935,16.934,0.02993499999999827,no+k8shpa
11,2,2023-04-05 07:19:10.029238,2023-04-05 07:19:26.066370,15.97,0.011,0.008,0.031,16.037132,16.02,0.017132000000000147,no+k8shpa
12,14,2023-04-05 07:19:22.068794,2023-04-05 07:19:27.909767,5.767,0.012,0.011,0.034,5.840973,5.824,0.016973000000000127,no+k8shpa
13,17,2023-04-05 07:19:25.074824,2023-04-05 07:19:28.236929,3.004,0.013,0.011,0.225,3.162105,3.253,-0.09089500000000017,no+k8shpa
14,16,2023-04-05 07:19:24.074913,2023-04-05 07:19:28.244104,4.040,0.012,0.009,0.261,4.169191,4.322,-0.15280900000000042,no+k8shpa
15,15,2023-04-05 07:19:23.069434,2023-04-05 07:19:28.273025,5.091,0.009,0.010,0.265,5.203591,5.375,-0.1714089999999997,no+k8shpa
16,18,2023-04-05 07:19:26.074787,2023-04-05 07:19:29.157067,2.971,0.010,0.011,0.032,3.08228,3.024,0.05827999999999989,no+k8shpa
17,19,2023-04-05 07:19:27.076469,2023-04-05 07:19:29.718653,2.538,0.011,0.011,0.032,2.642184,2.592,0.050183999999999784,no+k8shpa
18,20,2023-04-05 07:19:28.083357,2023-04-05 07:19:29.932545,1.783,0.011,0.009,0.024,1.849188,1.8269999999999997,0.02218800000000032,no+k8shpa
19,21,2023-04-05 07:19:29.093136,2023-04-05 07:19:30.335844,1.143,0.007,0.010,0.029,1.242708,1.1889999999999998,0.05370800000000009,no+k8shpa
20,22,2023-04-05 07:19:30.099990,2023-04-05 07:19:30.675675,0.461,0.008,0.009,0.031,0.575685,0.509,0.066685,no+k8shpa
21,23,2023-04-05 07:19:31.091234,2023-04-05 07:19:31.480711,0.312,0.011,0.011,0.029,0.389477,0.36300000000000004,0.026476999999999973,no+k8shpa
22,24,2023-04-05 07:19:32.097184,2023-04-05 07:19:32.502972,0.312,0.011,0.010,0.033,0.405788,0.366,0.03978799999999999,no+k8shpa
23,25,2023-04-05 07:19:33.100705,2023-04-05 07:19:33.523224,0.323,0.011,0.011,0.031,0.422519,0.376,0.04651899999999998,no+k8shpa
24,26,2023-04-05 07:19:34.104954,2023-04-05 07:19:34.486505,0.306,0.008,0.010,0.030,0.381551,0.354,0.027550999999999992,no+k8shpa
25,27,2023-04-05 07:19:35.106017,2023-04-05 07:19:35.516968,0.304,0.008,0.012,0.034,0.410951,0.358,0.052951000000000026,no+k8shpa
26,28,2023-04-05 07:19:36.110510,2023-04-05 07:19:36.504422,0.303,0.010,0.011,0.032,0.393912,0.356,0.037912,no+k8shpa
27,29,2023-04-05 07:19:37.110058,2023-04-05 07:19:37.524739,0.339,0.011,0.011,0.032,0.414681,0.393,0.021681000000000006,no+k8shpa
28,30,2023-04-05 07:19:38.117682,2023-04-05 07:19:38.515141,0.305,0.011,0.011,0.034,0.397459,0.361,0.03645900000000002,no+k8shpa
29,31,2023-04-05 07:19:39.126802,2023-04-05 07:19:39.541859,0.316,0.009,0.011,0.032,0.415057,0.368,0.047057000000000015,no+k8shpa
30,32,2023-04-05 07:19:40.119664,2023-04-05 07:19:40.501816,0.307,0.008,0.012,0.035,0.382152,0.362,0.020152000000000003,no+k8shpa
31,33,2023-04-05 07:19:41.129287,2023-04-05 07:19:41.560240,0.326,0.011,0.010,0.031,0.430953,0.378,0.05295299999999997,no+k8shpa
32,34,2023-04-05 07:19:42.133170,2023-04-05 07:19:42.547725,0.315,0.010,0.010,0.030,0.414555,0.365,0.049555000000000016,no+k8shpa
