,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,10,2023-04-05 06:56:52.435746,2023-04-05 06:56:55.649907,10.60,0.009,0.010,0.055,3.214161,10.674,-7.459839,no+keda
1,7,2023-04-05 06:56:49.424345,2023-04-05 06:56:55.880201,14.55,0.010,0.012,0.034,6.455856,14.606000000000002,-8.150144000000001,no+keda
2,9,2023-04-05 06:56:51.431583,2023-04-05 06:56:56.043640,7.597,0.011,0.011,0.031,4.612057,7.65,-3.0379430000000003,no+keda
3,3,2023-04-05 06:56:45.412727,2023-04-05 06:56:56.120520,11.65,0.011,0.008,0.031,10.707793,11.7,-0.9922069999999987,no+keda
4,1,2023-04-05 06:56:43.408715,2023-04-05 06:56:58.090052,10.75,0.011,0.009,0.036,14.681337,10.806,3.875337,no+keda
5,8,2023-04-05 06:56:50.427317,2023-04-05 06:56:58.103341,4.525,0.008,0.012,0.032,7.676024,4.577,3.099024,no+keda
6,4,2023-04-05 06:56:46.413665,2023-04-05 06:56:58.191615,4.590,0.010,0.011,0.029,11.77795,4.64,7.137950000000001,no+keda
7,5,2023-04-05 06:56:47.416369,2023-04-05 06:56:58.255243,4.619,0.008,0.007,0.027,10.838874,4.661,6.177874000000001,no+keda
8,13,2023-04-05 06:56:55.443738,2023-04-05 06:57:00.211381,3.864,0.009,0.009,0.031,4.767643,3.913,0.8546429999999998,no+keda
9,11,2023-04-05 06:56:53.437784,2023-04-05 06:57:00.264056,4.218,0.010,0.012,0.037,6.826272,4.276999999999999,2.549272000000001,no+keda
10,12,2023-04-05 06:56:54.444659,2023-04-05 06:57:00.282480,3.519,0.011,0.010,0.030,5.837821,3.57,2.267821,no+keda
11,14,2023-04-05 06:56:56.449480,2023-04-05 06:57:00.408376,2.641,0.012,0.008,0.025,3.958896,2.686,1.2728960000000002,no+keda
12,15,2023-04-05 06:56:57.454282,2023-04-05 06:57:01.774033,2.220,0.010,0.012,0.031,4.319751,2.273,2.046751,no+keda
13,16,2023-04-05 06:56:58.456193,2023-04-05 06:57:02.083154,1.654,0.010,0.010,0.031,3.626961,1.7049999999999998,1.9219610000000003,no+keda
14,17,2023-04-05 06:56:59.468664,2023-04-05 06:57:02.210406,0.921,0.010,0.010,0.030,2.741742,0.9710000000000001,1.7707419999999998,no+keda
15,18,2023-04-05 06:57:00.460054,2023-04-05 06:57:02.768703,0.318,0.012,0.010,0.030,2.308649,0.37,1.9386489999999998,no+keda
16,19,2023-04-05 06:57:01.467385,2023-04-05 06:57:03.228149,0.305,0.011,0.009,0.030,1.760764,0.355,1.405764,no+keda
17,20,2023-04-05 06:57:02.466169,2023-04-05 06:57:03.492833,0.311,0.010,0.011,0.030,1.026664,0.362,0.664664,no+keda
18,21,2023-04-05 06:57:03.469666,2023-04-05 06:57:03.865531,0.312,0.012,0.011,0.030,0.395865,0.365,0.03086500000000003,no+keda
19,22,2023-04-05 06:57:04.476492,2023-04-05 06:57:04.890311,0.311,0.011,0.008,0.035,0.413819,0.365,0.048819,no+keda
20,23,2023-04-05 06:57:05.479305,2023-04-05 06:57:05.888920,0.329,0.008,0.010,0.032,0.409615,0.379,0.030615000000000003,no+keda
21,24,2023-04-05 06:57:06.483280,2023-04-05 06:57:06.870786,0.327,0.012,0.013,0.033,0.387506,0.385,0.0025060000000000082,no+keda
22,25,2023-04-05 06:57:07.485676,2023-04-05 06:57:07.893807,0.322,0.011,0.011,0.029,0.408131,0.37300000000000005,0.03513099999999997,no+keda
23,26,2023-04-05 06:57:08.488630,2023-04-05 06:57:09.392327,0.310,0.011,0.011,0.030,0.903697,0.362,0.541697,no+keda
24,27,2023-04-05 06:57:09.491933,2023-04-05 06:57:10.017411,0.338,0.010,0.011,0.029,0.525478,0.38800000000000007,0.13747799999999993,no+keda
25,28,2023-04-05 06:57:10.497399,2023-04-05 06:57:10.920092,0.333,0.011,0.009,0.040,0.422693,0.393,0.02969299999999997,no+keda
26,29,2023-04-05 06:57:11.500032,2023-04-05 06:57:11.915407,0.306,0.010,0.011,0.030,0.415375,0.357,0.05837500000000001,no+keda
27,30,2023-04-05 06:57:12.502333,2023-04-05 06:57:12.922715,0.312,0.011,0.008,0.030,0.420382,0.361,0.05938199999999999,no+keda
28,31,2023-04-05 06:57:13.504090,2023-04-05 06:57:13.935706,0.306,0.011,0.011,0.030,0.431616,0.358,0.07361600000000001,no+keda
29,32,2023-04-05 06:57:14.509016,2023-04-05 06:57:14.913699,0.332,0.012,0.015,0.027,0.404683,0.38600000000000007,0.01868299999999995,no+keda
30,33,2023-04-05 06:57:15.511296,2023-04-05 06:57:15.901764,0.321,0.011,0.011,0.035,0.390468,0.378,0.012467999999999979,no+keda
31,34,2023-04-05 06:57:16.516945,2023-04-05 06:57:16.941084,0.314,0.009,0.014,0.037,0.424139,0.374,0.05013899999999999,no+keda
32,35,2023-04-05 06:57:17.519056,2023-04-05 06:57:17.951368,0.316,0.012,0.011,0.029,0.432312,0.36800000000000005,0.06431199999999992,no+keda
33,36,2023-04-05 06:57:18.522788,2023-04-05 06:57:18.920851,0.316,0.012,0.012,0.030,0.398063,0.37,0.028063000000000005,no+keda
34,37,2023-04-05 06:57:19.527080,2023-04-05 06:57:19.947953,0.320,0.010,0.011,0.031,0.420873,0.372,0.048873,no+keda
35,38,2023-04-05 06:57:20.533105,2023-04-05 06:57:20.955539,0.345,0.012,0.011,0.031,0.422434,0.399,0.023433999999999955,no+keda
36,39,2023-04-05 06:57:21.536177,2023-04-05 06:57:21.929503,0.327,0.011,0.012,0.038,0.393326,0.388,0.005325999999999997,no+keda
37,40,2023-04-05 06:57:22.537031,2023-04-05 06:57:22.959376,0.319,0.011,0.012,0.033,0.422345,0.375,0.047345000000000026,no+keda
38,41,2023-04-05 06:57:23.541828,2023-04-05 06:57:23.993078,0.312,0.011,0.010,0.030,0.45125,0.363,0.08825,no+keda
39,42,2023-04-05 06:57:24.549083,2023-04-05 06:57:24.951865,0.338,0.012,0.010,0.029,0.402782,0.38900000000000007,0.013781999999999905,no+keda
40,43,2023-04-05 06:57:25.548656,2023-04-05 06:57:25.976573,0.311,0.011,0.011,0.032,0.427917,0.365,0.062917,no+keda
41,44,2023-04-05 06:57:26.550135,2023-04-05 06:57:26.961653,0.384,0.011,0.011,0.035,0.411518,0.44100000000000006,-0.029482000000000064,no+keda
42,45,2023-04-05 06:57:27.554898,2023-04-05 06:57:27.967982,0.310,0.008,0.008,0.030,0.413084,0.356,0.057084000000000024,no+keda
43,46,2023-04-05 06:57:28.557820,2023-04-05 06:57:28.976028,0.329,0.011,0.012,0.024,0.418208,0.37600000000000006,0.04220799999999997,no+keda
44,47,2023-04-05 06:57:29.561894,2023-04-05 06:57:30.046095,0.323,0.011,0.010,0.028,0.484201,0.37200000000000005,0.11220099999999994,no+keda
45,48,2023-04-05 06:57:30.565180,2023-04-05 06:57:30.952322,0.312,0.012,0.010,0.029,0.387142,0.36300000000000004,0.02414199999999994,no+keda
46,49,2023-04-05 06:57:31.569114,2023-04-05 06:57:32.003724,0.307,0.011,0.011,0.029,0.43461,0.35800000000000004,0.07660999999999996,no+keda
47,50,2023-04-05 06:57:32.570533,2023-04-05 06:57:33.014521,0.312,0.010,0.011,0.034,0.443988,0.367,0.076988,no+keda
48,51,2023-04-05 06:57:33.574834,2023-04-05 06:57:33.966552,0.317,0.011,0.012,0.029,0.391718,0.36900000000000005,0.02271799999999996,no+keda
49,52,2023-04-05 06:57:34.577351,2023-04-05 06:57:34.983653,0.319,0.012,0.011,0.031,0.406302,0.373,0.033302,no+keda
50,53,2023-04-05 06:57:35.580596,2023-04-05 06:57:35.996500,0.344,0.011,0.010,0.038,0.415904,0.40299999999999997,0.012904000000000027,no+keda
51,54,2023-04-05 06:57:36.583471,2023-04-05 06:57:36.989069,0.314,0.011,0.012,0.038,0.405598,0.375,0.030598000000000014,no+keda
52,55,2023-04-05 06:57:37.584155,2023-04-05 06:57:38.009587,0.342,0.011,0.008,0.034,0.425432,0.395,0.03043199999999996,no+keda
53,56,2023-04-05 06:57:38.591068,2023-04-05 06:57:39.036946,0.316,0.008,0.011,0.031,0.445878,0.366,0.079878,no+keda
54,57,2023-04-05 06:57:39.595259,2023-04-05 06:57:39.985242,0.342,0.011,0.010,0.040,0.389983,0.403,-0.013017,no+keda
55,58,2023-04-05 06:57:40.597496,2023-04-05 06:57:41.042001,0.325,0.011,0.010,0.032,0.444505,0.378,0.06650499999999998,no+keda
56,59,2023-04-05 06:57:41.600709,2023-04-05 06:57:42.017648,0.305,0.011,0.011,0.037,0.416939,0.364,0.052939000000000014,no+keda
57,60,2023-04-05 06:57:42.601975,2023-04-05 06:57:43.029535,0.312,0.010,0.010,0.033,0.42756,0.365,0.06256,no+keda
58,61,2023-04-05 06:57:43.607905,2023-04-05 06:57:44.033558,0.316,0.008,0.016,0.033,0.425653,0.373,0.052653000000000005,no+keda
59,62,2023-04-05 06:57:44.613794,2023-04-05 06:57:45.021999,0.340,0.008,0.010,0.032,0.408205,0.39,0.01820499999999997,no+keda
60,63,2023-04-05 06:57:45.616369,2023-04-05 06:57:46.007994,0.317,0.009,0.009,0.030,0.391625,0.365,0.02662500000000001,no+keda
61,64,2023-04-05 06:57:46.616065,2023-04-05 06:57:47.046009,0.304,0.010,0.019,0.031,0.429944,0.364,0.065944,no+keda
62,65,2023-04-05 06:57:47.621462,2023-04-05 06:57:48.066871,0.331,0.011,0.011,0.031,0.445409,0.384,0.06140899999999999,no+keda
63,66,2023-04-05 06:57:48.621166,2023-04-05 06:57:49.018909,0.319,0.011,0.011,0.033,0.397743,0.374,0.023743000000000014,no+keda
