,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,2,2023-04-05 07:41:48.103332,2023-04-05 07:41:49.494336,2.397,0.012,0.009,0.051,1.391004,2.469,-1.077996,no+rps
1,1,2023-04-05 07:41:47.105343,2023-04-05 07:41:49.600857,0.732,0.007,0.008,0.025,2.495514,0.772,1.723514,no+rps
2,3,2023-04-05 07:41:49.117823,2023-04-05 07:41:49.917009,0.334,0.007,0.010,0.028,0.799186,0.37900000000000006,0.4201859999999999,no+rps
3,4,2023-04-05 07:41:50.108414,2023-04-05 07:41:50.541515,0.382,0.010,0.008,0.036,0.433101,0.436,-0.002898999999999985,no+rps
4,5,2023-04-05 07:41:51.113032,2023-04-05 07:41:51.584028,0.344,0.011,0.010,0.027,0.470996,0.392,0.07899600000000001,no+rps
5,6,2023-04-05 07:41:52.120527,2023-04-05 07:41:52.542693,0.308,0.011,0.011,0.029,0.422166,0.35900000000000004,0.06316599999999994,no+rps
6,7,2023-04-05 07:41:53.129346,2023-04-05 07:41:53.534341,1.197,0.010,0.011,0.030,0.404995,1.248,-0.843005,no+rps
7,9,2023-04-05 07:41:55.124456,2023-04-05 07:41:56.448708,2.311,0.011,0.008,0.034,1.324252,2.364,-1.039748,no+rps
8,8,2023-04-05 07:41:54.122569,2023-04-05 07:41:56.496009,0.637,0.011,0.007,0.027,2.37344,0.682,1.69144,no+rps
9,10,2023-04-05 07:41:56.142794,2023-04-05 07:41:56.867620,0.315,0.012,0.010,0.026,0.724826,0.36300000000000004,0.3618259999999999,no+rps
10,11,2023-04-05 07:41:57.137235,2023-04-05 07:41:57.580078,0.315,0.011,0.010,0.060,0.442843,0.396,0.04684299999999997,no+rps
11,12,2023-04-05 07:41:58.139500,2023-04-05 07:41:58.534142,0.322,0.011,0.010,0.029,0.394642,0.37200000000000005,0.02264199999999994,no+rps
12,13,2023-04-05 07:41:59.144643,2023-04-05 07:41:59.564879,0.313,0.011,0.011,0.028,0.420236,0.36300000000000004,0.057235999999999954,no+rps
13,14,2023-04-05 07:42:00.143394,2023-04-05 07:42:00.544298,0.317,0.008,0.011,0.028,0.400904,0.36400000000000005,0.03690399999999994,no+rps
14,15,2023-04-05 07:42:01.148687,2023-04-05 07:42:01.539216,0.316,0.011,0.010,0.031,0.390529,0.368,0.02252900000000002,no+rps
15,16,2023-04-05 07:42:02.153652,2023-04-05 07:42:02.565462,0.324,0.008,0.011,0.029,0.41181,0.37200000000000005,0.03980999999999996,no+rps
16,17,2023-04-05 07:42:03.159872,2023-04-05 07:42:03.581717,0.327,0.011,0.012,0.029,0.421845,0.37900000000000006,0.042844999999999966,no+rps
17,18,2023-04-05 07:42:04.162012,2023-04-05 07:42:04.565402,0.310,0.008,0.011,0.034,0.40339,0.363,0.04039000000000004,no+rps
18,19,2023-04-05 07:42:05.165669,2023-04-05 07:42:05.566564,0.307,0.012,0.010,0.027,0.400895,0.35600000000000004,0.04489499999999996,no+rps
19,20,2023-04-05 07:42:06.170542,2023-04-05 07:42:06.569286,0.343,0.011,0.010,0.340,0.398744,0.7040000000000001,-0.3052560000000001,no+rps
20,21,2023-04-05 07:42:07.172798,2023-04-05 07:42:07.586782,0.313,0.010,0.011,0.032,0.413984,0.366,0.04798400000000003,no+rps
21,22,2023-04-05 07:42:08.176879,2023-04-05 07:42:08.585051,0.318,0.011,0.010,0.030,0.408172,0.369,0.039171999999999985,no+rps
22,23,2023-04-05 07:42:09.180247,2023-04-05 07:42:09.890114,0.317,0.011,0.011,0.031,0.709867,0.37,0.33986700000000003,no+rps
23,24,2023-04-05 07:42:10.185946,2023-04-05 07:42:10.578951,0.315,0.011,0.010,0.030,0.393005,0.366,0.027005,no+rps
24,25,2023-04-05 07:42:11.186451,2023-04-05 07:42:11.594027,0.308,0.008,0.011,0.059,0.407576,0.386,0.021575999999999984,no+rps
25,26,2023-04-05 07:42:12.188027,2023-04-05 07:42:12.596465,0.325,0.011,0.008,0.033,0.408438,0.377,0.03143800000000002,no+rps
26,27,2023-04-05 07:42:13.193577,2023-04-05 07:42:13.598506,0.347,0.010,0.010,0.030,0.404929,0.397,0.007928999999999964,no+rps
27,28,2023-04-05 07:42:14.194821,2023-04-05 07:42:14.642038,0.306,0.012,0.008,0.030,0.447217,0.356,0.09121699999999999,no+rps
28,29,2023-04-05 07:42:15.201267,2023-04-05 07:42:15.610498,0.367,0.008,0.008,0.028,0.409231,0.41100000000000003,-0.0017690000000000206,no+rps
29,30,2023-04-05 07:42:16.200268,2023-04-05 07:42:16.627164,0.312,0.013,0.010,0.021,0.426896,0.35600000000000004,0.07089599999999996,no+rps
30,31,2023-04-05 07:42:17.209411,2023-04-05 07:42:17.617927,0.313,0.009,0.011,0.027,0.408516,0.36000000000000004,0.04851599999999995,no+rps
31,32,2023-04-05 07:42:18.212798,2023-04-05 07:42:18.659975,0.319,0.009,0.011,0.030,0.447177,0.369,0.078177,no+rps
32,33,2023-04-05 07:42:19.216506,2023-04-05 07:42:19.612680,0.313,0.012,0.010,0.029,0.396174,0.36400000000000005,0.03217399999999998,no+rps
33,34,2023-04-05 07:42:20.219718,2023-04-05 07:42:20.634151,0.310,0.019,0.012,0.036,0.414433,0.377,0.037432999999999994,no+rps
34,35,2023-04-05 07:42:21.224338,2023-04-05 07:42:21.637809,0.317,0.016,0.011,0.037,0.413471,0.381,0.03247099999999997,no+rps
35,36,2023-04-05 07:42:22.228082,2023-04-05 07:42:22.618984,0.311,0.011,0.014,0.029,0.390902,0.36500000000000005,0.02590199999999998,no+rps
36,37,2023-04-05 07:42:23.229302,2023-04-05 07:42:23.643702,0.398,0.011,0.009,0.025,0.4144,0.44300000000000006,-0.02860000000000007,no+rps
37,38,2023-04-05 07:42:24.233214,2023-04-05 07:42:24.739145,0.431,0.009,0.008,0.024,0.505931,0.47200000000000003,0.03393099999999999,no+rps
38,39,2023-04-05 07:42:25.233354,2023-04-05 07:42:25.730888,0.515,0.011,0.012,0.024,0.497534,0.562,-0.06446600000000008,no+rps
39,40,2023-04-05 07:42:26.238681,2023-04-05 07:42:26.857206,0.368,0.011,0.010,0.046,0.618525,0.435,0.183525,no+rps
40,41,2023-04-05 07:42:27.237739,2023-04-05 07:42:27.696579,0.485,0.011,0.012,0.026,0.45884,0.534,-0.07516,no+rps
41,42,2023-04-05 07:42:28.255305,2023-04-05 07:42:28.838286,0.507,0.008,0.010,0.031,0.582981,0.556,0.02698099999999992,no+rps
42,43,2023-04-05 07:42:29.249367,2023-04-05 07:42:29.862488,0.358,0.011,0.011,0.025,0.613121,0.405,0.208121,no+rps
43,45,2023-04-05 07:42:31.260488,2023-04-05 07:42:31.694439,1.609,0.011,0.010,0.030,0.433951,1.66,-1.226049,no+rps
44,44,2023-04-05 07:42:30.249128,2023-04-05 07:42:31.920351,0.325,0.008,0.010,0.021,1.671223,0.36400000000000005,1.3072229999999998,no+rps
45,46,2023-04-05 07:42:32.266788,2023-04-05 07:42:32.718094,0.311,0.009,0.008,0.029,0.451306,0.35700000000000004,0.09430599999999995,no+rps
46,47,2023-04-05 07:42:33.267802,2023-04-05 07:42:33.650274,0.313,0.007,0.009,0.028,0.382472,0.35700000000000004,0.02547199999999994,no+rps
47,48,2023-04-05 07:42:34.267559,2023-04-05 07:42:34.654133,0.327,0.010,0.012,0.038,0.386574,0.387,-0.00042600000000003746,no+rps
48,49,2023-04-05 07:42:35.269485,2023-04-05 07:42:35.725856,0.315,0.008,0.013,0.027,0.456371,0.36300000000000004,0.09337099999999998,no+rps
49,50,2023-04-05 07:42:36.272663,2023-04-05 07:42:36.662047,0.315,0.011,0.006,0.026,0.389384,0.35800000000000004,0.03138399999999997,no+rps
50,51,2023-04-05 07:42:37.274587,2023-04-05 07:42:37.660012,0.359,0.009,0.011,0.031,0.385425,0.41000000000000003,-0.024575000000000014,no+rps
51,52,2023-04-05 07:42:38.280360,2023-04-05 07:42:38.758356,0.328,0.010,0.010,0.032,0.477996,0.38,0.09799599999999997,no+rps
52,54,2023-04-05 07:42:40.283277,2023-04-05 07:42:40.679727,1.599,0.007,0.007,0.029,0.39645,1.6419999999999997,-1.2455499999999997,no+rps
53,53,2023-04-05 07:42:39.281524,2023-04-05 07:42:40.942842,0.343,0.009,0.012,0.025,1.661318,0.38900000000000007,1.272318,no+rps
54,55,2023-04-05 07:42:41.290484,2023-04-05 07:42:41.754334,0.341,0.008,0.010,0.023,0.46385,0.38200000000000006,0.08184999999999992,no+rps
55,56,2023-04-05 07:42:42.294460,2023-04-05 07:42:42.712767,0.314,0.008,0.010,0.035,0.418307,0.367,0.05130699999999999,no+rps
56,57,2023-04-05 07:42:43.296394,2023-04-05 07:42:43.682051,0.337,0.012,0.007,0.035,0.385657,0.391,-0.005342999999999987,no+rps
57,58,2023-04-05 07:42:44.300115,2023-04-05 07:42:44.765490,0.307,0.008,0.011,0.025,0.465375,0.35100000000000003,0.11437499999999995,no+rps
58,59,2023-04-05 07:42:45.301877,2023-04-05 07:42:45.682860,0.343,0.010,0.011,0.034,0.380983,0.398,-0.017017000000000004,no+rps
59,60,2023-04-05 07:42:46.305915,2023-04-05 07:42:46.720358,0.320,0.007,0.009,0.031,0.414443,0.367,0.04744300000000001,no+rps
60,61,2023-04-05 07:42:47.308721,2023-04-05 07:42:47.750904,0.361,0.011,0.008,0.027,0.442183,0.40700000000000003,0.035182999999999964,no+rps
61,62,2023-04-05 07:42:48.315376,2023-04-05 07:42:48.755581,0.325,0.009,0.007,0.028,0.440205,0.36900000000000005,0.07120499999999996,no+rps
