,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,3,2023-04-04 19:53:10.581869,2023-04-04 19:53:23.076902,3.320,0.011,0.008,0.047,12.495033,3.386,9.109033,keda+k8shpa
1,9,2023-04-04 19:53:16.605018,2023-04-04 19:53:23.141613,3.464,0.008,0.010,0.022,6.536595,3.5039999999999996,3.0325950000000006,keda+k8shpa
2,2,2023-04-04 19:53:09.577655,2023-04-04 19:53:23.267650,3.571,0.011,0.012,0.023,13.689995,3.6170000000000004,10.072994999999999,keda+k8shpa
3,1,2023-04-04 19:53:08.576599,2023-04-04 19:53:23.345225,5.375,0.012,0.008,0.023,14.768626,5.417999999999999,9.350626,keda+k8shpa
4,10,2023-04-04 19:53:17.605394,2023-04-04 19:53:25.156782,5.619,0.011,0.011,0.030,7.551388,5.671,1.880388,keda+k8shpa
5,7,2023-04-04 19:53:14.596945,2023-04-04 19:53:25.437208,5.678,0.011,0.009,0.029,10.840263,5.727,5.113263,keda+k8shpa
6,8,2023-04-04 19:53:15.599341,2023-04-04 19:53:25.471988,5.706,0.012,0.007,0.027,9.872647,5.752,4.120647000000001,keda+k8shpa
7,4,2023-04-04 19:53:11.586184,2023-04-04 19:53:25.483571,4.089,0.010,0.012,0.027,13.897387,4.138,9.759387,keda+k8shpa
8,13,2023-04-04 19:53:20.616657,2023-04-04 19:53:27.233321,7.796,0.011,0.008,0.030,6.616664,7.845000000000001,-1.2283360000000005,keda+k8shpa
9,5,2023-04-04 19:53:12.589238,2023-04-04 19:53:27.582791,4.543,0.010,0.007,0.024,14.993553,4.584,10.409553,keda+k8shpa
10,12,2023-04-04 19:53:19.613111,2023-04-04 19:53:27.688462,7.961,0.009,0.008,0.026,8.075351,8.004000000000001,0.07135099999999817,keda+k8shpa
11,6,2023-04-04 19:53:13.588171,2023-04-04 19:53:27.774029,3.814,0.008,0.009,0.026,14.185858,3.8569999999999998,10.328858,keda+k8shpa
12,18,2023-04-04 19:53:25.644528,2023-04-04 19:53:29.616920,3.012,0.008,0.012,0.030,3.972392,3.062,0.9103920000000003,keda+k8shpa
13,19,2023-04-04 19:53:26.641103,2023-04-04 19:53:29.811533,5.215,0.011,0.009,0.029,3.17043,5.264,-2.09357,keda+k8shpa
14,17,2023-04-04 19:53:24.631007,2023-04-04 19:53:29.969845,6.263,0.017,0.013,0.023,5.338838,6.316,-0.9771619999999999,keda+k8shpa
15,16,2023-04-04 19:53:23.628256,2023-04-04 19:53:30.000778,2.608,0.010,0.009,0.026,6.372522,2.6529999999999996,3.7195220000000004,keda+k8shpa
16,21,2023-04-04 19:53:28.645336,2023-04-04 19:53:31.384636,3.678,0.010,0.008,0.028,2.7393,3.7239999999999998,-0.9846999999999997,keda+k8shpa
