,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,11,2023-04-04 19:00:46.794787,2023-04-04 19:01:06.768668,4.525,0.009,0.013,0.195,19.973881,4.742000000000001,15.231880999999998,keda+keda
1,4,2023-04-04 19:00:41.531863,2023-04-04 19:01:06.788987,1.319,0.011,0.017,0.211,25.257124,1.5579999999999998,23.699124,keda+keda
2,17,2023-04-04 19:00:52.817289,2023-04-04 19:01:06.794390,2.346,0.011,0.073,0.258,13.977101,2.688,11.289100999999999,keda+keda
3,23,2023-04-04 19:00:58.838721,2023-04-04 19:01:06.843356,5.803,0.009,0.046,0.362,8.004635,6.220000000000001,1.7846349999999997,keda+keda
4,25,2023-04-04 19:01:00.847422,2023-04-04 19:01:06.950269,0.417,0.013,0.045,0.395,6.102847,0.87,5.232847,keda+keda
5,22,2023-04-04 19:00:57.907869,2023-04-04 19:01:06.956638,1.654,0.013,0.058,0.382,9.048769,2.1069999999999998,6.941769000000001,keda+keda
6,21,2023-04-04 19:00:56.832582,2023-04-04 19:01:06.966528,6.375,0.010,0.022,0.454,10.133946,6.861,3.272946,keda+keda
7,9,2023-04-04 19:00:44.790761,2023-04-04 19:01:06.977863,6.434,0.012,0.121,0.281,22.187102,6.848,15.339102,keda+keda
8,20,2023-04-04 19:00:55.824341,2023-04-04 19:01:07.056283,6.860,0.011,0.110,0.440,11.231942,7.421000000000001,3.810941999999999,keda+keda
9,6,2023-04-04 19:00:41.779056,2023-04-04 19:01:07.153352,7.634,0.012,0.110,0.403,25.374296,8.159,17.215296000000002,keda+keda
10,3,2023-04-04 19:00:41.573404,2023-04-04 19:01:07.158363,0.363,0.013,0.116,0.462,25.584959,0.954,24.630959,keda+keda
11,10,2023-04-04 19:00:45.789132,2023-04-04 19:01:07.274915,8.171,0.012,0.125,0.469,21.485783,8.777,12.708783000000002,keda+keda
12,1,2023-04-04 19:00:41.568932,2023-04-04 19:01:07.284721,1.839,0.012,0.126,0.467,25.715789,2.444,23.271789000000002,keda+keda
13,14,2023-04-04 19:00:49.807592,2023-04-04 19:01:07.293842,0.373,0.017,0.010,0.562,17.48625,0.9620000000000001,16.52425,keda+keda
14,28,2023-04-04 19:01:03.858776,2023-04-04 19:01:07.346028,0.342,0.009,0.010,0.583,3.487252,0.944,2.543252,keda+keda
15,13,2023-04-04 19:00:48.801059,2023-04-04 19:01:07.368400,1.605,0.009,0.010,0.594,18.567341,2.218,16.349341,keda+keda
16,24,2023-04-04 19:00:59.837974,2023-04-04 19:01:07.456103,0.362,0.011,0.007,0.666,7.618129,1.046,6.572128999999999,keda+keda
17,29,2023-04-04 19:01:04.852495,2023-04-04 19:01:07.467121,0.348,0.010,0.012,0.663,2.614626,1.033,1.581626,keda+keda
18,26,2023-04-04 19:01:01.846667,2023-04-04 19:01:07.472666,0.331,0.010,0.008,0.354,5.625999,0.7030000000000001,4.922999,keda+keda
19,30,2023-04-04 19:01:05.858889,2023-04-04 19:01:07.549011,0.342,0.011,0.008,0.706,1.690122,1.067,0.623122,keda+keda
20,27,2023-04-04 19:01:02.850328,2023-04-04 19:01:07.569318,0.325,0.009,0.008,0.071,4.71899,0.41300000000000003,4.3059899999999995,keda+keda
21,31,2023-04-04 19:01:06.867165,2023-04-04 19:01:07.643911,0.326,0.012,0.011,0.060,0.776746,0.40900000000000003,0.367746,keda+keda
22,32,2023-04-04 19:01:07.865235,2023-04-04 19:01:08.303586,0.375,0.010,0.010,0.044,0.438351,0.439,-0.0006490000000000107,keda+keda
23,33,2023-04-04 19:01:08.871208,2023-04-04 19:01:09.302948,0.353,0.009,0.010,0.087,0.43174,0.45899999999999996,-0.02725999999999995,keda+keda
24,34,2023-04-04 19:01:09.874241,2023-04-04 19:01:10.302557,0.408,0.016,0.010,0.134,0.428316,0.5680000000000001,-0.13968400000000009,keda+keda
