,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,1,2023-04-04 20:42:10.072299,2023-04-04 20:42:26.864575,3.351,0.008,0.007,0.049,16.792276,3.415,13.377276000000002,keda+rps
1,3,2023-04-04 20:42:12.071963,2023-04-04 20:42:27.109870,3.420,0.011,0.006,0.028,15.037907,3.465,11.572907,keda+rps
2,7,2023-04-04 20:42:16.089214,2023-04-04 20:42:27.156888,3.426,0.012,0.008,0.031,11.067674,3.4770000000000003,7.590674,keda+rps
3,4,2023-04-04 20:42:13.080917,2023-04-04 20:42:27.169192,5.442,0.008,0.011,0.039,14.088275,5.5,8.588275,keda+rps
4,5,2023-04-04 20:42:14.081661,2023-04-04 20:42:29.171470,5.470,0.011,0.011,0.027,15.089809,5.519,9.570809,keda+rps
5,8,2023-04-04 20:42:17.094672,2023-04-04 20:42:29.237710,5.558,0.011,0.009,0.028,12.143038,5.606,6.537038000000001,keda+rps
6,2,2023-04-04 20:42:11.070945,2023-04-04 20:42:29.324355,5.564,0.009,0.007,0.029,18.25341,5.609,12.644409999999999,keda+rps
7,9,2023-04-04 20:42:18.090152,2023-04-04 20:42:29.331905,7.371,0.010,0.009,0.032,11.241753,7.422000000000001,3.8197529999999986,keda+rps
8,10,2023-04-04 20:42:19.094946,2023-04-04 20:42:31.103119,7.450,0.012,0.006,0.029,12.008173,7.497,4.511172999999999,keda+rps
9,6,2023-04-04 20:42:15.080455,2023-04-04 20:42:31.170555,4.159,0.009,0.008,0.026,16.0901,4.202,11.8881,keda+rps
10,18,2023-04-04 20:42:27.123061,2023-04-04 20:42:31.401437,4.504,0.010,0.006,0.026,4.278376,4.545999999999999,-0.26762399999999964,keda+rps
11,11,2023-04-04 20:42:20.098696,2023-04-04 20:42:31.428416,4.038,0.011,0.008,0.027,11.32972,4.0840000000000005,7.2457199999999995,keda+rps
12,20,2023-04-04 20:42:29.132195,2023-04-04 20:42:33.254116,5.145,0.011,0.006,0.029,4.121921,5.191,-1.0690789999999994,keda+rps
13,19,2023-04-04 20:42:28.127015,2023-04-04 20:42:33.367044,3.263,0.010,0.009,0.030,5.240029,3.3119999999999994,1.9280290000000004,keda+rps
14,21,2023-04-04 20:42:30.131630,2023-04-04 20:42:33.492577,2.282,0.012,0.008,0.030,3.360947,2.332,1.028947,keda+rps
15,22,2023-04-04 20:42:31.141886,2023-04-04 20:42:33.499897,2.244,0.012,0.011,0.035,2.358011,2.3020000000000005,0.05601099999999937,keda+rps
16,23,2023-04-04 20:42:32.140362,2023-04-04 20:42:34.464983,1.228,0.011,0.008,0.035,2.324621,1.2819999999999998,1.0426210000000002,keda+rps
