,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,1,2023-04-04 12:35:08.138112,2023-04-04 12:35:08.518099,0.312,0.011,0.011,0.046,0.379987,0.38,-1.2999999999985246e-05,no+k8shpa
1,2,2023-04-04 12:35:09.139243,2023-04-04 12:35:09.545780,0.306,0.007,0.011,0.030,0.406537,0.354,0.052537,no+k8shpa
2,3,2023-04-04 12:35:10.139462,2023-04-04 12:35:10.528179,0.303,0.012,0.011,0.029,0.388717,0.35500000000000004,0.03371699999999994,no+k8shpa
3,4,2023-04-04 12:35:11.146068,2023-04-04 12:35:11.545340,0.370,0.012,0.011,0.029,0.399272,0.42200000000000004,-0.022728000000000026,no+k8shpa
4,5,2023-04-04 12:35:12.151235,2023-04-04 12:35:12.546435,0.305,0.009,0.009,0.032,0.3952,0.355,0.040200000000000014,no+k8shpa
5,6,2023-04-04 12:35:13.150747,2023-04-04 12:35:13.590178,0.327,0.009,0.012,0.034,0.439431,0.382,0.05743100000000001,no+k8shpa
6,7,2023-04-04 12:35:14.156340,2023-04-04 12:35:14.555631,0.308,0.008,0.011,0.035,0.399291,0.362,0.03729100000000002,no+k8shpa
7,8,2023-04-04 12:35:15.160937,2023-04-04 12:35:15.579354,0.313,0.009,0.012,0.024,0.418417,0.35800000000000004,0.06041699999999994,no+k8shpa
8,9,2023-04-04 12:35:16.160434,2023-04-04 12:35:16.540748,0.307,0.009,0.013,0.031,0.380314,0.36,0.020314,no+k8shpa
9,10,2023-04-04 12:35:17.165713,2023-04-04 12:35:17.569613,0.311,0.008,0.011,0.030,0.4039,0.36,0.043899999999999995,no+k8shpa
10,11,2023-04-04 12:35:18.169692,2023-04-04 12:35:18.579636,0.305,0.010,0.010,0.033,0.409944,0.358,0.05194399999999999,no+k8shpa
11,12,2023-04-04 12:35:19.171684,2023-04-04 12:35:19.556236,0.302,0.010,0.011,0.029,0.384552,0.35200000000000004,0.03255199999999997,no+k8shpa
12,13,2023-04-04 12:35:20.179000,2023-04-04 12:35:20.580201,0.327,0.009,0.011,0.029,0.401201,0.37600000000000006,0.025200999999999918,no+k8shpa
13,14,2023-04-04 12:35:21.178178,2023-04-04 12:35:21.580887,0.301,0.012,0.011,0.031,0.402709,0.355,0.047709,no+k8shpa
14,15,2023-04-04 12:35:22.184401,2023-04-04 12:35:22.580121,0.316,0.008,0.011,0.027,0.39572,0.36200000000000004,0.03371999999999997,no+k8shpa
15,16,2023-04-04 12:35:23.187014,2023-04-04 12:35:23.583689,0.320,0.011,0.012,0.033,0.396675,0.376,0.020675,no+k8shpa
16,17,2023-04-04 12:35:24.188292,2023-04-04 12:35:24.605211,0.312,0.008,0.010,0.027,0.416919,0.35700000000000004,0.059918999999999945,no+k8shpa
17,18,2023-04-04 12:35:25.198246,2023-04-04 12:35:25.593819,0.306,0.011,0.011,0.029,0.395573,0.35700000000000004,0.03857299999999997,no+k8shpa
18,19,2023-04-04 12:35:26.195544,2023-04-04 12:35:26.602844,0.301,0.011,0.010,0.032,0.4073,0.354,0.053300000000000014,no+k8shpa
19,20,2023-04-04 12:35:27.201067,2023-04-04 12:35:27.601174,0.318,0.009,0.012,0.032,0.400107,0.371,0.029106999999999994,no+k8shpa
20,21,2023-04-04 12:35:28.201218,2023-04-04 12:35:28.569645,0.331,0.008,0.010,0.027,0.368427,0.37600000000000006,-0.007573000000000052,no+k8shpa
21,22,2023-04-04 12:35:29.204085,2023-04-04 12:35:29.617470,0.309,0.010,0.013,0.035,0.413385,0.367,0.04638500000000001,no+k8shpa
22,23,2023-04-04 12:35:30.211976,2023-04-04 12:35:30.635408,0.308,0.011,0.011,0.031,0.423432,0.361,0.06243199999999999,no+k8shpa
23,24,2023-04-04 12:35:31.211989,2023-04-04 12:35:31.616292,0.310,0.013,0.011,0.029,0.404303,0.36300000000000004,0.04130299999999998,no+k8shpa
24,25,2023-04-04 12:35:32.214153,2023-04-04 12:35:32.616958,0.310,0.009,0.011,0.029,0.402805,0.35900000000000004,0.04380499999999998,no+k8shpa
25,26,2023-04-04 12:35:33.219544,2023-04-04 12:35:33.627011,0.311,0.010,0.009,0.030,0.407467,0.36,0.04746700000000004,no+k8shpa
26,27,2023-04-04 12:35:34.224347,2023-04-04 12:35:34.614995,0.385,0.011,0.009,0.029,0.390648,0.43400000000000005,-0.04335200000000006,no+k8shpa
27,28,2023-04-04 12:35:35.230537,2023-04-04 12:35:35.635643,0.346,0.011,0.010,0.028,0.405106,0.395,0.010106000000000004,no+k8shpa
28,29,2023-04-04 12:35:36.228222,2023-04-04 12:35:36.709899,0.314,0.017,0.011,0.028,0.481677,0.37000000000000005,0.11167699999999997,no+k8shpa
29,30,2023-04-04 12:35:37.231390,2023-04-04 12:35:37.648736,0.313,0.012,0.012,0.024,0.417346,0.36100000000000004,0.05634599999999995,no+k8shpa
30,31,2023-04-04 12:35:38.236649,2023-04-04 12:35:38.669799,0.326,0.008,0.012,0.027,0.43315,0.37300000000000005,0.060149999999999926,no+k8shpa
31,32,2023-04-04 12:35:39.240612,2023-04-04 12:35:39.620751,0.308,0.010,0.008,0.023,0.380139,0.34900000000000003,0.031138999999999972,no+k8shpa
32,33,2023-04-04 12:35:40.254230,2023-04-04 12:35:40.652350,0.372,0.007,0.007,0.027,0.39812,0.41300000000000003,-0.01488000000000006,no+k8shpa
33,34,2023-04-04 12:35:41.245332,2023-04-04 12:35:41.669072,0.324,0.008,0.011,0.028,0.42374,0.37100000000000005,0.052739999999999954,no+k8shpa
34,35,2023-04-04 12:35:42.249581,2023-04-04 12:35:42.689648,0.313,0.012,0.011,0.030,0.440067,0.366,0.074067,no+k8shpa
35,36,2023-04-04 12:35:43.254180,2023-04-04 12:35:43.656725,0.363,0.010,0.011,0.026,0.402545,0.41000000000000003,-0.007455000000000045,no+k8shpa
36,37,2023-04-04 12:35:44.252846,2023-04-04 12:35:44.688425,0.305,0.011,0.012,0.028,0.435579,0.35600000000000004,0.07957899999999996,no+k8shpa
37,38,2023-04-04 12:35:45.256171,2023-04-04 12:35:45.688632,0.302,0.011,0.011,0.033,0.432461,0.357,0.075461,no+k8shpa
38,39,2023-04-04 12:35:46.264693,2023-04-04 12:35:46.644064,1.572,0.010,0.011,0.030,0.379371,1.623,-1.2436289999999999,no+k8shpa
39,41,2023-04-04 12:35:48.271442,2023-04-04 12:35:48.670563,0.308,0.010,0.011,0.030,0.399121,0.359,0.04012100000000002,no+k8shpa
40,40,2023-04-04 12:35:47.266453,2023-04-04 12:35:48.933030,0.309,0.008,0.009,0.024,1.666577,0.35000000000000003,1.3165769999999999,no+k8shpa
41,42,2023-04-04 12:35:49.274364,2023-04-04 12:35:49.653783,0.319,0.011,0.012,0.032,0.379419,0.374,0.005419000000000007,no+k8shpa
42,43,2023-04-04 12:35:50.279905,2023-04-04 12:35:50.709151,0.320,0.011,0.011,0.027,0.429246,0.36900000000000005,0.060245999999999966,no+k8shpa
43,44,2023-04-04 12:35:51.276999,2023-04-04 12:35:51.670350,0.313,0.013,0.011,0.026,0.393351,0.36300000000000004,0.03035099999999996,no+k8shpa
44,45,2023-04-04 12:35:52.277239,2023-04-04 12:35:52.669823,0.315,0.013,0.028,0.033,0.392584,0.389,0.003583999999999976,no+k8shpa
45,46,2023-04-04 12:35:53.288476,2023-04-04 12:35:53.729258,0.306,0.011,0.011,0.024,0.440782,0.35200000000000004,0.08878199999999997,no+k8shpa
46,47,2023-04-04 12:35:54.289268,2023-04-04 12:35:55.115054,0.350,0.011,0.011,0.022,0.825786,0.394,0.431786,no+k8shpa
47,48,2023-04-04 12:35:55.307103,2023-04-04 12:35:55.691631,0.312,0.011,0.010,0.033,0.384528,0.366,0.01852799999999999,no+k8shpa
48,49,2023-04-04 12:35:56.297282,2023-04-04 12:35:56.786510,0.398,0.011,0.010,0.033,0.489228,0.45200000000000007,0.03722799999999993,no+k8shpa
49,50,2023-04-04 12:35:57.301018,2023-04-04 12:35:57.686370,0.323,0.011,0.011,0.025,0.385352,0.37000000000000005,0.015351999999999921,no+k8shpa
50,51,2023-04-04 12:35:58.303190,2023-04-04 12:35:58.773949,0.305,0.011,0.008,0.031,0.470759,0.355,0.115759,no+k8shpa
51,52,2023-04-04 12:35:59.306547,2023-04-04 12:35:59.750745,0.415,0.010,0.011,0.034,0.444198,0.47,-0.02580199999999999,no+k8shpa
52,53,2023-04-04 12:36:00.309057,2023-04-04 12:36:00.684388,0.314,0.011,0.010,0.026,0.375331,0.36100000000000004,0.014330999999999983,no+k8shpa
53,54,2023-04-04 12:36:01.313262,2023-04-04 12:36:01.799895,0.315,0.011,0.011,0.032,0.486633,0.369,0.11763299999999999,no+k8shpa
54,55,2023-04-04 12:36:02.315925,2023-04-04 12:36:02.745796,0.316,0.008,0.010,0.029,0.429871,0.36300000000000004,0.06687099999999996,no+k8shpa
55,56,2023-04-04 12:36:03.315625,2023-04-04 12:36:03.706433,0.314,0.010,0.007,0.033,0.390808,0.364,0.026808,no+k8shpa
56,57,2023-04-04 12:36:04.320897,2023-04-04 12:36:04.702959,0.306,0.010,0.009,0.027,0.382062,0.35200000000000004,0.030061999999999978,no+k8shpa
57,58,2023-04-04 12:36:05.324551,2023-04-04 12:36:05.756940,0.311,0.012,0.011,0.030,0.432389,0.364,0.06838900000000003,no+k8shpa
58,59,2023-04-04 12:36:06.327630,2023-04-04 12:36:06.706567,0.365,0.008,0.007,0.034,0.378937,0.41400000000000003,-0.03506300000000001,no+k8shpa
59,60,2023-04-04 12:36:07.327863,2023-04-04 12:36:07.705930,0.949,0.011,0.008,0.026,0.378067,0.994,-0.6159330000000001,no+k8shpa
60,63,2023-04-04 12:36:08.329564,2023-04-04 12:36:08.789129,0.958,0.012,0.009,0.031,0.459565,1.01,-0.550435,no+k8shpa
61,61,2023-04-04 12:36:08.183976,2023-04-04 12:36:09.238372,0.340,0.007,0.007,0.035,1.054396,0.389,0.6653960000000001,no+k8shpa
62,62,2023-04-04 12:36:08.187187,2023-04-04 12:36:09.250450,0.409,0.010,0.006,0.031,1.063263,0.45599999999999996,0.6072630000000001,no+k8shpa
63,65,2023-04-04 12:36:09.190569,2023-04-04 12:36:09.610583,0.577,0.013,0.011,0.028,0.420014,0.629,-0.208986,no+k8shpa
64,64,2023-04-04 12:36:09.187493,2023-04-04 12:36:09.678712,1.103,0.009,0.012,0.028,0.491219,1.152,-0.6607809999999998,no+k8shpa
65,66,2023-04-04 12:36:09.332579,2023-04-04 12:36:09.982480,1.183,0.013,0.017,0.033,0.649901,1.2459999999999998,-0.5960989999999998,no+k8shpa
66,68,2023-04-04 12:36:10.196631,2023-04-04 12:36:11.435475,0.420,0.016,0.008,0.028,1.238844,0.47200000000000003,0.7668440000000001,no+k8shpa
67,67,2023-04-04 12:36:10.194020,2023-04-04 12:36:11.489020,1.427,0.022,0.008,0.026,1.295,1.483,-0.18800000000000017,no+k8shpa
