,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,2,2023-04-04 20:19:53.756130,2023-04-04 20:19:55.223869,2.415,0.009,0.008,0.052,1.467739,2.484,-1.016261,no+rps
1,1,2023-04-04 20:19:52.747839,2023-04-04 20:19:55.288901,0.792,0.008,0.007,0.024,2.541062,0.8310000000000001,1.7100620000000002,no+rps
2,3,2023-04-04 20:19:54.746605,2023-04-04 20:19:55.671409,0.345,0.008,0.013,0.027,0.924804,0.393,0.5318039999999999,no+rps
3,4,2023-04-04 20:19:55.747921,2023-04-04 20:19:56.172788,0.339,0.015,0.011,0.027,0.424867,0.39200000000000007,0.032866999999999924,no+rps
4,5,2023-04-04 20:19:56.750492,2023-04-04 20:19:57.174807,0.372,0.011,0.008,0.041,0.424315,0.432,-0.007684999999999997,no+rps
5,6,2023-04-04 20:19:57.760638,2023-04-04 20:19:58.255454,0.380,0.008,0.010,0.026,0.494816,0.42400000000000004,0.07081599999999993,no+rps
6,7,2023-04-04 20:19:58.760681,2023-04-04 20:19:59.220744,0.408,0.011,0.007,0.027,0.460063,0.453,0.007062999999999986,no+rps
7,8,2023-04-04 20:19:59.761414,2023-04-04 20:20:00.253501,0.312,0.008,0.010,0.025,0.492087,0.35500000000000004,0.13708699999999996,no+rps
8,9,2023-04-04 20:20:00.765532,2023-04-04 20:20:01.208082,0.352,0.010,0.009,0.037,0.44255,0.408,0.034550000000000025,no+rps
9,10,2023-04-04 20:20:01.766617,2023-04-04 20:20:02.199631,0.322,0.010,0.010,0.028,0.433014,0.37000000000000005,0.06301399999999996,no+rps
10,11,2023-04-04 20:20:02.776073,2023-04-04 20:20:03.183194,0.308,0.010,0.010,0.031,0.407121,0.359,0.048121000000000025,no+rps
11,12,2023-04-04 20:20:03.778156,2023-04-04 20:20:04.219754,0.319,0.011,0.012,0.027,0.441598,0.36900000000000005,0.07259799999999994,no+rps
12,13,2023-04-04 20:20:04.777270,2023-04-04 20:20:05.171572,0.307,0.011,0.010,0.030,0.394302,0.358,0.036302,no+rps
13,14,2023-04-04 20:20:05.785978,2023-04-04 20:20:06.168084,0.330,0.009,0.008,0.028,0.382106,0.37500000000000006,0.007105999999999946,no+rps
14,15,2023-04-04 20:20:06.789211,2023-04-04 20:20:07.249904,0.308,0.008,0.009,0.031,0.460693,0.356,0.10469300000000004,no+rps
