,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,25,2023-04-05 09:59:55.326025,2023-04-05 10:00:14.680148,4.963,0.010,0.006,0.055,19.354123,5.034,14.320123000000002,keda+k8shpa
1,30,2023-04-05 09:59:56.323122,2023-04-05 10:00:14.726385,5.014,0.015,0.007,0.034,18.403263,5.069999999999999,13.333262999999999,keda+k8shpa
2,28,2023-04-05 09:59:56.315572,2023-04-05 10:00:14.773310,6.766,0.015,0.009,0.026,18.457738,6.816,11.641738,keda+k8shpa
3,26,2023-04-05 09:59:56.303449,2023-04-05 10:00:14.849038,7.157,0.024,0.009,0.024,18.545589,7.214,11.331589,keda+k8shpa
4,23,2023-04-05 09:59:55.322996,2023-04-05 10:00:16.573008,7.163,0.023,0.007,0.025,21.250012,7.218,14.032012000000002,keda+k8shpa
5,21,2023-04-05 09:59:55.298921,2023-04-05 10:00:16.966953,7.364,0.012,0.007,0.024,21.668032,7.406999999999999,14.261032,keda+k8shpa
6,24,2023-04-05 09:59:55.318532,2023-04-05 10:00:17.036384,3.495,0.009,0.008,0.023,21.717852,3.535,18.182852,keda+k8shpa
7,22,2023-04-05 09:59:55.310189,2023-04-05 10:00:17.172531,9.422,0.017,0.011,0.025,21.862342,9.475,12.387342000000002,keda+k8shpa
8,121,2023-04-05 10:00:15.368187,2023-04-05 10:00:18.967299,9.424,0.021,0.009,0.031,3.599112,9.485000000000001,-5.885888000000001,keda+k8shpa
9,29,2023-04-05 09:59:56.320776,2023-04-05 10:00:19.272977,4.011,0.023,0.007,0.033,22.952201,4.074,18.878200999999997,keda+k8shpa
10,27,2023-04-05 09:59:56.309433,2023-04-05 10:00:19.281440,5.410,0.009,0.013,0.038,22.972007,5.470000000000001,17.502007,keda+k8shpa
11,122,2023-04-05 10:00:15.441265,2023-04-05 10:00:19.575408,5.875,0.009,0.010,0.030,4.134143,5.924,-1.7898570000000005,keda+k8shpa
12,123,2023-04-05 10:00:15.452785,2023-04-05 10:00:20.981588,4.206,0.014,0.010,0.026,5.528803,4.256,1.2728029999999997,keda+k8shpa
13,125,2023-04-05 10:00:15.449957,2023-04-05 10:00:21.446638,4.732,0.018,0.009,0.023,5.996681,4.782,1.2146809999999997,keda+k8shpa
14,131,2023-04-05 10:00:17.369223,2023-04-05 10:00:21.681168,5.593,0.021,0.010,0.025,4.311945,5.649,-1.3370550000000003,keda+k8shpa
15,132,2023-04-05 10:00:17.460854,2023-04-05 10:00:22.278617,6.156,0.009,0.008,0.026,4.817763,6.199,-1.3812369999999996,keda+k8shpa
16,134,2023-04-05 10:00:17.471295,2023-04-05 10:00:23.173687,4.598,0.009,0.014,0.026,5.702392,4.647,1.0553919999999994,keda+k8shpa
17,135,2023-04-05 10:00:17.468534,2023-04-05 10:00:23.713428,4.711,0.011,0.008,0.027,6.244894,4.757000000000001,1.4878939999999998,keda+k8shpa
18,141,2023-04-05 10:00:19.382730,2023-04-05 10:00:24.089164,6.224,0.012,0.010,0.029,4.706434,6.2749999999999995,-1.5685659999999997,keda+k8shpa
19,142,2023-04-05 10:00:19.470867,2023-04-05 10:00:24.279942,6.642,0.016,0.008,0.028,4.809075,6.694,-1.884925,keda+k8shpa
20,144,2023-04-05 10:00:19.478613,2023-04-05 10:00:25.806595,4.977,0.008,0.010,0.030,6.327982,5.025,1.302982,keda+k8shpa
21,145,2023-04-05 10:00:19.482035,2023-04-05 10:00:26.251661,5.108,0.014,0.010,0.025,6.769626,5.157,1.6126259999999997,keda+k8shpa
22,151,2023-04-05 10:00:21.400913,2023-04-05 10:00:26.464615,5.856,0.017,0.007,0.024,5.063702,5.904,-0.8402979999999998,keda+k8shpa
23,152,2023-04-05 10:00:21.499775,2023-04-05 10:00:26.692294,6.007,0.024,0.007,0.035,5.192519,6.0729999999999995,-0.8804809999999996,keda+k8shpa
24,156,2023-04-05 10:00:22.389466,2023-04-05 10:00:28.372422,5.376,0.024,0.011,0.026,5.982956,5.437,0.5459559999999994,keda+k8shpa
