,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,10,2023-04-05 10:24:57.144155,2023-04-05 10:25:08.332345,12.55,0.012,0.009,0.050,11.18819,12.621000000000002,-1.4328100000000017,no+k8shpa
1,6,2023-04-05 10:24:57.108991,2023-04-05 10:25:08.392028,13.76,0.013,0.011,0.047,11.283037,13.831,-2.5479629999999993,no+k8shpa
2,9,2023-04-05 10:24:57.149492,2023-04-05 10:25:08.402214,14.24,0.015,0.011,0.048,11.252722,14.314,-3.0612779999999997,no+k8shpa
3,8,2023-04-05 10:24:57.152358,2023-04-05 10:25:08.443861,14.26,0.015,0.009,0.056,11.291503,14.34,-3.0484969999999993,no+k8shpa
4,7,2023-04-05 10:24:57.134504,2023-04-05 10:25:09.763061,3.576,0.013,0.012,0.061,12.628557,3.662,8.966557000000002,no+k8shpa
5,5,2023-04-05 10:24:56.106845,2023-04-05 10:25:09.977926,15.93,0.010,0.008,0.062,13.871081,16.009999999999998,-2.138918999999998,no+k8shpa
6,5,2023-04-05 10:24:56.129128,2023-04-05 10:25:10.447226,4.188,0.014,0.010,0.048,14.318098,4.26,10.058098000000001,no+k8shpa
7,5,2023-04-05 10:24:56.121204,2023-04-05 10:25:10.500946,4.265,0.016,0.007,0.035,14.379742,4.3229999999999995,10.056742,no+k8shpa
8,11,2023-04-05 10:24:58.108925,2023-04-05 10:25:12.044160,6.137,0.019,0.011,0.096,13.935235,6.263,7.672235000000001,no+k8shpa
9,5,2023-04-05 10:24:56.134741,2023-04-05 10:25:12.186517,6.291,0.012,0.008,0.093,16.051776,6.404,9.647776,no+k8shpa
10,12,2023-04-05 10:24:58.139036,2023-04-05 10:25:12.673449,4.687,0.011,0.009,0.052,14.534413,4.759,9.775413,no+k8shpa
11,14,2023-04-05 10:24:58.152726,2023-04-05 10:25:12.727388,4.747,0.013,0.009,0.042,14.574662,4.811,9.763662,no+k8shpa
12,15,2023-04-05 10:24:58.145269,2023-04-05 10:25:14.601027,5.816,0.017,0.009,0.051,16.455758,5.893000000000001,10.562757999999999,no+k8shpa
13,13,2023-04-05 10:24:58.149005,2023-04-05 10:25:14.778095,4.855,0.015,0.007,0.044,16.62909,4.920999999999999,11.708090000000002,no+k8shpa
14,71,2023-04-05 10:25:10.181869,2023-04-05 10:25:14.937349,4.911,0.009,0.009,0.051,4.75548,4.98,-0.22452000000000005,no+k8shpa
15,74,2023-04-05 10:25:10.225226,2023-04-05 10:25:15.032610,5.978,0.013,0.008,0.039,4.807384,6.037999999999999,-1.2306159999999995,no+k8shpa
16,76,2023-04-05 10:25:11.147771,2023-04-05 10:25:17.062950,3.941,0.013,0.012,0.059,5.915179,4.0249999999999995,1.8901790000000007,no+k8shpa
17,81,2023-04-05 10:25:12.154838,2023-04-05 10:25:17.086581,6.116,0.018,0.008,0.061,4.931743,6.202999999999999,-1.2712569999999994,no+k8shpa
18,82,2023-04-05 10:25:12.244103,2023-04-05 10:25:17.229008,6.015,0.020,0.010,0.071,4.984905,6.115999999999999,-1.1310949999999984,no+k8shpa
19,77,2023-04-05 10:25:11.233683,2023-04-05 10:25:17.312227,4.351,0.011,0.010,0.055,6.078544,4.427,1.6515440000000003,no+k8shpa
20,99,2023-04-05 10:25:15.268195,2023-04-05 10:25:19.286961,5.764,0.008,0.014,0.063,4.018766,5.849,-1.830234,no+k8shpa
21,86,2023-04-05 10:25:13.152533,2023-04-05 10:25:19.372151,4.339,0.013,0.009,0.061,6.219618,4.422000000000001,1.797617999999999,no+k8shpa
22,88,2023-04-05 10:25:13.261658,2023-04-05 10:25:19.383066,6.352,0.016,0.008,0.043,6.121408,6.4190000000000005,-0.29759200000000074,no+k8shpa
23,96,2023-04-05 10:25:15.163410,2023-04-05 10:25:19.586504,4.572,0.018,0.010,0.056,4.423094,4.656,-0.23290599999999984,no+k8shpa
24,97,2023-04-05 10:25:15.263415,2023-04-05 10:25:21.108549,6.172,0.008,0.011,0.072,5.845134,6.263,-0.41786600000000007,no+k8shpa
25,106,2023-04-05 10:25:17.171540,2023-04-05 10:25:21.608803,6.580,0.019,0.011,0.169,4.437263,6.779,-2.341737,no+k8shpa
26,98,2023-04-05 10:25:15.276318,2023-04-05 10:25:21.738000,4.746,0.018,0.010,0.135,6.461682,4.909,1.552682,no+k8shpa
27,107,2023-04-05 10:25:17.283276,2023-04-05 10:25:21.931765,4.797,0.022,0.007,0.163,4.648489,4.989,-0.34051100000000023,no+k8shpa
28,108,2023-04-05 10:25:17.289405,2023-04-05 10:25:23.560437,6.415,0.032,0.008,0.051,6.271032,6.506,-0.2349680000000003,no+k8shpa
29,110,2023-04-05 10:25:17.292601,2023-04-05 10:25:24.003484,5.900,0.011,0.009,0.047,6.710883,5.9670000000000005,0.7438829999999994,no+k8shpa
30,117,2023-04-05 10:25:19.297884,2023-04-05 10:25:24.135340,4.978,0.008,0.008,0.046,4.837456,5.04,-0.2025439999999996,no+k8shpa
31,119,2023-04-05 10:25:19.310264,2023-04-05 10:25:24.201568,4.419,0.010,0.007,0.049,4.891304,4.484999999999999,0.40630400000000044,no+k8shpa
32,118,2023-04-05 10:25:19.307446,2023-04-05 10:25:25.803351,5.490,0.012,0.012,0.043,6.495905,5.5569999999999995,0.9389050000000001,no+k8shpa
