,user_id,intime,outtime,pyodforest,preprocess,tagdata,storedata,TPT,FET,Queue time,scenario
0,5,2023-04-05 11:35:07.196466,2023-04-05 11:35:10.692199,5.668,0.025,0.010,0.034,3.495733,5.737,-2.241267,no+keda
1,5,2023-04-05 11:35:07.199675,2023-04-05 11:35:10.711151,4.808,0.024,0.008,0.030,3.511476,4.87,-1.358524,no+keda
2,5,2023-04-05 11:35:07.192252,2023-04-05 11:35:10.883137,4.326,0.027,0.009,0.025,3.690885,4.3870000000000005,-0.6961150000000003,no+keda
3,5,2023-04-05 11:35:07.187147,2023-04-05 11:35:10.936054,6.035,0.016,0.014,0.026,3.748907,6.091,-2.342093,no+keda
4,47,2023-04-05 11:35:16.229421,2023-04-05 11:35:22.236226,5.230,0.025,0.008,0.030,6.006805,5.293000000000001,0.7138049999999989,no+keda
5,58,2023-04-05 11:35:18.255809,2023-04-05 11:35:23.157089,6.305,0.026,0.007,0.031,4.90128,6.368999999999999,-1.467719999999999,no+keda
6,57,2023-04-05 11:35:18.265952,2023-04-05 11:35:24.023318,5.987,0.033,0.011,0.027,5.757366,6.058000000000001,-0.3006340000000005,no+keda
7,60,2023-04-05 11:35:18.262766,2023-04-05 11:35:24.147666,4.681,0.035,0.009,0.030,5.8849,4.755000000000001,1.1298999999999992,no+keda
8,66,2023-04-05 11:35:20.240988,2023-04-05 11:35:24.488327,6.224,0.013,0.010,0.272,4.247339,6.519,-2.271661,no+keda
9,67,2023-04-05 11:35:20.245439,2023-04-05 11:35:25.907710,7.260,0.008,0.008,0.030,5.662271,7.306,-1.6437290000000004,no+keda
10,68,2023-04-05 11:35:20.274184,2023-04-05 11:35:26.047653,7.172,0.015,0.016,0.038,5.773469,7.241,-1.4675309999999993,no+keda
11,72,2023-04-05 11:35:21.272072,2023-04-05 11:35:26.191873,7.472,0.018,0.015,0.023,4.919801,7.528,-2.608199,no+keda
12,76,2023-04-05 11:35:22.257584,2023-04-05 11:35:26.704173,5.592,0.020,0.014,0.039,4.446589,5.664999999999999,-1.2184109999999988,no+keda
13,77,2023-04-05 11:35:22.267119,2023-04-05 11:35:28.452109,1.657,0.015,0.010,0.034,6.18499,1.716,4.46899,no+keda
14,82,2023-04-05 11:35:23.261054,2023-04-05 11:35:28.606175,6.866,0.034,0.008,0.029,5.345121,6.936999999999999,-1.5918789999999996,no+keda
15,78,2023-04-05 11:35:22.271593,2023-04-05 11:35:28.674276,2.809,0.027,0.013,0.024,6.402683,2.873,3.5296829999999995,no+keda
16,86,2023-04-05 11:35:24.264670,2023-04-05 11:35:30.339373,1.728,0.040,0.012,0.032,6.074703,1.812,4.262703,no+keda
