,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,146,2023-03-29 10:11:18.407939,2023-03-29 10:12:07.216,13.4,15.54,0.094,0.014,48.808061,29.048,19.760061000000004,keda+keda
1,147,2023-03-29 10:11:18.523003,2023-03-29 10:12:07.063,13.5,0.102,0.427,0.055,48.539997,14.084,34.455996999999996,keda+keda
2,148,2023-03-29 10:11:18.524470,2023-03-29 10:12:06.945,13.8,0.064,0.273,0.014,48.42053,14.151,34.26953,keda+keda
3,149,2023-03-29 10:11:19.411615,2023-03-29 10:12:08.134,13.7,0.060,0.380,0.006,48.722385,14.146,34.576385,keda+keda
4,150,2023-03-29 10:11:19.527674,2023-03-29 10:12:08.777,14.8,0.134,0.059,0.014,49.249326,15.007,34.242326000000006,keda+keda
5,151,2023-03-29 10:11:19.529145,2023-03-29 10:12:09.068,14.9,0.213,0.080,0.014,49.538855,15.206999999999999,34.331855,keda+keda
6,152,2023-03-29 10:11:20.415257,2023-03-29 10:12:08.252,15.1,0.079,0.082,0.007,47.836743,15.268,32.568743,keda+keda
7,153,2023-03-29 10:11:20.532255,2023-03-29 10:12:07.353,15.3,0.074,0.059,0.010,46.820745,15.443,31.377745000000004,keda+keda
8,154,2023-03-29 10:11:20.533870,2023-03-29 10:12:08.023,15.3,0.146,0.039,0.009,47.48913,15.494000000000002,31.995130000000003,keda+keda
9,155,2023-03-29 10:11:21.419106,2023-03-29 10:12:08.965,15.6,0.072,0.072,0.070,47.545894,15.813999999999998,31.731893999999997,keda+keda
10,156,2023-03-29 10:11:21.537184,2023-03-29 10:12:08.554,15.7,0.074,0.141,0.038,47.016816,15.953,31.063816,keda+keda
11,157,2023-03-29 10:11:21.538708,2023-03-29 10:12:08.876,15.7,0.091,0.138,0.013,47.337292,15.941999999999998,31.395291999999998,keda+keda
12,158,2023-03-29 10:11:22.422326,2023-03-29 10:12:07.517,15.8,0.049,0.077,0.017,45.094674,15.943,29.151674,keda+keda
13,159,2023-03-29 10:11:22.541239,2023-03-29 10:12:08.645,16.1,0.057,0.442,0.034,46.103761,16.633,29.470761,keda+keda
14,160,2023-03-29 10:11:22.542868,2023-03-29 10:12:08.446,16.1,0.049,0.078,0.019,45.903132,16.246,29.657132,keda+keda
15,161,2023-03-29 10:11:23.426071,2023-03-29 10:12:09.575,18.4,0.055,0.236,0.022,46.148929,18.712999999999997,27.435929000000005,keda+keda
16,162,2023-03-29 10:11:23.546066,2023-03-29 10:12:07.662,11.6,0.036,0.209,0.029,44.115934,11.873999999999999,32.241934,keda+keda
17,163,2023-03-29 10:11:23.547540,2023-03-29 10:12:09.133,11.3,0.037,0.075,0.029,45.58546,11.441,34.144459999999995,keda+keda
18,164,2023-03-29 10:11:24.429688,2023-03-29 10:12:11.984,11.8,0.039,0.065,0.010,47.554312,11.914,35.640312,keda+keda
19,165,2023-03-29 10:11:24.550652,2023-03-29 10:12:11.528,26.3,0.054,0.096,0.015,46.977348,26.465,20.512348,keda+keda
20,168,2023-03-29 10:11:25.555207,2023-03-29 10:12:10.076,12.9,0.056,0.609,0.037,44.520793,13.602,30.918792999999997,keda+keda
21,169,2023-03-29 10:11:25.556756,2023-03-29 10:12:09.203,13.0,0.042,0.307,0.065,43.646244,13.414,30.232244,keda+keda
22,171,2023-03-29 10:11:26.560248,2023-03-29 10:12:09.962,12.6,0.055,0.207,0.057,43.401752,12.919,30.482752,keda+keda
23,172,2023-03-29 10:11:26.561812,2023-03-29 10:12:11.336,26.7,0.040,0.209,0.034,44.774188,26.982999999999997,17.791188000000005,keda+keda
24,173,2023-03-29 10:11:27.439928,2023-03-29 10:12:10.845,26.8,0.035,0.321,0.011,43.405072,27.167,16.238071999999995,keda+keda
25,174,2023-03-29 10:11:27.565306,2023-03-29 10:12:11.265,12.5,0.055,0.418,0.009,43.699694,12.982,30.717694,keda+keda
26,175,2023-03-29 10:11:28.336802,2023-03-29 10:12:12.307,14.0,0.090,0.101,0.019,43.970198,14.21,29.760198000000003,keda+keda
27,176,2023-03-29 10:11:28.444884,2023-03-29 10:12:10.311,12.2,0.040,0.502,0.018,41.866116,12.76,29.106116,keda+keda
28,177,2023-03-29 10:11:28.568716,2023-03-29 10:12:12.132,12.9,0.047,0.114,0.014,43.563284,13.075000000000001,30.488284,keda+keda
29,178,2023-03-29 10:11:29.340330,2023-03-29 10:12:16.200,12.6,0.055,0.058,0.008,46.85967,12.720999999999998,34.138670000000005,keda+keda
30,179,2023-03-29 10:11:29.448360,2023-03-29 10:12:12.225,12.9,0.044,0.184,0.017,42.77664,13.145,29.63164,keda+keda
31,180,2023-03-29 10:11:29.572205,2023-03-29 10:12:11.418,12.8,0.032,0.153,0.009,41.845795,12.994000000000002,28.851795000000003,keda+keda
32,181,2023-03-29 10:11:30.344016,2023-03-29 10:12:11.772,15.6,0.041,0.380,0.012,41.427984,16.033,25.394984,keda+keda
33,182,2023-03-29 10:11:30.452051,2023-03-29 10:12:14.729,13.8,0.046,0.143,0.017,44.276949,14.006,30.270949,keda+keda
34,183,2023-03-29 10:11:30.575898,2023-03-29 10:12:09.674,13.9,0.034,0.490,0.039,39.098102,14.463000000000001,24.635101999999996,keda+keda
35,184,2023-03-29 10:11:31.347693,2023-03-29 10:12:16.379,13.8,0.036,0.142,0.011,45.031307,13.988999999999999,31.042307,keda+keda
