,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,1,2023-03-28 16:42:25.261094,2023-03-28 16:42:46.790,2.93,0.044,0.036,0.007,21.528906,3.0170000000000003,18.511906,keda+k8shpa
1,2,2023-03-28 16:42:26.263462,2023-03-28 16:42:43.591,2.78,0.055,0.068,0.010,17.327538,2.913,14.414538,keda+k8shpa
2,3,2023-03-28 16:42:27.266547,2023-03-28 16:42:43.489,3.13,0.069,0.039,0.009,16.222453,3.247,12.975453000000002,keda+k8shpa
3,4,2023-03-28 16:42:28.269507,2023-03-28 16:42:47.129,3.16,0.066,0.122,0.007,18.859493,3.355,15.504493,keda+k8shpa
4,5,2023-03-28 16:42:29.272619,2023-03-28 16:42:47.024,3.10,0.046,0.038,0.007,17.751381,3.191,14.560381,keda+k8shpa
5,6,2023-03-28 16:42:30.276345,2023-03-28 16:42:43.963,6.14,0.046,0.055,0.009,13.686655,6.25,7.436655,keda+k8shpa
6,7,2023-03-28 16:42:31.279377,2023-03-28 16:42:43.853,6.24,0.044,0.037,0.006,12.573623,6.327,6.246623,keda+k8shpa
7,8,2023-03-28 16:42:32.282411,2023-03-28 16:42:47.634,6.36,0.050,0.103,0.008,15.351589,6.521,8.830589,keda+k8shpa
8,9,2023-03-28 16:42:33.285319,2023-03-28 16:42:44.204,3.51,0.043,0.041,0.018,10.918681,3.6119999999999997,7.306680999999999,keda+k8shpa
9,10,2023-03-28 16:42:34.288283,2023-03-28 16:42:49.681,3.22,0.044,0.058,0.011,15.392717,3.333,12.059717,keda+k8shpa
10,11,2023-03-28 16:42:35.292025,2023-03-28 16:42:57.147,6.50,0.074,0.038,0.009,21.854975,6.621,15.233975,keda+k8shpa
11,12,2023-03-28 16:42:36.295163,2023-03-28 16:42:46.689,4.13,0.056,0.064,0.007,10.393837,4.257,6.136837,keda+k8shpa
12,13,2023-03-28 16:42:37.298247,2023-03-28 16:42:47.407,6.00,0.097,0.037,0.007,10.108753,6.141,3.967753,keda+k8shpa
13,14,2023-03-28 16:42:38.301178,2023-03-28 16:42:53.578,6.48,0.033,0.071,0.008,15.276822,6.5920000000000005,8.684821999999999,keda+k8shpa
14,15,2023-03-28 16:42:39.304186,2023-03-28 16:42:50.374,6.41,0.047,0.039,0.009,11.069814,6.505,4.564813999999999,keda+k8shpa
15,16,2023-03-28 16:42:40.307792,2023-03-28 16:42:53.639,3.71,0.041,0.099,0.010,13.331208,3.86,9.471208,keda+k8shpa
16,17,2023-03-28 16:42:41.311046,2023-03-28 16:42:53.746,3.21,0.037,0.035,0.009,12.434954,3.291,9.143953999999999,keda+k8shpa
17,18,2023-03-28 16:42:42.314146,2023-03-28 16:42:50.448,4.35,0.063,0.241,0.009,8.133854,4.662999999999999,3.470854,keda+k8shpa
18,19,2023-03-28 16:42:43.317070,2023-03-28 16:42:47.528,2.86,0.035,0.033,0.009,4.21093,2.937,1.2739300000000005,keda+k8shpa
