,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,1,2023-03-28 17:10:05.664088,2023-03-28 17:10:39.344,9.74,0.040,0.179,0.011,33.679912,9.969999999999999,23.709912000000003,no+rps
1,7,2023-03-28 17:10:11.682608,2023-03-28 17:10:39.289,9.75,15.37,0.090,0.009,27.606392,25.218999999999998,2.387392000000002,no+rps
2,8,2023-03-28 17:10:12.685666,2023-03-28 17:10:39.228,13.5,0.033,0.034,0.010,26.542334,13.577,12.965334,no+rps
3,9,2023-03-28 17:10:13.688747,2023-03-28 17:10:39.397,13.4,0.034,0.276,0.008,25.708253,13.718,11.990253,no+rps
4,10,2023-03-28 17:10:14.691814,2023-03-28 17:10:39.502,14.4,0.035,0.070,0.011,24.810186,14.516,10.294186000000002,no+rps
5,11,2023-03-28 17:10:15.695428,2023-03-28 17:10:39.560,14.4,0.030,0.187,0.010,23.864572,14.626999999999999,9.237572,no+rps
6,12,2023-03-28 17:10:16.698534,2023-03-28 17:10:52.341,26.6,0.034,0.112,0.010,35.642466,26.756,8.886465999999999,no+rps
7,13,2023-03-28 17:10:17.701589,2023-03-28 17:10:39.452,25.8,0.035,0.092,0.010,21.750411,25.937,-4.1865890000000014,no+rps
8,14,2023-03-28 17:10:18.704587,2023-03-28 17:10:51.268,26.1,0.037,0.042,0.010,32.563413,26.189000000000004,6.3744129999999934,no+rps
9,15,2023-03-28 17:10:19.707731,2023-03-28 17:10:51.980,27.6,0.041,0.141,0.010,32.272269,27.792,4.480269,no+rps
10,16,2023-03-28 17:10:20.711378,2023-03-28 17:11:04.996,26.0,0.036,0.046,0.009,44.284622,26.091,18.193621999999998,no+rps
11,17,2023-03-28 17:10:21.714560,2023-03-28 17:10:52.261,38.8,0.041,0.032,0.015,30.54644,38.88799999999999,-8.34155999999999,no+rps
12,18,2023-03-28 17:10:22.717574,2023-03-28 17:11:05.751,27.5,0.043,0.060,0.016,43.033426,27.618999999999996,15.414426000000002,no+rps
13,33,2023-03-28 17:10:37.767616,2023-03-28 17:11:05.616,37.8,0.038,0.103,0.014,27.848384,37.955,-10.106615999999999,no+rps
14,34,2023-03-28 17:10:38.770828,2023-03-28 17:11:04.937,38.6,0.044,0.054,0.010,26.166172,38.708,-12.541827999999999,no+rps
15,35,2023-03-28 17:10:39.773816,2023-03-28 17:11:18.547,38.3,0.038,0.201,0.008,38.773184,38.547,0.2261840000000035,no+rps
16,36,2023-03-28 17:10:40.777597,2023-03-28 17:11:19.513,26.5,0.938,0.052,0.009,38.735403,27.499,11.236403,no+rps
17,47,2023-03-28 17:10:51.813002,2023-03-28 17:11:19.635,27.5,0.041,0.084,0.010,27.821998,27.635,0.1869979999999991,no+rps
18,48,2023-03-28 17:10:52.816117,2023-03-28 17:11:19.573,38.5,0.034,0.112,0.009,26.756883,38.655,-11.898117000000003,no+rps
19,49,2023-03-28 17:10:53.819179,2023-03-28 17:11:32.455,27.2,0.036,0.194,0.009,38.635821,27.439,11.196821,no+rps
20,50,2023-03-28 17:10:54.822282,2023-03-28 17:11:33.514,28.4,0.034,0.040,0.013,38.691718,28.487,10.204718000000003,no+rps
21,60,2023-03-28 17:11:04.854171,2023-03-28 17:11:33.437,38.5,0.038,0.081,0.014,28.582829,38.633,-10.050171000000002,no+rps
22,61,2023-03-28 17:11:05.857688,2023-03-28 17:11:33.235,4.31,0.057,0.044,0.010,27.377312,4.420999999999999,22.956312,no+rps
23,62,2023-03-28 17:11:06.862210,2023-03-28 17:11:45.960,4.84,0.048,0.429,0.009,39.09779,5.3260000000000005,33.77179,no+rps
24,63,2023-03-28 17:11:07.865235,2023-03-28 17:11:46.389,38.9,0.053,0.068,0.008,38.523765,39.028999999999996,-0.505234999999999,no+rps
25,74,2023-03-28 17:11:18.900607,2023-03-28 17:11:46.125,27.1,0.046,1.417,0.010,27.224393,28.573000000000004,-1.3486070000000048,no+rps
26,75,2023-03-28 17:11:19.903656,2023-03-28 17:11:46.750,38.3,0.036,0.046,0.009,26.846344,38.391,-11.544656,no+rps
27,76,2023-03-28 17:11:20.907380,2023-03-28 17:12:00.765,26.7,0.036,0.067,0.014,39.85762,26.817,13.040619999999997,no+rps
28,77,2023-03-28 17:11:21.910615,2023-03-28 17:11:59.770,5.47,0.053,0.035,0.009,37.859385,5.567,32.292385,no+rps
29,88,2023-03-28 17:11:32.945894,2023-03-28 17:12:00.561,10.4,0.043,0.107,0.012,27.615106,10.562,17.053106,no+rps
30,89,2023-03-28 17:11:33.948840,2023-03-28 17:12:00.668,8.80,0.040,0.041,0.012,26.71916,8.893,17.826159999999998,no+rps
31,90,2023-03-28 17:11:34.951937,2023-03-28 17:12:13.674,7.97,0.047,0.059,0.010,38.722063,8.085999999999999,30.636063,no+rps
32,91,2023-03-28 17:11:35.955658,2023-03-28 17:12:13.785,10.4,0.071,0.040,0.008,37.829342,10.518999999999998,27.310342,no+rps
33,94,2023-03-28 17:11:38.966556,2023-03-28 17:11:43.379,9.95,0.039,0.044,0.010,4.412444,10.043,-5.6305559999999995,no+rps
34,95,2023-03-28 17:11:39.969614,2023-03-28 17:11:44.914,37.7,0.043,0.181,0.011,4.944386,37.935,-32.990614,no+rps
35,96,2023-03-28 17:11:40.973147,2023-03-28 17:11:51.563,12.2,0.042,0.205,0.008,10.589853,12.454999999999998,-1.8651469999999986,no+rps
36,98,2023-03-28 17:11:42.979402,2023-03-28 17:11:51.893,27.5,0.039,0.042,0.011,8.913598,27.592000000000002,-18.678402000000002,no+rps
