,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,8,2023-03-28 19:46:23.357290,2023-03-28 19:47:28.066,38.2,0.066,0.047,0.008,4.70871,38.321000000000005,-33.61229,keda+rps
1,8,2023-03-28 19:46:23.365884,2023-03-28 19:47:28.066,28.2,0.049,0.068,0.008,4.700116,28.325,-23.624883999999998,keda+rps
2,8,2023-03-28 19:46:23.370446,2023-03-28 19:47:28.066,28.1,0.060,0.045,0.009,4.695554,28.214000000000002,-23.518446000000004,keda+rps
3,8,2023-03-28 19:46:23.372329,2023-03-28 19:47:28.066,38.9,0.046,0.054,0.010,4.693671,39.01,-34.316328999999996,keda+rps
4,8,2023-03-28 19:46:23.373587,2023-03-28 19:47:28.066,0.00,0.064,0.104,0.006,4.692413,0.174,4.518413,keda+rps
5,8,2023-03-28 19:46:23.382344,2023-03-28 19:47:28.066,39.9,0.038,0.064,0.008,4.683656,40.01,-35.326344,keda+rps
6,8,2023-03-28 19:46:23.384616,2023-03-28 19:47:28.066,26.0,0.040,0.037,0.009,4.681384,26.086,-21.404615999999997,keda+rps
7,8,2023-03-28 19:46:23.386843,2023-03-28 19:47:28.066,40.0,0.044,0.086,0.012,4.679157,40.141999999999996,-35.46284299999999,keda+rps
8,9,2023-03-28 19:46:24.365637,2023-03-28 19:47:15.440,26.9,0.045,0.086,0.009,51.074363,27.04,24.034363,keda+rps
9,10,2023-03-28 19:46:24.372380,2023-03-28 19:47:29.287,38.8,0.046,0.108,0.007,4.91462,38.96099999999999,-34.04637999999999,keda+rps
10,277,2023-03-28 19:47:00.517911,2023-03-28 19:47:29.006,39.3,0.056,0.150,0.009,28.488089,39.51499999999999,-11.026910999999995,keda+rps
11,278,2023-03-28 19:47:00.519517,2023-03-28 19:47:29.179,26.2,0.042,0.303,0.007,28.659483,26.552000000000003,2.1074829999999984,keda+rps
12,287,2023-03-28 19:47:01.661840,2023-03-28 19:47:41.716,27.0,0.043,0.192,0.009,40.05416,27.244,12.810160000000003,keda+rps
13,291,2023-03-28 19:47:02.526613,2023-03-28 19:47:42.692,0.02,0.042,0.468,0.007,40.165387,0.537,39.628387000000004,keda+rps
14,382,2023-03-28 19:47:15.594646,2023-03-28 19:47:41.805,38.3,0.041,0.039,0.008,26.210354,38.388,-12.177646,keda+rps
15,383,2023-03-28 19:47:15.596148,2023-03-28 19:47:42.794,38.4,0.042,0.117,0.007,27.197852,38.565999999999995,-11.368147999999994,keda+rps
16,384,2023-03-28 19:47:15.637310,2023-03-28 19:47:54.678,26.4,0.039,0.050,0.007,39.04069,26.496000000000002,12.544689999999996,keda+rps
17,385,2023-03-28 19:47:15.762079,2023-03-28 19:47:55.192,26.6,0.042,0.097,0.012,39.429921,26.751000000000005,12.678920999999995,keda+rps
18,452,2023-03-28 19:47:28.845858,2023-03-28 19:47:55.394,38.5,0.041,0.104,0.009,26.548142,38.653999999999996,-12.105857999999998,keda+rps
19,453,2023-03-28 19:47:28.847481,2023-03-28 19:47:56.024,38.8,0.046,0.371,0.007,27.176519,39.224,-12.047480999999998,keda+rps
20,454,2023-03-28 19:47:29.852459,2023-03-28 19:48:08.453,26.8,0.048,0.576,0.007,38.600541,27.431,11.169540999999999,keda+rps
21,455,2023-03-28 19:47:29.854118,2023-03-28 19:48:08.382,26.3,0.035,0.605,0.006,38.527882,26.946,11.581881999999997,keda+rps
22,478,2023-03-28 19:47:41.918356,2023-03-28 19:48:08.714,26.6,0.042,0.050,0.007,26.795644,26.699000000000005,0.09664399999999418,keda+rps
23,479,2023-03-28 19:47:41.919862,2023-03-28 19:48:08.565,38.9,0.039,0.059,0.008,26.645138,39.006,-12.360862000000001,keda+rps
24,480,2023-03-28 19:47:42.923171,2023-03-28 19:48:21.937,25.9,0.040,0.116,0.009,39.013829,26.064999999999998,12.948829000000003,keda+rps
25,481,2023-03-28 19:47:42.924672,2023-03-28 19:48:21.596,27.0,0.036,0.125,0.007,38.671328,27.168000000000003,11.503328,keda+rps
26,504,2023-03-28 19:47:54.987572,2023-03-28 19:48:22.012,27.6,0.050,0.229,0.009,27.024428,27.888,-0.8635720000000013,keda+rps
27,507,2023-03-28 19:47:55.994111,2023-03-28 19:48:22.489,27.2,0.051,0.071,0.009,26.494889,27.331,-0.8361109999999989,keda+rps
28,508,2023-03-28 19:47:56.997363,2023-03-28 19:48:36.100,27.6,0.040,0.052,0.010,39.102637,27.702,11.400637,keda+rps
