,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,8,2023-03-28 19:17:44.239393,2023-03-28 19:18:21.403,28.7,0.042,1.600,0.007,37.163607,30.349000000000004,6.814606999999995,no+rps
1,8,2023-03-28 19:17:44.240883,2023-03-28 19:18:21.403,38.8,0.040,1.990,0.065,37.162117,40.894999999999996,-3.732882999999994,no+rps
2,8,2023-03-28 19:17:44.242236,2023-03-28 19:18:21.403,26.7,0.043,1.126,0.006,37.160764,27.875,9.285764,no+rps
3,8,2023-03-28 19:17:44.244162,2023-03-28 19:18:21.403,39.7,0.180,1.122,0.006,37.158838,41.008,-3.8491619999999998,no+rps
4,8,2023-03-28 19:17:44.245365,2023-03-28 19:18:21.403,26.8,0.074,0.694,0.006,37.157635,27.574,9.583634999999997,no+rps
5,8,2023-03-28 19:17:44.246633,2023-03-28 19:18:21.403,40.1,0.046,0.197,0.008,37.156367,40.351000000000006,-3.194633000000003,no+rps
6,8,2023-03-28 19:17:44.249186,2023-03-28 19:18:21.403,27.4,0.042,0.887,0.006,37.153814,28.335,8.818813999999996,no+rps
7,8,2023-03-28 19:17:44.250515,2023-03-28 19:18:21.403,40.7,0.055,2.316,0.007,37.152485,43.078,-5.925515000000004,no+rps
8,9,2023-03-28 19:17:45.248606,2023-03-28 19:18:21.730,27.8,0.057,0.647,0.007,36.481394,28.511,7.970394000000002,no+rps
9,10,2023-03-28 19:17:45.250292,2023-03-28 19:18:21.656,7.87,0.073,0.338,0.006,36.405708,8.287,28.118707999999998,no+rps
10,11,2023-03-28 19:17:45.251611,2023-03-28 19:18:34.464,7.65,0.038,0.608,0.006,49.212389,8.302000000000001,40.910389,no+rps
11,12,2023-03-28 19:17:45.254639,2023-03-28 19:18:21.515,10.0,0.040,1.660,0.006,36.260361,11.706,24.554361000000004,no+rps
12,13,2023-03-28 19:17:45.256035,2023-03-28 19:18:34.811,11.8,0.054,0.196,0.007,49.554965,12.057,37.497965,no+rps
13,15,2023-03-28 19:17:45.258353,2023-03-28 19:18:35.711,12.0,0.042,0.172,0.008,50.452647,12.222,38.230647,no+rps
14,100,2023-03-28 19:17:56.324919,2023-03-28 19:18:35.592,12.6,0.040,0.169,0.006,39.267081,12.815,26.452081,no+rps
15,130,2023-03-28 19:18:00.328033,2023-03-28 19:18:48.489,12.6,0.055,0.171,0.007,48.160967,12.832999999999998,35.327967,no+rps
16,132,2023-03-28 19:18:00.341695,2023-03-28 19:18:47.419,40.3,0.064,1.685,0.012,47.077305,42.061,5.016305000000003,no+rps
17,277,2023-03-28 19:18:21.459712,2023-03-28 19:18:48.601,40.5,0.042,0.128,0.006,27.141288,40.676,-13.534712000000003,no+rps
