,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,1,2023-03-30 11:29:54.964107,2023-03-30 11:30:03.108,23.6,0.043,0.077,0.007,8.143893,23.727000000000004,-15.583107000000004,no+rps
1,2,2023-03-30 11:29:55.966641,2023-03-30 11:30:03.420,13.8,0.041,0.036,0.016,7.453359,13.893,-6.439641000000001,no+rps
2,3,2023-03-30 11:29:56.969855,2023-03-30 11:30:05.006,14.0,0.038,0.078,0.015,8.036145,14.131,-6.094855000000001,no+rps
3,9,2023-03-30 11:30:02.992325,2023-03-30 11:30:17.516,14.0,0.284,0.036,0.022,14.523675,14.342,0.18167500000000025,no+rps
4,10,2023-03-30 11:30:03.995517,2023-03-30 11:30:18.173,3.16,0.168,0.040,0.045,14.177483,3.4130000000000003,10.764483,no+rps
5,11,2023-03-30 11:30:04.998440,2023-03-30 11:30:18.946,27.0,0.171,0.059,0.011,13.94756,27.241,-13.29344,no+rps
6,12,2023-03-30 11:30:06.002228,2023-03-30 11:30:19.634,27.1,0.105,0.060,0.018,13.631772,27.283,-13.651228000000001,no+rps
7,13,2023-03-30 11:30:07.005411,2023-03-30 11:30:30.758,27.2,0.245,0.047,0.029,23.752589,27.521,-3.7684110000000004,no+rps
8,14,2023-03-30 11:30:08.008456,2023-03-30 11:30:32.502,27.7,3.400,0.096,0.008,24.493544,31.203999999999997,-6.710455999999997,no+rps
9,16,2023-03-30 11:30:10.015145,2023-03-30 11:30:33.144,39.9,0.703,0.596,0.039,23.128855,41.238,-18.109144999999998,no+rps
10,17,2023-03-30 11:30:11.018318,2023-03-30 11:30:45.044,40.7,0.180,0.060,0.050,34.025682,40.99,-6.964317999999999,no+rps
11,18,2023-03-30 11:30:12.021434,2023-03-30 11:30:45.697,28.4,0.808,0.037,0.009,33.675566,29.253999999999998,4.421566000000006,no+rps
12,19,2023-03-30 11:30:13.024492,2023-03-30 11:30:45.114,27.0,0.196,0.165,0.012,32.089508,27.373,4.716508000000001,no+rps
