,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,2,2023-03-27 21:27:39.936706,2023-03-27 21:27:55.577,6.40,0.046,0.080,0.012,15.640294,6.538,9.102294,keda+k8shpa
1,2,2023-03-27 21:27:39.938313,2023-03-27 21:27:55.577,6.55,0.048,0.085,0.076,15.638687,6.7589999999999995,8.879687,keda+k8shpa
2,3,2023-03-27 21:27:40.940731,2023-03-27 21:27:55.413,3.40,0.064,0.040,0.009,14.472269,3.513,10.959269,keda+k8shpa
3,4,2023-03-27 21:27:40.942383,2023-03-27 21:27:55.946,4.14,0.093,0.048,0.007,15.003617,4.287999999999999,10.715617000000002,keda+k8shpa
4,5,2023-03-27 21:27:41.945722,2023-03-27 21:27:56.703,5.00,0.046,0.191,0.015,14.757278,5.252,9.505278,keda+k8shpa
5,6,2023-03-27 21:27:41.947218,2023-03-27 21:27:57.503,4.78,0.100,0.227,0.017,15.555782,5.1240000000000006,10.431782,keda+k8shpa
6,7,2023-03-27 21:27:42.950420,2023-03-27 21:28:03.014,4.52,0.066,0.038,0.014,20.06358,4.638,15.425580000000002,keda+k8shpa
7,8,2023-03-27 21:27:42.951992,2023-03-27 21:27:58.785,4.52,0.045,0.035,0.016,15.833008,4.616,11.217008,keda+k8shpa
8,10,2023-03-27 21:27:43.960408,2023-03-27 21:28:06.935,4.67,0.067,0.207,0.010,22.974592,4.954,18.020592,keda+k8shpa
9,11,2023-03-27 21:27:44.963331,2023-03-27 21:28:03.288,5.69,0.173,0.321,0.018,18.324669,6.202,12.122669,keda+k8shpa
10,12,2023-03-27 21:27:44.964816,2023-03-27 21:28:02.611,6.82,0.045,0.039,0.013,17.646184,6.917,10.729184000000002,keda+k8shpa
11,14,2023-03-27 21:27:45.969727,2023-03-27 21:28:05.115,5.67,0.085,0.033,0.029,19.145273,5.817,13.328273,keda+k8shpa
12,15,2023-03-27 21:27:46.972901,2023-03-27 21:28:02.450,7.13,0.071,0.089,0.026,15.477099,7.316,8.161099,keda+k8shpa
13,16,2023-03-27 21:27:46.974474,2023-03-27 21:28:00.385,8.91,0.067,0.085,0.024,13.410526,9.086,4.3245260000000005,keda+k8shpa
14,17,2023-03-27 21:27:47.977644,2023-03-27 21:28:08.168,5.21,0.073,0.069,0.007,20.190356,5.359,14.831356000000001,keda+k8shpa
15,19,2023-03-27 21:27:48.984261,2023-03-27 21:28:01.731,7.76,0.057,0.037,0.008,12.746739,7.862,4.884739,keda+k8shpa
16,20,2023-03-27 21:27:48.985839,2023-03-27 21:28:03.384,7.41,0.039,0.096,0.029,14.398161,7.574,6.824161,keda+k8shpa
17,21,2023-03-27 21:27:49.988786,2023-03-27 21:28:00.515,9.46,0.050,0.107,0.015,10.526214,9.632000000000001,0.8942139999999981,keda+k8shpa
18,22,2023-03-27 21:27:49.990361,2023-03-27 21:28:01.364,4.56,0.089,0.056,0.012,11.373639,4.717,6.656639000000001,keda+k8shpa
19,24,2023-03-27 21:27:50.995398,2023-03-27 21:28:09.993,9.41,0.067,0.068,0.010,18.997602,9.555,9.442602,keda+k8shpa
20,25,2023-03-27 21:27:51.998918,2023-03-27 21:28:06.397,8.16,0.065,0.059,0.024,14.398082,8.307999999999998,6.090082000000002,keda+k8shpa
21,26,2023-03-27 21:27:52.000410,2023-03-27 21:28:02.711,11.4,0.075,0.152,0.007,10.71059,11.633999999999999,-0.9234099999999987,keda+k8shpa
22,27,2023-03-27 21:27:53.003635,2023-03-27 21:28:10.806,12.2,0.040,0.057,0.048,17.802365,12.344999999999999,5.457365000000003,keda+k8shpa
23,28,2023-03-27 21:27:53.007138,2023-03-27 21:28:09.069,10.7,0.039,0.078,0.055,16.061862,10.871999999999998,5.189862000000003,keda+k8shpa
24,29,2023-03-27 21:27:54.010289,2023-03-27 21:28:10.891,11.5,0.041,0.047,0.082,16.880711,11.670000000000002,5.210711,keda+k8shpa
25,33,2023-03-27 21:27:56.019592,2023-03-27 21:28:08.397,12.1,0.044,0.068,0.072,12.377408,12.283999999999999,0.09340800000000193,keda+k8shpa
26,34,2023-03-27 21:27:56.021078,2023-03-27 21:28:14.767,13.1,0.077,0.051,0.024,18.745922,13.251999999999999,5.493922000000001,keda+k8shpa
27,35,2023-03-27 21:27:57.024486,2023-03-27 21:28:09.892,4.81,0.059,0.066,0.007,12.867514,4.941999999999999,7.925514000000001,keda+k8shpa
28,36,2023-03-27 21:27:57.026082,2023-03-27 21:28:03.124,13.8,0.069,0.132,0.012,6.097918,14.013000000000002,-7.915082000000002,keda+k8shpa
29,37,2023-03-27 21:27:58.029278,2023-03-27 21:28:11.401,13.2,0.036,0.147,0.009,13.371722,13.392,-0.020277999999999352,keda+k8shpa
30,38,2023-03-27 21:27:58.030881,2023-03-27 21:28:06.479,9.94,0.036,0.073,0.008,8.448119,10.056999999999999,-1.6088809999999985,keda+k8shpa
31,39,2023-03-27 21:27:59.034572,2023-03-27 21:28:15.069,13.1,0.045,0.089,0.007,16.034428,13.241,2.7934279999999987,keda+k8shpa
32,40,2023-03-27 21:27:59.036073,2023-03-27 21:28:14.867,3.41,0.119,0.058,0.019,15.830927,3.606,12.224927000000001,keda+k8shpa
33,41,2023-03-27 21:28:00.038994,2023-03-27 21:28:12.992,10.6,0.037,0.051,0.018,12.953006,10.706000000000001,2.247005999999999,keda+k8shpa
34,42,2023-03-27 21:28:00.040593,2023-03-27 21:28:13.836,12.7,0.037,0.167,0.007,13.795407,12.911,0.8844070000000013,keda+k8shpa
35,43,2023-03-27 21:28:01.043856,2023-03-27 21:28:11.105,6.75,0.075,0.110,0.011,10.061144,6.946000000000001,3.115144,keda+k8shpa
36,44,2023-03-27 21:28:01.045344,2023-03-27 21:28:05.817,6.96,0.050,0.253,0.016,4.771656,7.279,-2.507344,keda+k8shpa
37,45,2023-03-27 21:28:02.048728,2023-03-27 21:28:12.806,2.96,0.038,0.185,0.034,10.757272,3.2169999999999996,7.540272000000001,keda+k8shpa
38,46,2023-03-27 21:28:02.050322,2023-03-27 21:28:14.651,13.5,0.055,0.036,0.009,12.600678,13.6,-0.9993219999999994,keda+k8shpa
39,47,2023-03-27 21:28:03.053616,2023-03-27 21:28:14.990,10.6,0.045,0.087,0.073,11.936384,10.805,1.1313840000000006,keda+k8shpa
40,48,2023-03-27 21:28:03.055175,2023-03-27 21:28:13.940,12.4,0.077,0.040,0.038,10.884825,12.555,-1.6701750000000004,keda+k8shpa
41,49,2023-03-27 21:28:04.059197,2023-03-27 21:28:20.409,17.0,0.072,0.087,0.044,16.349803,17.203,-0.853196999999998,keda+k8shpa
42,51,2023-03-27 21:28:05.063700,2023-03-27 21:28:10.099,15.5,0.036,0.047,0.014,5.0353,15.597,-10.561699999999998,keda+k8shpa
43,52,2023-03-27 21:28:05.065306,2023-03-27 21:28:15.492,11.6,0.071,0.093,0.019,10.426694,11.783,-1.356306,keda+k8shpa
44,53,2023-03-27 21:28:06.068628,2023-03-27 21:28:13.177,15.7,0.054,0.046,0.030,7.108372,15.829999999999998,-8.721627999999999,keda+k8shpa
45,54,2023-03-27 21:28:06.070223,2023-03-27 21:28:13.330,10.2,0.041,0.036,0.011,7.259777,10.287999999999998,-3.0282229999999988,keda+k8shpa
46,55,2023-03-27 21:28:07.073470,2023-03-27 21:28:16.209,9.02,0.058,0.069,0.016,9.13553,9.163,-0.027470000000000994,keda+k8shpa
