,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,38,2023-03-27 19:59:59.495070,2023-03-27 20:00:29.793,6.45,0.056,0.064,0.010,30.29793,6.58,23.717930000000003,no+keda
1,40,2023-03-27 20:00:00.500804,2023-03-27 20:00:32.911,11.2,0.042,0.050,0.011,32.410196,11.302999999999999,21.107196000000002,no+keda
2,41,2023-03-27 20:00:01.503692,2023-03-27 20:00:29.514,7.05,0.121,0.095,0.012,28.010308,7.277999999999999,20.732308,no+keda
3,42,2023-03-27 20:00:01.505316,2023-03-27 20:00:34.318,7.22,0.061,0.086,0.012,32.812684,7.379,25.433684,no+keda
4,43,2023-03-27 20:00:02.508924,2023-03-27 20:00:34.471,7.55,0.067,0.128,0.009,31.962076,7.7540000000000004,24.208076,no+keda
5,50,2023-03-27 20:00:05.525086,2023-03-27 20:00:32.367,3.40,0.054,0.521,0.009,26.841914,3.9839999999999995,22.857914,no+keda
6,51,2023-03-27 20:00:06.527662,2023-03-27 20:00:36.602,5.85,0.076,0.036,0.008,30.074338,5.969999999999999,24.104338000000002,no+keda
7,55,2023-03-27 20:00:08.537709,2023-03-27 20:00:36.699,7.13,0.047,0.045,0.007,28.161291,7.228999999999999,20.932291,no+keda
8,56,2023-03-27 20:00:08.539251,2023-03-27 20:00:32.788,7.63,0.079,0.067,0.008,24.248749,7.784,16.464749,no+keda
9,57,2023-03-27 20:00:09.542605,2023-03-27 20:00:36.389,9.29,0.098,0.172,0.010,26.846395,9.57,17.276395,no+keda
10,58,2023-03-27 20:00:09.544106,2023-03-27 20:00:37.134,7.33,0.060,0.149,0.037,27.589894,7.576,20.013894,no+keda
11,59,2023-03-27 20:00:10.547451,2023-03-27 20:00:32.986,6.52,0.043,0.093,0.008,22.438549,6.664,15.774548999999999,no+keda
12,60,2023-03-27 20:00:10.548978,2023-03-27 20:00:37.452,11.3,0.064,0.037,0.012,26.903022,11.413000000000002,15.490021999999998,no+keda
13,61,2023-03-27 20:00:11.552086,2023-03-27 20:00:39.509,8.34,0.130,0.047,0.011,27.956914,8.528,19.428914,no+keda
14,62,2023-03-27 20:00:11.553844,2023-03-27 20:00:41.713,8.71,0.081,0.090,0.020,30.159156,8.901,21.258156,no+keda
15,63,2023-03-27 20:00:12.558439,2023-03-27 20:00:49.405,12.4,0.074,0.102,0.020,36.846561,12.596,24.250561,no+keda
16,64,2023-03-27 20:00:12.560062,2023-03-27 20:00:38.721,12.6,0.065,0.060,0.008,26.160938,12.732999999999999,13.427938000000003,no+keda
