time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1680020120,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.0089709524519074,0.1,1721.3719681051462,52428800,1,50.0,0.008093846696018918,0.1,7985.0344074008235,134217728,1,50.0,0.005747307190864908,5026.542949981662,1,0.0011629589423104293,0,1,0.003712662784350385,8482.509032354474,1,0
1680020121,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.006471664814976421,3802.4335689754025,1,0.0011629589423104293,0,1,0.0037239641413441054,8491.60599855178,1,0.19999999999999996
1680020122,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.006471664814976421,3802.4335689754025,1,0.0011629589423104293,0,1,0.0037352654983378265,8500.702964749089,1,0.2
1680020123,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.0064061632456874325,1190.28626603781,1,0.0011629589423104293,0,1,0.0037465668553315476,8509.799930946398,1,0.2
1680020124,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.0064061632456874325,1190.28626603781,1,0.0011629589423104293,0,1,0.0037578682123252686,8518.896897143706,1,0.2
1680020125,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.0064061632456874325,1190.28626603781,1,0.0011629589423104293,0,1,0.0037691695693189893,8527.993863341015,1,0.2
1680020126,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.010623808881594348,10070.312843683536,1,0.0010276473465776334,0,1,0.0037804709263127103,8537.090829538321,1,0.9333333333333331
1680020127,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.010623808881594348,10070.312843683536,1,0.0010181544606696219,0,1,0.009194549971438894,14903.29257213136,1,0.9333333333333333
1680020128,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.010623808881594348,10070.312843683536,1,0.0010086615747616104,0,1,0.009194549971438894,14903.29257213136,1,0.9333333333333333
1680020129,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.010623808881594348,10070.312843683536,1,0.0009991686888535989,0,1,0.009194549971438894,14903.29257213136,1,0.9333333333333333
1680020130,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.004219007530235909,0.05,10146.6400069955,52428800,1,50.0,0.009633401366816317,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.010623808881594348,10070.312843683536,1,0.0009896758029455874,0,1,0.009194549971438894,14903.29257213136,1,0.9333333333333333
1680020131,0.0030264376562270283,0.5,2387.3563673110266,52428800,1,3.0,0.006546581571978573,0.05,20815.57972044788,52428800,1,50.0,0.008545373936879765,0.1,0,52428800,1,50.0,0.011824511485622883,0.1,882693.94529849,134217728,1,50.0,0.010623808881594348,10070.312843683536,1,0.0009801829170375759,0,1,0.01438154393226615,23793.143917360656,1,1.533333333333333
