time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1680005587,0.0000597527678034405,4,18927.801756285335,419430400,6,3.0,0.0000653193241059242,0.05,12834.62636189909,52428800,0,50.0,0.0336171422715434,0.4,580019.5886235057,209715200,2,50.0,0.0333733823955939,0.4,585156.1019907184,536870912,3,50.0,0.05603841459493436,805840.1819724292,1,0.0012431537577989272,0,1,0.008799555211165462,7137.1635515923945,1,0
1680005588,0.00006212485068567315,4,19679.20317574883,419430400,6,3.0,0.00006693605902265913,0.05,484263.85908966017,52428800,0,50.0,0.035932892315062845,0.4,617914.6402068454,209715200,2,50.0,0.03502812651571789,0.4,612946.4297156374,536870912,3,50.0,0.05780831255401926,829350.5946316677,1,0.0012431537577989272,0,1,0.008788182787400971,7137.1635515923945,1,0
1680005589,0.0000644969335679058,4,20430.604595212317,419430400,6,3.0,0.00006855279393939404,0.05,500788.19764366426,52428800,0,50.0,0.03824864235858229,0.4,1243941.9001849107,209715200,2,50.0,0.03668287063584189,0.4,640736.7574405563,536870912,3,50.0,0.06716948177250448,3019284.7006320935,1,0.0012431537577989272,0,1,0.00877681036363648,7137.1635515923945,1,0
1680005590,0.00006686901645013845,4,21182.006014675804,419430400,6,3.0,0.00007016952885612897,0.05,517312.5361976683,52428800,0,50.0,0.04056439240210174,0.4,1313424.695921789,209715200,2,50.0,0.06423955455822672,0.4,1740522.7489051735,536870912,3,50.0,0.06916442631226652,3094196.626997904,1,0.0012431537577989272,0,1,0.011249590345977476,8951.879327613322,1,0.33333333333333326
1680005591,0.00006924109933237111,4,21933.4074341393,419430400,6,3.0,0.00009700409500409515,0.05,538791.9389067366,52428800,0,50.0,0.042880142445621175,0.4,1382907.4916586666,209715200,2,50.0,0.0670499850404225,0.4,1826001.4128528934,536870912,3,50.0,0.07115937085202854,3169108.5533637144,1,0.0012431537577989272,0,1,0.01136994914239999,9022.217049422135,1,0.3333333333333333
1680005592,0.00007161318221460376,4,22684.80885360279,419430400,6,3.0,0.00009700409500409515,0.05,554998.6044157948,52428800,0,50.0,0.04519589248914062,0.4,1452390.2873955444,209715200,2,50.0,0.06980135945751462,0.4,1897415.5685637519,536870912,3,50.0,0.07315431539179056,3244020.4797295253,1,0.0012431537577989272,0,1,0.02176740703278795,12797.380015779474,1,0.3333333333333333
1680005593,0.00007398526509683641,4,23436.21027306628,419430400,6,3.0,0.00009700409500409515,0.05,571205.2699248532,52428800,0,50.0,0.04751164253266006,0.4,1521873.0831324223,209715200,2,50.0,0.0726176755110669,0.4,1987427.7693592329,536870912,3,50.0,0.07514925993155258,3318932.4060953353,1,0.0012431537577989272,0,1,0.021899138252974952,12867.71773758829,1,0.3333333333333333
1680005594,0.00007635734797906906,4,24187.61169252977,419430400,6,3.0,0.02678297101654727,0.05,1055772.518486476,52428800,0,50.0,0.049827392576179505,0.4,1591355.8788693,209715200,2,50.0,0.07537286979972305,0.4,2059935.863372816,536870912,3,50.0,0.0771442044713146,3393844.3324611466,1,0.0012431537577989272,0,1,0.02203086947316196,12938.055459397103,1,0.3333333333333333
1680005595,0.0000787294308613017,4,24939.01311199326,419430400,6,3.0,0.02755960478792155,0.05,1084901.8607951966,52428800,0,50.0,0.05214314261969895,0.4,1660838.674606178,209715200,2,50.0,0.07819185483632107,0.4,2630059.321036927,536870912,3,50.0,0.07913914901107666,3468756.258826957,1,0.0012431537577989272,0,1,0.022162600693348963,13008.39318120592,1,0.3999999999999999
1680005596,0.00008110151374353436,4,25690.41453145675,419430400,6,3.0,0.028395933814517393,0.05,1132113.2644937837,52428800,0,50.0,0.054458892663218385,0.4,1730321.4703430557,209715200,2,50.0,0.0809730275859646,0.4,2724218.6606041514,536870912,3,50.0,0.08113409355083868,3543668.1851927675,1,0.0005683798452059927,0,1,0.02229433191353597,13078.730903014733,1,0.4
