time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1680031064,0.0027371589397889133,0.5,4157.134854981576,52428800,1,3.0,0.009483875012904718,0.05,743467.2469250031,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.010020794234587934,0.1,32194.08148293502,134217728,1,50.0,0.004076619479196922,0,1,0.0013699765196483324,0,1,0.0036343700248462345,0,1,0
1680031065,0.002763540044075018,0.5,4196.272174118894,52428800,1,3.0,0.007604929052229753,0.05,713758.7298055245,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.010020794234587934,0.1,32194.08148293502,134217728,1,50.0,0.004076619479196922,0,1,0.0013828953900888023,0,1,0.003617896659632415,0,1,0
1680031066,0.002789921148361122,0.5,4235.409493256213,52428800,1,3.0,0.007161064905313903,0.05,688404.1232058451,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.010020794234587934,0.1,32194.08148293502,134217728,1,50.0,0.004076619479196922,0,1,0.0013958142605292722,0,1,0.0036014232944185957,0,1,1.4666666666666663
1680031067,0.003183500843205514,0.5,4819.299157465878,52428800,1,3.0,0.0043177467658309385,0.05,13210.839474551107,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.008338835692426634,0.1,30675.77935503678,134217728,1,50.0,0.007373783548503,0,1,0.0012576146439923451,0,1,0.003584949929204776,0,1,1.4666666666666668
1680031068,0.003183500843205514,0.5,4819.299157465878,52428800,1,3.0,0.004257369141329631,0.05,13062.500992242609,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.008338835692426634,0.1,30675.77935503678,134217728,1,50.0,0.007373783548503,0,1,0.0013971965796664024,0,1,0.0035684765639909565,0,1,1.4666666666666668
1680031069,0.003183500843205514,0.5,4819.299157465878,52428800,1,3.0,0.004196991516828322,0.05,12914.162509934114,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.009440313610086556,0.1,34724.71904034511,134217728,1,50.0,0.007373783548503,0,1,0.0013842777092259325,0,1,0.023130819699831176,0,1,1.4666666666666668
1680031070,0.003183500843205514,0.5,4819.299157465878,52428800,1,3.0,0.004136613892327014,0.05,12765.824027625618,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.00946663295914236,0.1,34821.46674193311,134217728,1,50.0,0.007373783548503,0,1,0.0013713588387854626,0,1,0.023130819699831176,0,1,1.4666666666666668
1680031071,0.003183500843205514,0.5,4819.299157465878,52428800,1,3.0,0.004076236267825706,0.05,12617.485545317124,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.009885408013055118,0.1,39250.747963290785,134217728,1,50.0,0.007373783548503,0,1,0.0013584399683449926,0,1,0.023130819699831176,0,1,4.133333333333333
1680031072,0.003183500843205514,0.5,4819.299157465878,52428800,1,3.0,0.05591349077774426,0.05,279806.13305914483,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.009885408013055118,0.1,39250.747963290785,134217728,1,50.0,0.007373783548503,0,1,0.0013455210979045227,0,1,0.023130819699831176,0,1,4.133333333333333
1680031073,0.003183500843205514,0.5,4819.299157465878,52428800,1,3.0,0.056233513672251996,0.05,281536.2037342264,52428800,1,50.0,0.0032746735769729764,0.1,10964.95741152537,52428800,1,50.0,0.009885408013055118,0.1,39250.747963290785,134217728,1,50.0,0.007373783548503,0,1,0.0013326022274640528,0,1,0.023130819699831176,0,1,4.133333333333333
