time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1679952459,0.07626633397371942,5,110834174.31904359,524288000,10,3.0,0.007952919717793116,0.1,672.3377939515483,104857600,2,50.0,0.03921430434684212,0.5,3783.4762925059667,262144000,5,50.0,0.01764414933583128,0.2,4353.107538015831,268435456,2,50.0,0.13272075373792994,1562306.6628978648,4,0.00047274369146138367,0,1,0.005464288090476422,0,1,0
1679952460,0.0767054839093553,5,138427326.30678275,524288000,10,3.0,0.007923865643293029,0.1,672.3377939515483,104857600,2,50.0,0.036853760275514263,0.5,3370.2214188961907,262144000,5,50.0,0.01581474570299012,0.2,4455.091436414918,268435456,2,50.0,0.13780386005301665,1618920.2896437794,4,0.0004848204239038764,0,1,0.005464288090476422,0,1,0
1679952461,0.08015637537980778,5,140967307.48171717,524288000,10,3.0,0.0118690071188474,0.1,1882.6581585966437,104857600,2,50.0,0.036505565390312016,0.5,3516.5027389104125,262144000,5,50.0,0.015788043293216942,0.2,4434.75051744835,268435456,2,50.0,0.14288696636810325,4047706.5729376012,4,0.0004968971563463693,0,1,0.005464288090476422,0,1,0.1333333333333333
1679952462,0.08520904615534056,5,132936461.74010563,524288000,10,3.0,0.01183995304434731,0.1,1882.6581585966437,104857600,2,50.0,0.03685304801234162,0.5,3817.6173025780054,262144000,5,50.0,0.013733784297001063,0.2,2209.646760326109,268435456,2,50.0,0.14797007268318996,4183987.470524057,4,0.0005089738887888622,0,1,0.005464288090476422,0,1,0.13333333333333333
1679952463,0.08398867210150854,5,132931447.4728345,524288000,10,3.0,0.01413030767511005,0.1,6143.360950912087,104857600,2,50.0,0.034194847711232136,0.5,3989.1142461702043,262144000,5,50.0,0.013781123366791844,0.2,2209.646760326109,268435456,2,50.0,0.1531311552508937,4338207.471654298,4,0.0010785415509696234,0,1,0.0033753301846536033,0,1,0.13333333333333333
1679952464,0.08364019303277567,5,132929503.39388171,524288000,10,3.0,0.014101253600609962,0.1,6143.360950912087,104857600,2,50.0,0.034334677611387816,0.5,4022.8803674499,262144000,5,50.0,0.013828462436582624,0.2,2209.646760326109,268435456,2,50.0,0.15833086355839465,4505087.531326437,4,0.0010906182834121165,0,1,0.0033753301846536033,0,1,0.13333333333333333
1679952465,0.09093020342697258,5,187921329.09429055,524288000,10,3.0,0.014072199526109871,0.1,6143.360950912087,104857600,2,50.0,0.035897958632341936,0.5,4291.586653212342,262144000,5,50.0,0.013875801506373405,0.2,2209.646760326109,268435456,2,50.0,0.1634119503854861,4640997.646457753,4,0.001282094876287841,0,1,0.0033753301846536033,0,1,0.13333333333333333
1679952466,0.09045646139155956,5,188737734.12499464,524288000,10,3.0,0.014043145451609784,0.1,6143.360950912087,104857600,2,50.0,0.03845077103646948,0.5,4464.156769094076,262144000,5,50.0,0.015742053395698844,0.2,2991.0279125580814,268435456,2,50.0,0.1684930372125776,4776907.761589069,4,0.001282094876287841,0,1,0.01486423156170326,3395362.9992287313,1,0.7999999999999998
1679952467,0.08572343029603972,5,172076115.77848205,524288000,10,3.0,0.014014091377109697,0.1,6143.360950912087,104857600,2,50.0,0.03845552823675092,0.5,4471.623319095898,262144000,5,50.0,0.016316157964586533,0.2,2991.0279125580814,268435456,2,50.0,0.2993463517458631,6522153.357929092,4,0.001282094876287841,0,1,0.01486423156170326,3395362.9992287313,1,0.8
1679952468,0.085326100879304,5,172074295.00471377,524288000,10,3.0,0.01398503730260961,0.1,6143.360950912087,104857600,2,50.0,0.03860346260906612,0.5,4762.391436490116,262144000,5,50.0,0.019593715877063232,0.2,3876.2144323124485,268435456,2,50.0,0.30896004469172206,6724983.645531937,4,0.001282094876287841,0,1,0.01486423156170326,3395362.9992287313,1,0.8
