time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1679947225,0.04625744738953339,2,1001676.7208925171,209715200,1,3.0,0.058612132379204054,0.2,478556.7918348411,209715200,4,50.0,0.00012719847658080162,0.1,44812.80338648772,52428800,0,50.0,0.00017433296972880943,0.2,20585.79009157079,268435456,2,50.0,0.0007878803851282163,0,1,0.0013626514980393783,0,1,0.002814016343826898,0,1,0
1679947226,0.04951735197405393,2,1070071.5703930215,209715200,1,3.0,0.06092424191663514,0.2,496696.3108946106,209715200,4,50.0,0.00017952363085359653,0.1,63247.2761382495,52428800,0,50.0,0.0001811200510076699,0.2,21387.230179228303,268435456,2,50.0,0.0007878803851282163,0,1,0.0013626514980393783,0,1,0.028056271907483575,2442747.2413178235,1,0
1679947227,0.05277725655857447,2,1138466.4198935255,209715200,1,3.0,0.06309653758483465,0.2,1436384.5627945082,209715200,4,50.0,0.00017952363085359653,0.1,63247.2761382495,52428800,0,50.0,0.00018790713228653032,0.2,22188.670266885812,268435456,2,50.0,0.0007878803851282163,0,1,0.0013626514980393783,0,1,0.059410996334049324,5240453.291859742,1,0.3999999999999999
1679947228,0.056037161143095,2,1206861.2693940299,209715200,1,3.0,0.06532255923726933,0.2,1517521.1498387172,209715200,4,50.0,0.00017952363085359653,0.1,63247.2761382495,52428800,0,50.0,0.0001946942135653908,0.2,22990.11035454332,268435456,2,50.0,0.0007878803851282163,0,1,0.0013626514980393783,0,1,0.059725206918760126,5270021.811674895,1,0.4
1679947229,0.05929706572761555,2,6274965.792053877,209715200,1,3.0,0.06749145946944311,0.2,1568317.2439212864,209715200,4,50.0,0.06790727919099919,0.1,1662077.6694537522,52428800,0,50.0,0.0002014812948442512,0.2,23791.550442200827,268435456,2,50.0,0.0007878803851282163,0,1,0.0013626514980393783,0,1,0.059725206918760126,5299590.331490047,1,0.4
1679947230,0.06255697031213608,2,6574158.210869147,209715200,1,3.0,0.0696603597016169,0.2,1630772.2160214875,209715200,4,50.0,0.07035620811238003,0.1,1711863.754555526,52428800,0,50.0,0.00020826837612311167,0.2,24592.990529858336,268435456,2,50.0,0.0007878803851282163,0,1,0.001285945251877426,0,1,0.05942316228631257,5303806.909485659,1,0.4
1679947231,0.06581687489665661,2,6873350.629684418,209715200,1,3.0,0.07182925993379068,0.2,1680831.4790342448,209715200,4,50.0,0.07280513703376086,0.1,1761649.8396572997,52428800,0,50.0,0.00021505545740197209,0.2,25394.430617515845,268435456,2,50.0,0.0028062053798598584,0,1,0.001285945251877426,0,1,0.05939765714529947,5303806.909485659,1,0.4
1679947232,0.06907677948117716,2,7172543.0484996885,209715200,1,3.0,0.07399816016596444,0.2,1730890.7420470025,209715200,4,50.0,0.0752540659551417,0.1,1811435.9247590736,52428800,0,50.0,0.00022184253868083253,0.2,26195.870705173355,268435456,2,50.0,0.0028062053798598584,0,1,0.001285945251877426,0,1,0.05937215200428639,5303806.909485659,1,0.7333333333333332
1679947233,0.0723366840656977,2,7471735.467314961,209715200,1,3.0,0.07616706039813823,0.2,1780950.0050597605,209715200,4,50.0,0.07770299487652253,0.1,1861222.0098608476,52428800,0,50.0,0.00022862961995969298,0.2,26997.310792830864,268435456,2,50.0,0.002806205379859858,0,1,0.001285945251877426,0,1,0.05934664686327329,5303806.909485659,1,0.7333333333333333
1679947234,0.07567860694756483,2,7788760.680152705,209715200,1,3.0,0.078335960630312,0.2,1831009.268072518,209715200,4,50.0,0.3051790582166465,0.1,4122761.1530864225,52428800,0,50.0,0.00023541670123855345,0.2,27798.750880488376,268435456,2,50.0,0.002806205379859858,0,1,0.001285945251877426,0,1,0.059321141722260204,5303806.909485659,1,0.7333333333333333
