,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,1,2023-03-30 08:21:58.336817,2023-03-30 08:22:03.715,8.97,0.046,0.042,0.010,5.378183,9.068,-3.6898169999999997,no+k8shpa
1,2,2023-03-30 08:21:59.339152,2023-03-30 08:22:08.436,8.88,0.047,0.078,0.011,9.096848,9.016,0.08084799999999959,no+k8shpa
2,3,2023-03-30 08:22:00.342312,2023-03-30 08:22:09.342,13.0,0.047,0.038,0.010,8.999688,13.095,-4.095312,no+k8shpa
3,4,2023-03-30 08:22:01.345395,2023-03-30 08:22:20.397,3.13,0.043,0.036,0.012,19.051605,3.221,15.830604999999998,no+k8shpa
4,5,2023-03-30 08:22:02.348543,2023-03-30 08:22:21.665,16.6,0.044,0.083,0.011,19.316457,16.738,2.578457,no+k8shpa
5,6,2023-03-30 08:22:03.352180,2023-03-30 08:22:16.797,17.8,0.044,0.236,0.012,13.44482,18.092000000000002,-4.647180000000002,no+k8shpa
6,7,2023-03-30 08:22:04.355190,2023-03-30 08:22:22.612,14.1,0.053,0.037,0.012,18.25681,14.202000000000002,4.05481,no+k8shpa
7,8,2023-03-30 08:22:05.358242,2023-03-30 08:22:34.460,10.0,0.040,0.186,0.011,29.101758,10.236999999999998,18.864758000000002,no+k8shpa
8,9,2023-03-30 08:22:06.361235,2023-03-30 08:22:34.157,10.8,0.038,0.040,0.012,27.795765,10.89,16.905765,no+k8shpa
9,10,2023-03-30 08:22:07.364203,2023-03-30 08:22:34.247,11.5,0.051,0.062,0.012,26.882797,11.625,15.257797,no+k8shpa
10,11,2023-03-30 08:22:08.367923,2023-03-30 08:22:34.651,3.08,0.039,0.040,0.009,26.283077,3.168,23.115077,no+k8shpa
11,12,2023-03-30 08:22:09.371573,2023-03-30 08:22:48.462,2.72,0.041,0.046,0.009,39.090427,2.816,36.274426999999996,no+k8shpa
12,13,2023-03-30 08:22:10.374682,2023-03-30 08:22:47.800,25.6,0.095,0.067,0.010,37.425318,25.772000000000002,11.653317999999995,no+k8shpa
13,14,2023-03-30 08:22:11.377690,2023-03-30 08:22:19.979,24.8,0.046,0.073,0.010,8.60131,24.929000000000002,-16.327690000000004,no+k8shpa
